head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q12482,protein_protein,Q8GYB4,-1.1389672756195068,-0.2036837140803804,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,"Cationic amino acid transporter 3, mitochondrial",[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0022900,-1.1079776287078857,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,electron transport chain,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0019646,-1.02370023727417,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,aerobic electron transport chain,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0022904,-1.3650121688842773,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,respiratory electron transport chain,[],False,False,False,False,,,
Q12482,protein_phenotype,embryo phenotype,-1.582111120223999,-0.0497034494975703,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,embryo phenotype,[],False,False,False,False,,,
Q12482,protein_phenotype,muscle phenotype,-1.611133098602295,-0.0497034494975703,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,muscle phenotype,[],False,False,False,False,,,
Q12482,protein_phenotype,terminal phenotype,-1.4560582637786865,-0.0497034494975703,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,terminal phenotype,[],False,False,False,False,,,
Q12482,protein_phenotype,skeleton phenotype,-1.6106793880462646,-0.0497034494975703,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,skeleton phenotype,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0071318,-1.6471253633499146,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,cellular response to ATP,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0033554,-1.5906484127044678,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,cellular response to stress,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0080136,-1.4072765111923218,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,priming of cellular response to stress,[],False,False,False,False,,,
Q12482,protein_biologicalprocess,GO:0080135,-1.4024107456207275,-0.5776643345681309,REJECT,Mitochondrial aspartate-glutamate transporter AGC1,regulation of cellular response to stress,[],False,False,False,False,,,
AGC1,gene_protein,Q12482,-1.1991612911224365,-0.0280984394514378,REJECT,citrin,Mitochondrial aspartate-glutamate transporter AGC1,[],False,False,False,False,,,
AGC1,gene_protein,Q8GYB4,-1.7211074829101562,-0.0280984394514378,REJECT,citrin,"Cationic amino acid transporter 3, mitochondrial",[],False,False,False,False,,,
AGC1,gene_biologicalprocess,GO:0022900,-4.492775917053223,-0.0356325677219588,REJECT,citrin,electron transport chain,[],False,False,False,False,,,
AGC1,gene_positivelyassociatedwith_biologicalprocess,GO:0022900,-2.655031442642212,-0.0730086550790463,REJECT,citrin,electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -3.2733, 'gene_promotes_biologicalprocess': -3.1408, 'gene_negativelyassociatedwith_biologicalprocess': -2.7542, 'gene_positivelyassociatedwith_biologicalprocess': -2.655, 'gene_notassociatedwith_biologicalprocess': -2.6858}"
