head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
EPRS1,gene_gene,EARS2,-0.005273590330034494,-0.071739344080056,ACCEPT,glutamyl-prolyl-tRNA synthetase 1,"glutamyl-tRNA synthetase 2, mitochondrial",['Gene_Gene'],False,True,True,False,Gene_Gene,,
EPRS1,gene_protein,Q5EBR7,-0.010489147156476974,-0.0280984394514378,ACCEPT,glutamyl-prolyl-tRNA synthetase 1,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EPRS1,gene_protein,H7C3T3,-0.04783029481768608,-0.0280984394514378,REJECT,glutamyl-prolyl-tRNA synthetase 1,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EPRS1,gene_protein,Q99725,-0.06104898080229759,-0.0280984394514378,REJECT,glutamyl-prolyl-tRNA synthetase 1,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EPRS1,gene_protein,A0A0C4DG03,-0.02245968207716942,-0.0280984394514378,ACCEPT,glutamyl-prolyl-tRNA synthetase 1,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EPRS1,gene_protein,P27305,-0.01389241125434637,-0.0280984394514378,ACCEPT,glutamyl-prolyl-tRNA synthetase 1,Glutamyl-Q tRNA(Asp) synthetase,[],False,False,False,False,,,
EPRS1,gene_biologicalprocess,GO:0140624,-0.17915312945842743,-0.0356325677219588,REJECT,glutamyl-prolyl-tRNA synthetase 1,EGAD pathway,[],False,False,False,False,,,
EPRS1,gene_notassociatedwith_biologicalprocess,GO:0140624,-0.237269788980484,-0.1941926147433079,REJECT,glutamyl-prolyl-tRNA synthetase 1,EGAD pathway,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3412, 'gene_promotes_biologicalprocess': -0.3644, 'gene_negativelyassociatedwith_biologicalprocess': -0.251, 'gene_positivelyassociatedwith_biologicalprocess': -0.2887, 'gene_notassociatedwith_biologicalprocess': -0.2373}"
EPRS1,gene_chemicalentity,5957,-0.0056283120065927505,-0.0285922419958417,ACCEPT,glutamyl-prolyl-tRNA synthetase 1,ATP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
EARS2,gene_protein,Q5EBR7,-0.011494683101773262,-0.0280984394514378,ACCEPT,"glutamyl-tRNA synthetase 2, mitochondrial",Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EARS2,gene_protein,H7C3T3,-0.051039375364780426,-0.0280984394514378,REJECT,"glutamyl-tRNA synthetase 2, mitochondrial",Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EARS2,gene_protein,Q99725,-0.06453663855791092,-0.0280984394514378,REJECT,"glutamyl-tRNA synthetase 2, mitochondrial",Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EARS2,gene_protein,A0A0C4DG03,-0.02538307011127472,-0.0280984394514378,ACCEPT,"glutamyl-tRNA synthetase 2, mitochondrial",Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
EARS2,gene_protein,P27305,-0.015499507077038288,-0.0280984394514378,ACCEPT,"glutamyl-tRNA synthetase 2, mitochondrial",Glutamyl-Q tRNA(Asp) synthetase,[],False,False,False,False,,,
EARS2,gene_biologicalprocess,GO:0140624,-0.1914057433605194,-0.0356325677219588,REJECT,"glutamyl-tRNA synthetase 2, mitochondrial",EGAD pathway,[],False,False,False,False,,,
EARS2,gene_notassociatedwith_biologicalprocess,GO:0140624,-0.238199383020401,-0.1941926147433079,REJECT,"glutamyl-tRNA synthetase 2, mitochondrial",EGAD pathway,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.362, 'gene_promotes_biologicalprocess': -0.4163, 'gene_negativelyassociatedwith_biologicalprocess': -0.2765, 'gene_positivelyassociatedwith_biologicalprocess': -0.2658, 'gene_notassociatedwith_biologicalprocess': -0.2382}"
EARS2,gene_chemicalentity,5957,-0.008407139219343662,-0.0285922419958417,ACCEPT,"glutamyl-tRNA synthetase 2, mitochondrial",ATP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
Q5EBR7,protein_protein,H7C3T3,-1.0315454006195068,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
Q5EBR7,protein_protein,Q99725,-0.41877996921539307,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
Q5EBR7,protein_protein,A0A0C4DG03,-1.025618076324463,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
Q5EBR7,protein_protein,P27305,-0.8122589588165283,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-Q tRNA(Asp) synthetase,[],False,False,False,False,,,
Q5EBR7,protein_biologicalprocess,GO:0140624,-1.4989240169525146,-0.5776643345681309,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},EGAD pathway,[],False,False,False,False,,,
Q5EBR7,protein_chemicalentity,5957,-1.0297346115112305,-0.1571110372511136,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},ATP,[],False,False,False,False,,,
H7C3T3,protein_protein,Q99725,-0.4762203097343445,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
H7C3T3,protein_protein,A0A0C4DG03,-1.1318695545196533,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
H7C3T3,protein_protein,P27305,-0.9484072923660278,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-Q tRNA(Asp) synthetase,[],False,False,False,False,,,
H7C3T3,protein_biologicalprocess,GO:0140624,-1.8070682287216187,-0.5776643345681309,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},EGAD pathway,[],False,False,False,False,,,
H7C3T3,protein_chemicalentity,5957,-1.5989521741867065,-0.1571110372511136,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},ATP,[],False,False,False,False,,,
Q99725,protein_protein,A0A0C4DG03,-1.7482739686965942,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},[],False,False,False,False,,,
Q99725,protein_protein,P27305,-1.4725968837738037,-0.2036837140803804,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},Glutamyl-Q tRNA(Asp) synthetase,[],False,False,False,False,,,
Q99725,protein_biologicalprocess,GO:0140624,-2.317413806915283,-0.5776643345681309,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},EGAD pathway,[],False,False,False,False,,,
Q99725,protein_chemicalentity,5957,-2.335805654525757,-0.1571110372511136,REJECT,Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030865},ATP,[],False,False,False,False,,,
