head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
chs2,gene_biologicalprocess,GO:1903137,-1.0064550638198853,-0.0356325677219588,REJECT,chitin synthase 2,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,,,
chs2,gene_positivelyassociatedwith_biologicalprocess,GO:1903137,-0.7893111705780029,-0.0730086550790463,REJECT,chitin synthase 2,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.9533, 'gene_promotes_biologicalprocess': -1.0916, 'gene_negativelyassociatedwith_biologicalprocess': -0.7923, 'gene_positivelyassociatedwith_biologicalprocess': -0.7893, 'gene_notassociatedwith_biologicalprocess': -1.0174}"
chs2,gene_biologicalprocess,GO:0052386,-1.0939369201660156,-0.0356325677219588,REJECT,chitin synthase 2,cell wall thickening,[],False,False,False,False,,,
chs2,gene_negativelyassociatedwith_biologicalprocess,GO:0052386,-0.7352890968322754,-0.1070524565571329,REJECT,chitin synthase 2,cell wall thickening,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.2981, 'gene_promotes_biologicalprocess': -1.3889, 'gene_negativelyassociatedwith_biologicalprocess': -0.7353, 'gene_positivelyassociatedwith_biologicalprocess': -0.8232, 'gene_notassociatedwith_biologicalprocess': -0.8071}"
chs2,gene_biologicalprocess,GO:0001659,-1.9333524703979492,-0.0356325677219588,REJECT,chitin synthase 2,temperature homeostasis,[],False,False,False,False,,,
chs2,gene_positivelyassociatedwith_biologicalprocess,GO:0001659,-1.1969683170318604,-0.0730086550790463,REJECT,chitin synthase 2,temperature homeostasis,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3989, 'gene_promotes_biologicalprocess': -1.5918, 'gene_negativelyassociatedwith_biologicalprocess': -1.4043, 'gene_positivelyassociatedwith_biologicalprocess': -1.197, 'gene_notassociatedwith_biologicalprocess': -1.4607}"
chs2,gene_phenotype,heart structure,-1.656935453414917,-0.0347684314162952,REJECT,chitin synthase 2,    heart structure,[],False,False,False,False,,,
chs2,gene_phenotype,abnormal erythrocyte osmotic lysis,-0.9660801887512207,-0.0347684314162952,REJECT,chitin synthase 2,abnormal erythrocyte osmotic lysis,[],False,False,False,False,,,
chs2,gene_phenotype,wild-type,-1.437354326248169,-0.0347684314162952,REJECT,chitin synthase 2,wild-type,[],False,False,False,False,,,
GO:1903137,biologicalprocess_biologicalprocess,GO:0052386,-0.29483118653297424,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,cell wall thickening,[],False,False,False,False,,,
GO:1903137,biologicalprocess_biologicalprocess,GO:0001659,-0.3507084548473358,-0.0422867482620858,REJECT,regulation of cell wall integrity MAPK cascade,temperature homeostasis,[],False,False,False,False,,,
GO:0052386,biologicalprocess_biologicalprocess,GO:0001659,-5.2048540115356445,-0.0422867482620858,REJECT,cell wall thickening,temperature homeostasis,[],False,False,False,False,,,
heart structure,phenotype_biologicalprocess,GO:1903137,-0.7949708104133606,-0.607891854730636,REJECT,    heart structure,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,,,
heart structure,phenotype_biologicalprocess,GO:0052386,-2.545297622680664,-0.607891854730636,REJECT,    heart structure,cell wall thickening,[],False,False,False,False,,,
heart structure,phenotype_biologicalprocess,GO:0001659,-0.35708746314048767,-0.607891854730636,ACCEPT,    heart structure,temperature homeostasis,[],False,False,False,False,,,
heart structure,phenotype_phenotype,abnormal erythrocyte osmotic lysis,-1.0392370223999023,-0.150242852206178,REJECT,    heart structure,abnormal erythrocyte osmotic lysis,[],False,False,False,False,,,
heart structure,phenotype_phenotype,wild-type,-1.3881769180297852,-0.150242852206178,REJECT,    heart structure,wild-type,[],False,False,False,False,,,
abnormal erythrocyte osmotic lysis,phenotype_biologicalprocess,GO:1903137,-0.8487759232521057,-0.607891854730636,REJECT,abnormal erythrocyte osmotic lysis,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,,,
abnormal erythrocyte osmotic lysis,phenotype_biologicalprocess,GO:0052386,-2.0226528644561768,-0.607891854730636,REJECT,abnormal erythrocyte osmotic lysis,cell wall thickening,[],False,False,False,False,,,
abnormal erythrocyte osmotic lysis,phenotype_biologicalprocess,GO:0001659,-0.47963809967041016,-0.607891854730636,ACCEPT,abnormal erythrocyte osmotic lysis,temperature homeostasis,[],False,False,False,False,,,
abnormal erythrocyte osmotic lysis,phenotype_phenotype,wild-type,-1.7290245294570923,-0.150242852206178,REJECT,abnormal erythrocyte osmotic lysis,wild-type,[],False,False,False,False,,,
wild-type,phenotype_biologicalprocess,GO:1903137,-0.7194017171859741,-0.607891854730636,REJECT,wild-type,regulation of cell wall integrity MAPK cascade,[],False,False,False,False,,,
wild-type,phenotype_biologicalprocess,GO:0052386,-2.2415077686309814,-0.607891854730636,REJECT,wild-type,cell wall thickening,[],False,False,False,False,,,
wild-type,phenotype_biologicalprocess,GO:0001659,-0.265993595123291,-0.607891854730636,ACCEPT,wild-type,temperature homeostasis,[],False,False,False,False,,,
