head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
P10356,protein_molecularfunction,GO:0047536,-0.07575160264968872,-0.5690634813738988,ACCEPT,Uncharacterized protein YER152C,2-aminoadipate transaminase activity,['Protein_MolecularFunction'],False,True,True,False,Protein_MolecularFunction,,
P10356,protein_phenotype,abnormal amino acid metabolism,-0.6603991985321045,-0.0497034494975703,REJECT,Uncharacterized protein YER152C,abnormal amino acid metabolism,[],False,False,False,False,,,
P10356,protein_phenotype,WBPhenotype:0002255,-0.8765600323677063,-0.0497034494975703,REJECT,Uncharacterized protein YER152C,amino acid metabolism variant,[],False,False,False,False,,,
P10356,protein_phenotype,MP:0013242,-0.7683901786804199,-0.0497034494975703,REJECT,Uncharacterized protein YER152C,abnormal amino acid metabolism,[],False,False,False,False,,,
P10356,protein_phenotype,HP:0004337,-1.2465702295303345,-0.0497034494975703,REJECT,Uncharacterized protein YER152C,Abnormality of amino acid metabolism,[],False,False,False,False,,,
P10356,protein_disease,CN377664,-0.6987013220787048,-0.1452060252739286,REJECT,Uncharacterized protein YER152C,Amino acid metabolism disease,[],False,False,False,False,,,
P10356,protein_disease,C5886841,-0.8011772632598877,-0.1452060252739286,REJECT,Uncharacterized protein YER152C,Disorder of amino acid metabolism,[],False,False,False,False,,,
P10356,protein_disease,D000592,-1.00696861743927,-0.1452060252739286,REJECT,Uncharacterized protein YER152C,"Amino Acid Metabolism, Inborn Errors",[],False,False,False,False,,,
P10356,protein_pathway,R-HSA-1614635,-0.8826374411582947,-0.0332625891724323,REJECT,Uncharacterized protein YER152C,Sulfur amino acid metabolism,[],False,False,False,False,,,
P10356,protein_biologicalprocess,GO:0010286,-0.1258758306503296,-0.5776643345681309,ACCEPT,Uncharacterized protein YER152C,heat acclimation,[],False,False,False,False,,,
P10356,protein_biologicalprocess,GO:0070370,-0.15615034103393555,-0.5776643345681309,ACCEPT,Uncharacterized protein YER152C,cellular heat acclimation,[],False,False,False,False,,,
YER152C,gene_protein,P10356,-0.06626518070697784,-0.0280984394514378,REJECT,2-aminoadipate transaminase,Uncharacterized protein YER152C,[],False,False,False,False,,,
YER152C,gene_molecularfunction,GO:0047536,-0.007642703130841255,-0.0286995250249342,ACCEPT,2-aminoadipate transaminase,2-aminoadipate transaminase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
YER152C,gene_phenotype,abnormal amino acid metabolism,-0.02912154048681259,-0.0347684314162952,ACCEPT,2-aminoadipate transaminase,abnormal amino acid metabolism,[],False,False,False,False,,,
YER152C,gene_phenotype,WBPhenotype:0002255,-0.028818048536777496,-0.0347684314162952,ACCEPT,2-aminoadipate transaminase,amino acid metabolism variant,[],False,False,False,False,,,
YER152C,gene_phenotype,MP:0013242,-0.030545111745595932,-0.0347684314162952,ACCEPT,2-aminoadipate transaminase,abnormal amino acid metabolism,[],False,False,False,False,,,
YER152C,gene_phenotype,HP:0004337,-0.02341299131512642,-0.0347684314162952,ACCEPT,2-aminoadipate transaminase,Abnormality of amino acid metabolism,[],False,False,False,False,,,
YER152C,gene_disease,CN377664,-0.13622410595417023,-0.0375339126131901,REJECT,2-aminoadipate transaminase,Amino acid metabolism disease,[],False,False,False,False,,,
YER152C,gene_disease,C5886841,-0.04749821126461029,-0.0375339126131901,REJECT,2-aminoadipate transaminase,Disorder of amino acid metabolism,[],False,False,False,False,,,
YER152C,gene_disease,D000592,-0.031070435419678688,-0.0375339126131901,ACCEPT,2-aminoadipate transaminase,"Amino Acid Metabolism, Inborn Errors",[],False,False,False,False,,,
YER152C,gene_pathway,R-HSA-1614635,-0.025673305615782738,-0.0346968297443117,ACCEPT,2-aminoadipate transaminase,Sulfur amino acid metabolism,[],False,False,False,False,,,
YER152C,gene_biologicalprocess,GO:0010286,-0.0348854660987854,-0.0356325677219588,ACCEPT,2-aminoadipate transaminase,heat acclimation,[],False,False,False,False,,,
YER152C,gene_positivelyassociatedwith_biologicalprocess,GO:0010286,-0.3255135715007782,-0.0730086550790463,REJECT,2-aminoadipate transaminase,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3995, 'gene_promotes_biologicalprocess': -0.4543, 'gene_negativelyassociatedwith_biologicalprocess': -0.4269, 'gene_positivelyassociatedwith_biologicalprocess': -0.3255, 'gene_notassociatedwith_biologicalprocess': -0.3694}"
YER152C,gene_biologicalprocess,GO:0070370,-0.029751550406217575,-0.0356325677219588,ACCEPT,2-aminoadipate transaminase,cellular heat acclimation,[],False,False,False,False,,,
YER152C,gene_notassociatedwith_biologicalprocess,GO:0070370,-0.34749311208724976,-0.1941926147433079,REJECT,2-aminoadipate transaminase,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3805, 'gene_promotes_biologicalprocess': -0.358, 'gene_negativelyassociatedwith_biologicalprocess': -0.4296, 'gene_positivelyassociatedwith_biologicalprocess': -0.3509, 'gene_notassociatedwith_biologicalprocess': -0.3475}"
GO:0047536,molecularfunction_biologicalprocess,GO:0010286,-0.0006257675122469664,-0.0147993624499696,ACCEPT,2-aminoadipate transaminase activity,heat acclimation,[],False,False,False,False,,,
GO:0047536,molecularfunction_biologicalprocess,GO:0070370,-0.0009725363925099373,-0.0147993624499696,ACCEPT,2-aminoadipate transaminase activity,cellular heat acclimation,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_molecularfunction,GO:0047536,-0.185784712433815,-0.4457983972888497,ACCEPT,abnormal amino acid metabolism,2-aminoadipate transaminase activity,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_phenotype,WBPhenotype:0002255,-0.4114977717399597,-0.150242852206178,REJECT,abnormal amino acid metabolism,amino acid metabolism variant,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_phenotype,MP:0013242,-0.42159733176231384,-0.150242852206178,REJECT,abnormal amino acid metabolism,abnormal amino acid metabolism,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_phenotype,HP:0004337,-0.8245207667350769,-0.150242852206178,REJECT,abnormal amino acid metabolism,Abnormality of amino acid metabolism,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_disease,CN377664,-1.1294499635696411,-0.1923751866991638,REJECT,abnormal amino acid metabolism,Amino acid metabolism disease,[],False,False,False,False,,,
abnormal amino acid metabolism,phenotype_disease,C5886841,-1.93471097946167,-0.1923751866991638,REJECT,abnormal amino acid metabolism,Disorder of amino acid metabolism,[],False,False,False,False,,,
