head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
Q12051,protein_molecularfunction,GO:0052922,-0.35610780119895935,-0.5690634813738988,ACCEPT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,[],False,False,False,False,
Q12051,protein_molecularfunction,GO:0052924,-0.34729310870170593,-0.5690634813738988,ACCEPT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,[],False,False,False,False,
Q12051,protein_biologicalprocess,GO:0009408,-0.5916751623153687,-0.5776643345681309,REJECT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},response to heat,[],False,False,False,False,
Q12051,protein_biologicalprocess,GO:0034605,-0.6232879757881165,-0.5776643345681309,REJECT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},cellular response to heat,[],False,False,False,False,
Q12051,protein_biologicalprocess,GO:0036165,-0.8766332864761353,-0.5776643345681309,REJECT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},invasive growth in response to heat,[],False,False,False,False,
Q12051,protein_biologicalprocess,GO:1900034,-0.8899298906326294,-0.5776643345681309,REJECT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},regulation of cellular response to heat,[],False,False,False,False,
Q12051,protein_biologicalprocess,GO:0090442,-0.7254980802536011,-0.5776643345681309,REJECT,Geranylgeranyl pyrophosphate synthase BTS1 {ECO:0000303|PubMed:7665600},trehalose catabolism in response to heat stress,[],False,False,False,False,
GO:0052922,molecularfunction_molecularfunction,GO:0052924,-0.048440463840961456,-0.0413108806514266,REJECT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,[],False,False,False,False,
GO:0052922,molecularfunction_biologicalprocess,GO:0009408,-0.009387912228703499,-0.0147993624499696,ACCEPT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,response to heat,[],False,False,False,False,
GO:0052922,molecularfunction_biologicalprocess,GO:0034605,-0.013286473229527473,-0.0147993624499696,ACCEPT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,cellular response to heat,[],False,False,False,False,
GO:0052922,molecularfunction_biologicalprocess,GO:0036165,-0.17324596643447876,-0.0147993624499696,REJECT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,invasive growth in response to heat,[],False,False,False,False,
GO:0052922,molecularfunction_biologicalprocess,GO:1900034,-0.04465779662132263,-0.0147993624499696,REJECT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,regulation of cellular response to heat,[],False,False,False,False,
GO:0052922,molecularfunction_biologicalprocess,GO:0090442,-0.18353109061717987,-0.0147993624499696,REJECT,hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific) activity,trehalose catabolism in response to heat stress,[],False,False,False,False,
GO:0052924,molecularfunction_biologicalprocess,GO:0009408,-0.000508918717969209,-0.0147993624499696,ACCEPT,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,response to heat,[],False,False,False,False,
GO:0052924,molecularfunction_biologicalprocess,GO:0034605,-0.0010650062467902899,-0.0147993624499696,ACCEPT,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,cellular response to heat,[],False,False,False,False,
GO:0052924,molecularfunction_biologicalprocess,GO:0036165,-0.04763754457235336,-0.0147993624499696,REJECT,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,invasive growth in response to heat,[],False,False,False,False,
GO:0052924,molecularfunction_biologicalprocess,GO:1900034,-0.0049287802539765835,-0.0147993624499696,ACCEPT,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,regulation of cellular response to heat,[],False,False,False,False,
