head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ATP5F1D,gene_biologicalprocess,GO:0042773,-0.004941393155604601,-0.0356325677219588,ACCEPT,ATP synthase F1 subunit delta,ATP synthesis coupled electron transport,[],False,False,False,False,,,
ATP5F1D,gene_inhibits_biologicalprocess,GO:0042773,-0.13129432499408722,-0.0559618705714699,REJECT,ATP synthase F1 subunit delta,ATP synthesis coupled electron transport,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1313, 'gene_promotes_biologicalprocess': -0.1523, 'gene_negativelyassociatedwith_biologicalprocess': -0.2524, 'gene_positivelyassociatedwith_biologicalprocess': -0.2465, 'gene_notassociatedwith_biologicalprocess': -0.3648}"
ATP5F1D,gene_phenotype,abnormal heat stress response,-0.009398018009960651,-0.0347684314162952,ACCEPT,ATP synthase F1 subunit delta,abnormal heat stress response,[],False,False,False,False,,,
ATP5F1D,gene_chemicalentity,5957,-0.006459776312112808,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit delta,ATP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
ATP5F1D,gene_chemicalentity,6022,-0.003012067172676325,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit delta,ADP,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
ATP5F1D,gene_chemicalentity,7058055,-0.003486460540443659,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit delta,ADP(3-),[],False,False,False,False,,,
ATP5F1D,gene_chemicalentity,6076,-0.01068316213786602,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit delta,"3',5'-cyclic AMP",[],False,False,False,False,,,
ATP5F1D,gene_chemicalentity,7059571,-0.00834609940648079,-0.0285922419958417,ACCEPT,ATP synthase F1 subunit delta,"3',5'-cyclic AMP(1-)",[],False,False,False,False,,,
GO:0042773,biologicalprocess_chemicalentity,5957,-0.001979091204702854,-0.03613698155982,ACCEPT,ATP synthesis coupled electron transport,ATP,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0042773,-0.15057627856731415,-0.596142909254255,ACCEPT,ATP,ATP synthesis coupled electron transport,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1506, 'chemicalentity_noeffect_biologicalprocess': -1.7573, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4309, 'chemicalentity_promotes_biologicalprocess': -0.292, 'chemicalentity_inhibits_biologicalprocess': -0.184, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2319}"
GO:0042773,biologicalprocess_chemicalentity,6022,-0.0012608295073732734,-0.03613698155982,ACCEPT,ATP synthesis coupled electron transport,ADP,[],False,False,False,False,,,
6022,chemicalentity_inhibits_biologicalprocess,GO:0042773,-0.18180924654006958,-0.7050372264239742,ACCEPT,ADP,ATP synthesis coupled electron transport,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2786, 'chemicalentity_noeffect_biologicalprocess': -1.8703, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6431, 'chemicalentity_promotes_biologicalprocess': -0.2648, 'chemicalentity_inhibits_biologicalprocess': -0.1818, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4032}"
GO:0042773,biologicalprocess_chemicalentity,7058055,-0.0007494647870771587,-0.03613698155982,ACCEPT,ATP synthesis coupled electron transport,ADP(3-),[],False,False,False,False,,,
