head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
CD38,gene_chemicalentity,5892,-0.004883948247879744,-0.0285922419958417,ACCEPT,CD38 molecule,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene
CD38,gene_chemicalentity,15938971,-0.005658804439008236,-0.0285922419958417,ACCEPT,CD38 molecule,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",[],False,False,False,False,
CD38,gene_chemicalentity,5893,-0.018710073083639145,-0.0285922419958417,ACCEPT,CD38 molecule,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",[],False,False,False,False,
CD38,gene_chemicalentity,165491,-0.010195965878665447,-0.0285922419958417,ACCEPT,CD38 molecule,"1-[(2R,3R,4S,5R)-5-[[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]pyridin-1-ium-3-carboxylic acid",[],False,False,False,False,
CD38,gene_chemicalentity,126961192,-0.04836638271808624,-0.0285922419958417,REJECT,CD38 molecule,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4R,5R)-5-(3-carbamothioylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate",[],False,False,False,False,
CD38,gene_tissue,BTO:0002064,-0.004822533577680588,-0.0456591214389128,ACCEPT,CD38 molecule,stromal cell,['Gene_Tissue'],False,True,True,False,Gene_Tissue
CD38,gene_tissue,BTO:0005996,-0.26503756642341614,-0.0456591214389128,REJECT,CD38 molecule,stromal cell line,['Gene_Tissue'],False,True,True,False,Gene_Tissue
CD38,gene_tissue,BTO:0004561,-0.01270249206572771,-0.0456591214389128,ACCEPT,CD38 molecule,thymic stromal cell,['Gene_Tissue'],False,True,True,False,Gene_Tissue
CD38,gene_tissue,BTO:0005756,-0.017906630411744118,-0.0456591214389128,ACCEPT,CD38 molecule,decidual stromal cell,[],False,False,False,False,
CD38,gene_tissue,BTO:0003697,-0.00551059003919363,-0.0456591214389128,ACCEPT,CD38 molecule,endometrial stromal cell,[],False,False,False,False,
