head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YBR068C,gene_chemicalentity,33558,-0.016607442870736122,-0.0285922419958417,ACCEPT,branched-chain amino acid permease BAP2,azide anion,[],False,False,False,False,,,
YBR068C,gene_chemicalentity,104727,-0.019917480647563934,-0.0285922419958417,ACCEPT,branched-chain amino acid permease BAP2,aluminum(3+),[],False,False,False,False,,,
YBR068C,gene_chemicalentity,105034,-0.09931442886590958,-0.0285922419958417,REJECT,branched-chain amino acid permease BAP2,cyanate,[],False,False,False,False,,,
YBR068C,gene_biologicalprocess,GO:0051673,-0.034925591200590134,-0.0356325677219588,ACCEPT,branched-chain amino acid permease BAP2,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
YBR068C,gene_positivelyassociatedwith_biologicalprocess,GO:0051673,-0.23267598450183868,-0.0730086550790463,REJECT,branched-chain amino acid permease BAP2,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3239, 'gene_promotes_biologicalprocess': -0.3063, 'gene_negativelyassociatedwith_biologicalprocess': -0.2982, 'gene_positivelyassociatedwith_biologicalprocess': -0.2327, 'gene_notassociatedwith_biologicalprocess': -0.3522}"
YBR068C,gene_biologicalprocess,GO:0009266,-0.022524040192365646,-0.0356325677219588,ACCEPT,branched-chain amino acid permease BAP2,response to temperature stimulus,[],False,False,False,False,,,
YBR068C,gene_promotes_biologicalprocess,GO:0009266,-0.1710815727710724,-0.0617563253450388,REJECT,branched-chain amino acid permease BAP2,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1782, 'gene_promotes_biologicalprocess': -0.1711, 'gene_negativelyassociatedwith_biologicalprocess': -0.3592, 'gene_positivelyassociatedwith_biologicalprocess': -0.1791, 'gene_notassociatedwith_biologicalprocess': -0.3076}"
YBR068C,gene_biologicalprocess,GO:0016048,-0.0169637780636549,-0.0356325677219588,ACCEPT,branched-chain amino acid permease BAP2,detection of temperature stimulus,[],False,False,False,False,,,
YBR068C,gene_inhibits_biologicalprocess,GO:0016048,-0.2126362919807434,-0.0559618705714699,REJECT,branched-chain amino acid permease BAP2,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2126, 'gene_promotes_biologicalprocess': -0.2332, 'gene_negativelyassociatedwith_biologicalprocess': -0.4059, 'gene_positivelyassociatedwith_biologicalprocess': -0.2425, 'gene_notassociatedwith_biologicalprocess': -0.2837}"
YBR068C,gene_biologicalprocess,GO:0071502,-0.025747481733560562,-0.0356325677219588,ACCEPT,branched-chain amino acid permease BAP2,cellular response to temperature stimulus,[],False,False,False,False,,,
YBR068C,gene_promotes_biologicalprocess,GO:0071502,-0.14109264314174652,-0.0617563253450388,REJECT,branched-chain amino acid permease BAP2,cellular response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1622, 'gene_promotes_biologicalprocess': -0.1411, 'gene_negativelyassociatedwith_biologicalprocess': -0.2188, 'gene_positivelyassociatedwith_biologicalprocess': -0.1475, 'gene_notassociatedwith_biologicalprocess': -0.2421}"
YBR068C,gene_biologicalprocess,GO:0050951,-0.03541139140725136,-0.0356325677219588,ACCEPT,branched-chain amino acid permease BAP2,sensory perception of temperature stimulus,[],False,False,False,False,,,
YBR068C,gene_promotes_biologicalprocess,GO:0050951,-0.2283444106578827,-0.0617563253450388,REJECT,branched-chain amino acid permease BAP2,sensory perception of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2463, 'gene_promotes_biologicalprocess': -0.2283, 'gene_negativelyassociatedwith_biologicalprocess': -0.4171, 'gene_positivelyassociatedwith_biologicalprocess': -0.29, 'gene_notassociatedwith_biologicalprocess': -0.3018}"
33558,chemicalentity_chemicalentity,104727,-0.1688370257616043,-0.2425281074611494,ACCEPT,azide anion,aluminum(3+),[],False,False,False,False,,,
33558,chemicalentity_chemicalentity,105034,-0.3498217463493347,-0.2425281074611494,REJECT,azide anion,cyanate,[],False,False,False,False,,,
33558,chemicalentity_biologicalprocess,GO:0051673,-0.18522271513938904,-0.232143107153421,ACCEPT,azide anion,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
33558,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051673,-0.29110267758369446,-0.596142909254255,ACCEPT,azide anion,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2911, 'chemicalentity_noeffect_biologicalprocess': -2.0012, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6187, 'chemicalentity_promotes_biologicalprocess': -0.772, 'chemicalentity_inhibits_biologicalprocess': -0.5779, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4939}"
33558,chemicalentity_biologicalprocess,GO:0009266,-0.1718008816242218,-0.232143107153421,ACCEPT,azide anion,response to temperature stimulus,[],False,False,False,False,,,
33558,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009266,-0.24413011968135834,-0.596142909254255,ACCEPT,azide anion,response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2441, 'chemicalentity_noeffect_biologicalprocess': -1.8909, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6831, 'chemicalentity_promotes_biologicalprocess': -0.7651, 'chemicalentity_inhibits_biologicalprocess': -0.3426, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5792}"
33558,chemicalentity_biologicalprocess,GO:0016048,-0.13156279921531677,-0.232143107153421,ACCEPT,azide anion,detection of temperature stimulus,[],False,False,False,False,,,
33558,chemicalentity_inhibits_biologicalprocess,GO:0016048,-0.1989905834197998,-0.7050372264239742,ACCEPT,azide anion,detection of temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3026, 'chemicalentity_noeffect_biologicalprocess': -1.2664, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6397, 'chemicalentity_promotes_biologicalprocess': -0.4531, 'chemicalentity_inhibits_biologicalprocess': -0.199, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6488}"
33558,chemicalentity_biologicalprocess,GO:0071502,-0.11018145829439163,-0.232143107153421,ACCEPT,azide anion,cellular response to temperature stimulus,[],False,False,False,False,,,
33558,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0071502,-0.24280452728271484,-0.596142909254255,ACCEPT,azide anion,cellular response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2428, 'chemicalentity_noeffect_biologicalprocess': -1.9559, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3762, 'chemicalentity_promotes_biologicalprocess': -0.859, 'chemicalentity_inhibits_biologicalprocess': -0.5017, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3613}"
33558,chemicalentity_biologicalprocess,GO:0050951,-0.11253046989440918,-0.232143107153421,ACCEPT,azide anion,sensory perception of temperature stimulus,[],False,False,False,False,,,
33558,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0050951,-0.2659943997859955,-0.596142909254255,ACCEPT,azide anion,sensory perception of temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.266, 'chemicalentity_noeffect_biologicalprocess': -1.388, 'chemicalentity_notassociatedwith_biologicalprocess': -0.554, 'chemicalentity_promotes_biologicalprocess': -0.5339, 'chemicalentity_inhibits_biologicalprocess': -0.2846, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4355}"
104727,chemicalentity_chemicalentity,105034,-0.5450096726417542,-0.2425281074611494,REJECT,aluminum(3+),cyanate,[],False,False,False,False,,,
104727,chemicalentity_biologicalprocess,GO:0051673,-0.3288470506668091,-0.232143107153421,REJECT,aluminum(3+),disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
104727,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051673,-0.377329558134079,-0.596142909254255,ACCEPT,aluminum(3+),disruption of plasma membrane integrity in another organism,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3773, 'chemicalentity_noeffect_biologicalprocess': -2.0257, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6942, 'chemicalentity_promotes_biologicalprocess': -0.9064, 'chemicalentity_inhibits_biologicalprocess': -0.5883, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5162}"
104727,chemicalentity_biologicalprocess,GO:0009266,-0.3340078294277191,-0.232143107153421,REJECT,aluminum(3+),response to temperature stimulus,[],False,False,False,False,,,
104727,chemicalentity_inhibits_biologicalprocess,GO:0009266,-0.4402005672454834,-0.7050372264239742,ACCEPT,aluminum(3+),response to temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4605, 'chemicalentity_noeffect_biologicalprocess': -1.9132, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8158, 'chemicalentity_promotes_biologicalprocess': -0.888, 'chemicalentity_inhibits_biologicalprocess': -0.4402, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6771}"
104727,chemicalentity_biologicalprocess,GO:0016048,-0.26715490221977234,-0.232143107153421,REJECT,aluminum(3+),detection of temperature stimulus,[],False,False,False,False,,,
104727,chemicalentity_inhibits_biologicalprocess,GO:0016048,-0.27967745065689087,-0.7050372264239742,ACCEPT,aluminum(3+),detection of temperature stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4397, 'chemicalentity_noeffect_biologicalprocess': -1.3183, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6727, 'chemicalentity_promotes_biologicalprocess': -0.5537, 'chemicalentity_inhibits_biologicalprocess': -0.2797, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7416}"
104727,chemicalentity_biologicalprocess,GO:0071502,-0.20968300104141235,-0.232143107153421,ACCEPT,aluminum(3+),cellular response to temperature stimulus,[],False,False,False,False,,,
