head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
P40017,protein_protein,Q704S8,-0.8136518001556396,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},Carnitine O-acetyltransferase,[],False,False,False,False,
P40017,protein_protein,Q9BW16,-2.0153698921203613,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P40017,protein_protein,P43155,-1.9618018865585327,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P40017,protein_protein,P47934,-0.8495244979858398,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P40017,protein_protein,Q5T952,-1.9788167476654053,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P40017,protein_biologicalprocess,GO:0070370,-0.193568155169487,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase YAT2 {ECO:0000303|PubMed:11329169},cellular heat acclimation,[],False,False,False,False,
Q704S8,protein_protein,Q9BW16,-1.7069430351257324,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase,Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q704S8,protein_protein,P43155,-1.6409658193588257,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase,Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q704S8,protein_protein,P47934,-0.7772595286369324,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase,Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q704S8,protein_protein,Q5T952,-1.657510757446289,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase,Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q704S8,protein_biologicalprocess,GO:0070370,-0.24821363389492035,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase,cellular heat acclimation,[],False,False,False,False,
Q9BW16,protein_protein,P43155,-0.04265783354640007,-0.2036837140803804,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q9BW16,protein_protein,P47934,-0.1548021286725998,-0.2036837140803804,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q9BW16,protein_protein,Q5T952,-0.0453217476606369,-0.2036837140803804,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
Q9BW16,protein_biologicalprocess,GO:0070370,-0.010225174948573112,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},cellular heat acclimation,[],False,False,False,False,
P43155,protein_protein,P47934,-0.17352654039859772,-0.2036837140803804,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},['Protein_Protein'],False,True,True,False,Protein_Protein
P43155,protein_protein,Q5T952,-0.07700449228286743,-0.2036837140803804,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P43155,protein_biologicalprocess,GO:0070370,-0.006809553597122431,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},cellular heat acclimation,[],False,False,False,False,
P47934,protein_protein,Q5T952,-1.8595227003097534,-0.2036837140803804,REJECT,Carnitine O-acetyltransferase {ECO:0000305},Carnitine O-acetyltransferase {ECO:0000305},[],False,False,False,False,
P47934,protein_biologicalprocess,GO:0070370,-0.13127972185611725,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},cellular heat acclimation,[],False,False,False,False,
Q5T952,protein_biologicalprocess,GO:0070370,-0.015678055584430695,-0.5776643345681309,ACCEPT,Carnitine O-acetyltransferase {ECO:0000305},cellular heat acclimation,[],False,False,False,False,
