head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
92135,chemicalentity_chemicalentity,441,-0.9795207977294922,-0.2425281074611494,REJECT,(3R)-3-hydroxybutanoic acid,3-hydroxybutanoic acid,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
92135,chemicalentity_chemicalentity,94318,-0.744075357913971,-0.2425281074611494,REJECT,(3R)-3-hydroxybutanoic acid,(3S)-3-hydroxybutanoic acid,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
92135,chemicalentity_biologicalprocess,GO:0090398,-0.32855895161628723,-0.232143107153421,REJECT,(3R)-3-hydroxybutanoic acid,cellular senescence,[],False,False,False,False,,,
92135,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.026101218536496162,-0.7050372264239742,ACCEPT,(3R)-3-hydroxybutanoic acid,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2006, 'chemicalentity_noeffect_biologicalprocess': -0.6524, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4328, 'chemicalentity_promotes_biologicalprocess': -0.1346, 'chemicalentity_inhibits_biologicalprocess': -0.0261, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2789}"
92135,chemicalentity_biologicalprocess,GO:0008152,-0.8172836303710938,-0.232143107153421,REJECT,(3R)-3-hydroxybutanoic acid,metabolic process,[],False,False,False,False,,,
92135,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008152,-0.3450608253479004,-0.596142909254255,ACCEPT,(3R)-3-hydroxybutanoic acid,metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3451, 'chemicalentity_noeffect_biologicalprocess': -2.1735, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0941, 'chemicalentity_promotes_biologicalprocess': -0.8559, 'chemicalentity_inhibits_biologicalprocess': -0.4766, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7198}"
92135,chemicalentity_biologicalprocess,GO:0009455,-0.530924916267395,-0.232143107153421,REJECT,(3R)-3-hydroxybutanoic acid,redox taxis,[],False,False,False,False,,,
92135,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009455,-0.6069830656051636,-0.596142909254255,REJECT,(3R)-3-hydroxybutanoic acid,redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.607, 'chemicalentity_noeffect_biologicalprocess': -1.5149, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7798, 'chemicalentity_promotes_biologicalprocess': -0.9629, 'chemicalentity_inhibits_biologicalprocess': -0.6973, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6411}"
92135,chemicalentity_pathway,R-HSA-163685,-0.46360301971435547,-0.3200630854546729,REJECT,(3R)-3-hydroxybutanoic acid,Integration of energy metabolism,[],False,False,False,False,,,
92135,chemicalentity_protein,D3VVE9,-0.9896799325942993,-0.3552259656009227,REJECT,(3R)-3-hydroxybutanoic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
