head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YPR139C,gene_molecularfunction,GO:0042171,-0.16341610252857208,-0.0286995250249342,REJECT,lysophosphatidic acid acyltransferase LOA1,lysophosphatidic acid acyltransferase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
YPR139C,gene_phenotype,embryo phenotype,-0.24302420020103455,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,embryo phenotype,[],False,False,False,False,,,
YPR139C,gene_phenotype,muscle phenotype,-0.22363989055156708,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,muscle phenotype,[],False,False,False,False,,,
YPR139C,gene_phenotype,terminal phenotype,-0.23254971206188202,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,terminal phenotype,[],False,False,False,False,,,
YPR139C,gene_phenotype,skeleton phenotype,-0.24156111478805542,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,skeleton phenotype,[],False,False,False,False,,,
YPR139C,gene_phenotype,cellular phenotype,-0.11994846910238266,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,cellular phenotype,[],False,False,False,False,,,
YPR139C,gene_phenotype,WBPhenotype:0002484,-0.15464141964912415,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,membrane fluidity variant,[],False,False,False,False,,,
YPR139C,gene_phenotype,WBPhenotype:0002361,-0.282389760017395,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,membrane fluidity increased,[],False,False,False,False,,,
YPR139C,gene_phenotype,abnormal vascular permeability,-0.3523341119289398,-0.0347684314162952,REJECT,lysophosphatidic acid acyltransferase LOA1,abnormal vascular permeability,[],False,False,False,False,,,
YPR139C,gene_biologicalprocess,GO:0009408,-0.06715020537376404,-0.0356325677219588,REJECT,lysophosphatidic acid acyltransferase LOA1,response to heat,[],False,False,False,False,,,
YPR139C,gene_promotes_biologicalprocess,GO:0009408,-0.23359261453151703,-0.0617563253450388,REJECT,lysophosphatidic acid acyltransferase LOA1,response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4427, 'gene_promotes_biologicalprocess': -0.2336, 'gene_negativelyassociatedwith_biologicalprocess': -0.5954, 'gene_positivelyassociatedwith_biologicalprocess': -0.331, 'gene_notassociatedwith_biologicalprocess': -0.4875}"
YPR139C,gene_biologicalprocess,GO:0034605,-0.09961308538913727,-0.0356325677219588,REJECT,lysophosphatidic acid acyltransferase LOA1,cellular response to heat,[],False,False,False,False,,,
YPR139C,gene_promotes_biologicalprocess,GO:0034605,-0.34770989418029785,-0.0617563253450388,REJECT,lysophosphatidic acid acyltransferase LOA1,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5239, 'gene_promotes_biologicalprocess': -0.3477, 'gene_negativelyassociatedwith_biologicalprocess': -0.8073, 'gene_positivelyassociatedwith_biologicalprocess': -0.4596, 'gene_notassociatedwith_biologicalprocess': -0.5962}"
GO:0042171,molecularfunction_biologicalprocess,GO:0009408,-0.00945859495550394,-0.0147993624499696,ACCEPT,lysophosphatidic acid acyltransferase activity,response to heat,[],False,False,False,False,,,
GO:0042171,molecularfunction_biologicalprocess,GO:0034605,-0.013445232063531876,-0.0147993624499696,ACCEPT,lysophosphatidic acid acyltransferase activity,cellular response to heat,[],False,False,False,False,,,
embryo phenotype,phenotype_molecularfunction,GO:0042171,-0.6223413944244385,-0.4457983972888497,REJECT,embryo phenotype,lysophosphatidic acid acyltransferase activity,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,muscle phenotype,-2.5466511249542236,-0.150242852206178,REJECT,embryo phenotype,muscle phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,terminal phenotype,-1.143524169921875,-0.150242852206178,REJECT,embryo phenotype,terminal phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,skeleton phenotype,-2.262286424636841,-0.150242852206178,REJECT,embryo phenotype,skeleton phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,cellular phenotype,-1.927912950515747,-0.150242852206178,REJECT,embryo phenotype,cellular phenotype,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,WBPhenotype:0002484,-1.3828821182250977,-0.150242852206178,REJECT,embryo phenotype,membrane fluidity variant,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,WBPhenotype:0002361,-1.6498467922210693,-0.150242852206178,REJECT,embryo phenotype,membrane fluidity increased,[],False,False,False,False,,,
embryo phenotype,phenotype_phenotype,abnormal vascular permeability,-3.6912944316864014,-0.150242852206178,REJECT,embryo phenotype,abnormal vascular permeability,[],False,False,False,False,,,
