head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YOR360C,gene_molecularfunction,GO:0004115,-0.02938150055706501,-0.0286995250249342,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2","3',5'-cyclic-AMP phosphodiesterase activity",['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
YOR360C,gene_biologicalprocess,GO:0070370,-0.06662186235189438,-0.0356325677219588,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",cellular heat acclimation,[],False,False,False,False,,,
YOR360C,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-0.4206613004207611,-0.0730086550790463,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4864, 'gene_promotes_biologicalprocess': -0.5093, 'gene_negativelyassociatedwith_biologicalprocess': -0.4749, 'gene_positivelyassociatedwith_biologicalprocess': -0.4207, 'gene_notassociatedwith_biologicalprocess': -0.428}"
YOR360C,gene_gene,GAS6,-0.11670931428670883,-0.071739344080056,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",growth arrest specific 6,[],False,False,False,False,,,
YOR360C,gene_gene,GAS1,-0.12490364909172058,-0.071739344080056,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",growth arrest specific 1,[],False,False,False,False,,,
YOR360C,gene_gene,GAS7,-0.11370877921581268,-0.071739344080056,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",growth arrest specific 7,[],False,False,False,False,,,
YOR360C,gene_gene,GAS5,-0.14023247361183167,-0.071739344080056,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",growth arrest specific 5,[],False,False,False,False,,,
YOR360C,gene_gene,GAS8,-0.1110760048031807,-0.071739344080056,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",growth arrest specific 8,[],False,False,False,False,,,
YOR360C,gene_protein,A8KAC2,-0.131179541349411,-0.0280984394514378,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",Growth arrest-specific protein 7,[],False,False,False,False,,,
YOR360C,gene_protein,B2RCK9,-0.08379871398210526,-0.0280984394514378,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",Growth arrest-specific protein 7,[],False,False,False,False,,,
YOR360C,gene_protein,O43144,-0.0760454386472702,-0.0280984394514378,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",Growth arrest-specific protein 7,[],False,False,False,False,,,
YOR360C,gene_protein,O60861,-0.06936316192150116,-0.0280984394514378,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",Growth arrest-specific protein 7,[],False,False,False,False,,,
YOR360C,gene_protein,Q7Z571,-0.07378806173801422,-0.0280984394514378,REJECT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",Growth arrest-specific protein 7,[],False,False,False,False,,,
YOR360C,gene_biologicalprocess,GO:0009408,-0.016111265867948532,-0.0356325677219588,ACCEPT,"3',5'-cyclic-nucleotide phosphodiesterase PDE2",response to heat,[],False,False,False,False,,,
