head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
BDH1,gene_chemicalentity,5957,-0.015475485473871231,-0.0285922419958417,ACCEPT,3-hydroxybutyrate dehydrogenase 1,ATP,[],False,False,False,False,,,
BDH1,gene_chemicalentity,5461108,-0.007961778901517391,-0.0285922419958417,ACCEPT,3-hydroxybutyrate dehydrogenase 1,ATP(4-),[],False,False,False,False,,,
BDH1,gene_biologicalprocess,GO:0051775,-0.041999779641628265,-0.0356325677219588,REJECT,3-hydroxybutyrate dehydrogenase 1,response to redox state,[],False,False,False,False,,,
BDH1,gene_positivelyassociatedwith_biologicalprocess,GO:0051775,-0.18429000675678253,-0.0730086550790463,REJECT,3-hydroxybutyrate dehydrogenase 1,response to redox state,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2667, 'gene_promotes_biologicalprocess': -0.2328, 'gene_negativelyassociatedwith_biologicalprocess': -0.3323, 'gene_positivelyassociatedwith_biologicalprocess': -0.1843, 'gene_notassociatedwith_biologicalprocess': -0.4257}"
BDH1,gene_biologicalprocess,GO:0051776,-0.06973832100629807,-0.0356325677219588,REJECT,3-hydroxybutyrate dehydrogenase 1,detection of redox state,[],False,False,False,False,,,
BDH1,gene_notassociatedwith_biologicalprocess,GO:0051776,-0.35244297981262207,-0.1941926147433079,REJECT,3-hydroxybutyrate dehydrogenase 1,detection of redox state,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4333, 'gene_promotes_biologicalprocess': -0.4776, 'gene_negativelyassociatedwith_biologicalprocess': -0.4398, 'gene_positivelyassociatedwith_biologicalprocess': -0.4009, 'gene_notassociatedwith_biologicalprocess': -0.3524}"
5957,chemicalentity_chemicalentity,5461108,-0.016916025429964066,-0.2425281074611494,ACCEPT,ATP,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_biologicalprocess,GO:0051775,-0.031322017312049866,-0.232143107153421,ACCEPT,ATP,response to redox state,[],False,False,False,False,,,
5957,chemicalentity_inhibits_biologicalprocess,GO:0051775,-0.10046407580375671,-0.7050372264239742,ACCEPT,ATP,response to redox state,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1188, 'chemicalentity_noeffect_biologicalprocess': -0.7316, 'chemicalentity_notassociatedwith_biologicalprocess': -0.259, 'chemicalentity_promotes_biologicalprocess': -0.332, 'chemicalentity_inhibits_biologicalprocess': -0.1005, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1955}"
5957,chemicalentity_biologicalprocess,GO:0051776,-0.07312657684087753,-0.232143107153421,ACCEPT,ATP,detection of redox state,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051776,-0.35058891773223877,-0.596142909254255,ACCEPT,ATP,detection of redox state,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3506, 'chemicalentity_noeffect_biologicalprocess': -1.5051, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5495, 'chemicalentity_promotes_biologicalprocess': -0.8595, 'chemicalentity_inhibits_biologicalprocess': -0.5997, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.457}"
5461108,chemicalentity_biologicalprocess,GO:0051775,-0.3554258644580841,-0.232143107153421,REJECT,ATP(4-),response to redox state,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051775,-0.4602273106575012,-0.596142909254255,ACCEPT,ATP(4-),response to redox state,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4602, 'chemicalentity_noeffect_biologicalprocess': -1.3906, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6492, 'chemicalentity_promotes_biologicalprocess': -0.8898, 'chemicalentity_inhibits_biologicalprocess': -0.5665, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4703}"
5461108,chemicalentity_biologicalprocess,GO:0051776,-0.4081017076969147,-0.232143107153421,REJECT,ATP(4-),detection of redox state,[],False,False,False,False,,,
5461108,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0051776,-0.7801530361175537,-0.5654679724376828,REJECT,ATP(4-),detection of redox state,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.783, 'chemicalentity_noeffect_biologicalprocess': -2.3072, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8123, 'chemicalentity_promotes_biologicalprocess': -1.594, 'chemicalentity_inhibits_biologicalprocess': -1.4071, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7802}"
GO:0051775,biologicalprocess_biologicalprocess,GO:0051776,-0.10579561442136765,-0.0422867482620858,REJECT,response to redox state,detection of redox state,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
