head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
181567,chemicalentity_chemicalentity,25163935,-1.5950218439102173,-0.2425281074611494,REJECT,brevianamide F,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",[],False,False,False,False,,,
181567,chemicalentity_chemicalentity,99771,-1.8365867137908936,-0.2425281074611494,REJECT,brevianamide F,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",[],False,False,False,False,,,
181567,chemicalentity_chemicalentity,49831333,-1.083402395248413,-0.2425281074611494,REJECT,brevianamide F,"(4R,7S)-7-benzyl-4-butan-2-yl-15-oxa-2,5,8-triazatricyclo[8.5.0.03,8]pentadeca-1(10),2,11,13-tetraene-6,9-dione",[],False,False,False,False,,,
181567,chemicalentity_chemicalentity,71596533,-0.5572250485420227,-0.2425281074611494,REJECT,brevianamide F,"(3Z)-3-[[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]methylidene]-6,7-dihydropyrrolo[1,2-a]pyrazine-1,4-dione",[],False,False,False,False,,,
181567,chemicalentity_chemicalentity,54680441,-0.6577262282371521,-0.2425281074611494,REJECT,brevianamide F,N-benzyl-4-hydroxy-2-oxo-1H-quinoline-3-carboxamide,[],False,False,False,False,,,
181567,chemicalentity_chemicalentity,154573770,-0.5192197561264038,-0.2425281074611494,REJECT,brevianamide F,"(2R)-3-[6-[5-[(2-chloro-4-fluorophenyl)sulfonylamino]-6-methoxypyridin-3-yl]-4-oxoquinazolin-3-yl]-N,2-dimethylpropanamide",[],False,False,False,False,,,
181567,chemicalentity_biologicalprocess,GO:0097194,-2.352473020553589,-0.232143107153421,REJECT,brevianamide F,execution phase of apoptosis,[],False,False,False,False,,,
181567,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.9293040037155151,-0.596142909254255,REJECT,brevianamide F,execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9293, 'chemicalentity_noeffect_biologicalprocess': -2.4287, 'chemicalentity_notassociatedwith_biologicalprocess': -1.3851, 'chemicalentity_promotes_biologicalprocess': -1.4936, 'chemicalentity_inhibits_biologicalprocess': -1.3975, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2156}"
181567,chemicalentity_gene,PCNA,-0.2099503129720688,-0.2458965898096785,ACCEPT,brevianamide F,proliferating cell nuclear antigen,[],False,False,False,False,,,
181567,chemicalentity_protein,P15873,-0.5961402058601379,-0.3552259656009227,REJECT,brevianamide F,Proliferating cell nuclear antigen,[],False,False,False,False,,,
25163935,chemicalentity_chemicalentity,99771,-0.7393110394477844,-0.2425281074611494,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",[],False,False,False,False,,,
25163935,chemicalentity_chemicalentity,49831333,-0.554114580154419,-0.2425281074611494,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(4R,7S)-7-benzyl-4-butan-2-yl-15-oxa-2,5,8-triazatricyclo[8.5.0.03,8]pentadeca-1(10),2,11,13-tetraene-6,9-dione",[],False,False,False,False,,,
25163935,chemicalentity_chemicalentity,71596533,-0.34395408630371094,-0.2425281074611494,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(3Z)-3-[[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]methylidene]-6,7-dihydropyrrolo[1,2-a]pyrazine-1,4-dione",[],False,False,False,False,,,
25163935,chemicalentity_chemicalentity,54680441,-0.3847116231918335,-0.2425281074611494,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",N-benzyl-4-hydroxy-2-oxo-1H-quinoline-3-carboxamide,[],False,False,False,False,,,
25163935,chemicalentity_chemicalentity,154573770,-0.291267991065979,-0.2425281074611494,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(2R)-3-[6-[5-[(2-chloro-4-fluorophenyl)sulfonylamino]-6-methoxypyridin-3-yl]-4-oxoquinazolin-3-yl]-N,2-dimethylpropanamide",[],False,False,False,False,,,
25163935,chemicalentity_biologicalprocess,GO:0097194,-1.0179972648620605,-0.232143107153421,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",execution phase of apoptosis,[],False,False,False,False,,,
25163935,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.7161335349082947,-0.596142909254255,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7161, 'chemicalentity_noeffect_biologicalprocess': -2.4839, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9191, 'chemicalentity_promotes_biologicalprocess': -1.3122, 'chemicalentity_inhibits_biologicalprocess': -1.16, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0144}"
25163935,chemicalentity_gene,PCNA,-0.2551955282688141,-0.2458965898096785,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",proliferating cell nuclear antigen,[],False,False,False,False,,,
25163935,chemicalentity_protein,P15873,-0.5032328367233276,-0.3552259656009227,REJECT,"(1'R,2R,7'R,9'S)-10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",Proliferating cell nuclear antigen,[],False,False,False,False,,,
99771,chemicalentity_chemicalentity,49831333,-0.39882799983024597,-0.2425281074611494,REJECT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(4R,7S)-7-benzyl-4-butan-2-yl-15-oxa-2,5,8-triazatricyclo[8.5.0.03,8]pentadeca-1(10),2,11,13-tetraene-6,9-dione",[],False,False,False,False,,,
99771,chemicalentity_chemicalentity,71596533,-0.27088627219200134,-0.2425281074611494,REJECT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(3Z)-3-[[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]methylidene]-6,7-dihydropyrrolo[1,2-a]pyrazine-1,4-dione",[],False,False,False,False,,,
99771,chemicalentity_chemicalentity,54680441,-0.29571154713630676,-0.2425281074611494,REJECT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",N-benzyl-4-hydroxy-2-oxo-1H-quinoline-3-carboxamide,[],False,False,False,False,,,
99771,chemicalentity_chemicalentity,154573770,-0.2218249887228012,-0.2425281074611494,ACCEPT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione","(2R)-3-[6-[5-[(2-chloro-4-fluorophenyl)sulfonylamino]-6-methoxypyridin-3-yl]-4-oxoquinazolin-3-yl]-N,2-dimethylpropanamide",[],False,False,False,False,,,
99771,chemicalentity_biologicalprocess,GO:0097194,-0.6274023652076721,-0.232143107153421,REJECT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",execution phase of apoptosis,[],False,False,False,False,,,
99771,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0097194,-0.329521507024765,-0.596142909254255,ACCEPT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",execution phase of apoptosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3295, 'chemicalentity_noeffect_biologicalprocess': -1.9505, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6197, 'chemicalentity_promotes_biologicalprocess': -0.7904, 'chemicalentity_inhibits_biologicalprocess': -0.6772, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6924}"
99771,chemicalentity_gene,PCNA,-0.035713713616132736,-0.2458965898096785,ACCEPT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",proliferating cell nuclear antigen,[],False,False,False,False,,,
99771,chemicalentity_protein,P15873,-0.42118039727211,-0.3552259656009227,REJECT,"10',10'-dimethylspiro[1H-indole-2,11'-3,13-diazatetracyclo[5.5.2.01,9.03,7]tetradecane]-2',3,14'-trione",Proliferating cell nuclear antigen,[],False,False,False,False,,,
49831333,chemicalentity_chemicalentity,71596533,-0.4668212831020355,-0.2425281074611494,REJECT,"(4R,7S)-7-benzyl-4-butan-2-yl-15-oxa-2,5,8-triazatricyclo[8.5.0.03,8]pentadeca-1(10),2,11,13-tetraene-6,9-dione","(3Z)-3-[[2-(2-methylbut-3-en-2-yl)-1H-indol-3-yl]methylidene]-6,7-dihydropyrrolo[1,2-a]pyrazine-1,4-dione",[],False,False,False,False,,,
49831333,chemicalentity_chemicalentity,54680441,-0.5178234577178955,-0.2425281074611494,REJECT,"(4R,7S)-7-benzyl-4-butan-2-yl-15-oxa-2,5,8-triazatricyclo[8.5.0.03,8]pentadeca-1(10),2,11,13-tetraene-6,9-dione",N-benzyl-4-hydroxy-2-oxo-1H-quinoline-3-carboxamide,[],False,False,False,False,,,
