head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
G3V4S2,protein_protein,H0YMJ4,-0.9284759759902954,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
G3V4S2,protein_protein,A0A0A8WJK9,-0.4718307852745056,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
G3V4S2,protein_protein,G3XA84,-0.9810218811035156,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
G3V4S2,protein_protein,L0R859,-0.3675576150417328,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0080144,-0.7163308262825012,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},amino acid homeostasis,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0006412,-0.29388004541397095,-0.5776643345681309,ACCEPT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},translation,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0019081,-0.7900899052619934,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},viral translation,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0070929,-0.5955297946929932,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},trans-translation,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0032544,-0.5312366485595703,-0.5776643345681309,ACCEPT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},plastid translation,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0002181,-0.588896632194519,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},cytoplasmic translation,[],False,False,False,False,,,
G3V4S2,protein_phenotype,antioxidant activity decreased efficacy abnormal,-0.5052825808525085,-0.0497034494975703,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},    antioxidant activity decreased efficacy abnormal  ,[],False,False,False,False,,,
G3V4S2,protein_molecularfunction,GO:0016209,-0.6860148310661316,-0.5690634813738988,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},antioxidant activity,[],False,False,False,False,,,
G3V4S2,protein_protein,P02662,-0.8084191679954529,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Antioxidant peptide,[],False,False,False,False,,,
G3V4S2,protein_biologicalprocess,GO:0071502,-0.8254958391189575,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},cellular response to temperature stimulus,[],False,False,False,False,,,
H0YMJ4,protein_protein,A0A0A8WJK9,-0.5260741114616394,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
H0YMJ4,protein_protein,G3XA84,-1.0539828538894653,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
H0YMJ4,protein_protein,L0R859,-0.4147244393825531,-0.2036837140803804,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},[],False,False,False,False,,,
H0YMJ4,protein_biologicalprocess,GO:0080144,-0.8090127110481262,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},amino acid homeostasis,[],False,False,False,False,,,
H0YMJ4,protein_biologicalprocess,GO:0006412,-0.3866244852542877,-0.5776643345681309,ACCEPT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},translation,[],False,False,False,False,,,
H0YMJ4,protein_biologicalprocess,GO:0019081,-0.8951228857040405,-0.5776643345681309,REJECT,Tryptophanyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00030268},viral translation,[],False,False,False,False,,,
