head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
3001811,chemicalentity_biologicalprocess,GO:0006954,-2.2883408069610596,-0.232143107153421,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",inflammatory response,[],False,False,False,False,,,
3001811,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-1.1098010540008545,-0.596142909254255,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.1098, 'chemicalentity_noeffect_biologicalprocess': -2.5952, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4664, 'chemicalentity_promotes_biologicalprocess': -1.7024, 'chemicalentity_inhibits_biologicalprocess': -1.4983, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.543}"
3001811,chemicalentity_pathway,R-HSA-2559582,-0.8778595924377441,-0.3200630854546729,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
3001811,chemicalentity_protein,P54379,-1.0658282041549683,-0.3552259656009227,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",Sigma-G-dependent sporulation-specific SASP protein,[],False,False,False,False,,,
3001811,chemicalentity_protein,E5RK50,-0.8458653688430786,-0.3552259656009227,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
3001811,chemicalentity_pathway,R-HSA-6788467,-0.9606317281723022,-0.3200630854546729,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",IL-6-type cytokine receptor ligand interactions,[],False,False,False,False,,,
3001811,chemicalentity_gene,IL-6,-0.7208841443061829,-0.2458965898096785,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",interleukin 6,[],False,False,False,False,,,
3001811,chemicalentity_protein,B2R4L8,-0.4578787386417389,-0.3552259656009227,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",IL-8(9-77),[],False,False,False,False,,,
3001811,chemicalentity_protein,P10145,-0.4493767321109772,-0.3552259656009227,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",IL-8(9-77),[],False,False,False,False,,,
3001811,chemicalentity_protein,Q6LAE6,-0.4538109600543976,-0.3552259656009227,REJECT,"(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-17-[(2R,5S,6R)-5,6,7-trihydroxy-6-methylheptan-2-yl]-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",IL-8(9-77),[],False,False,False,False,,,
