head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YIL020C,gene_biologicalprocess,GO:0015817,-0.053429871797561646,-0.0356325677219588,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,histidine transport,[],False,False,False,False,,,
YIL020C,gene_promotes_biologicalprocess,GO:0015817,-0.20194199681282043,-0.0617563253450388,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,histidine transport,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2563, 'gene_promotes_biologicalprocess': -0.2019, 'gene_negativelyassociatedwith_biologicalprocess': -0.2596, 'gene_positivelyassociatedwith_biologicalprocess': -0.2864, 'gene_notassociatedwith_biologicalprocess': -0.3645}"
YIL020C,gene_phenotype,abnormal amino acid metabolism,-0.041495367884635925,-0.0347684314162952,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,abnormal amino acid metabolism,[],False,False,False,False,,,
YIL020C,gene_phenotype,WBPhenotype:0002255,-0.044856540858745575,-0.0347684314162952,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,amino acid metabolism variant,[],False,False,False,False,,,
YIL020C,gene_phenotype,MP:0013242,-0.04048534482717514,-0.0347684314162952,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,abnormal amino acid metabolism,[],False,False,False,False,,,
YIL020C,gene_phenotype,HP:0004337,-0.031045719981193542,-0.0347684314162952,ACCEPT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,Abnormality of amino acid metabolism,[],False,False,False,False,,,
YIL020C,gene_disease,CN377664,-0.17484396696090698,-0.0375339126131901,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,Amino acid metabolism disease,[],False,False,False,False,,,
YIL020C,gene_pathway,R-HSA-1614635,-0.039379868656396866,-0.0346968297443117,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,Sulfur amino acid metabolism,[],False,False,False,False,,,
YIL020C,gene_chemicalentity,3032552,-0.05445850268006325,-0.0285922419958417,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,nitrogen dioxide,[],False,False,False,False,,,
YIL020C,gene_biologicalprocess,GO:0006412,-0.012381120584905148,-0.0356325677219588,ACCEPT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,translation,[],False,False,False,False,,,
YIL020C,gene_promotes_biologicalprocess,GO:0006412,-0.14329539239406586,-0.0617563253450388,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,translation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1474, 'gene_promotes_biologicalprocess': -0.1433, 'gene_negativelyassociatedwith_biologicalprocess': -0.1781, 'gene_positivelyassociatedwith_biologicalprocess': -0.1494, 'gene_notassociatedwith_biologicalprocess': -0.3122}"
YIL020C,gene_biologicalprocess,GO:0070929,-0.17667239904403687,-0.0356325677219588,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,trans-translation,[],False,False,False,False,,,
YIL020C,gene_negativelyassociatedwith_biologicalprocess,GO:0070929,-0.4281177818775177,-0.1070524565571329,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,trans-translation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4361, 'gene_promotes_biologicalprocess': -0.6022, 'gene_negativelyassociatedwith_biologicalprocess': -0.4281, 'gene_positivelyassociatedwith_biologicalprocess': -0.4898, 'gene_notassociatedwith_biologicalprocess': -0.585}"
YIL020C,gene_biologicalprocess,GO:0002188,-0.07611797749996185,-0.0356325677219588,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,translation reinitiation,[],False,False,False,False,,,
YIL020C,gene_negativelyassociatedwith_biologicalprocess,GO:0002188,-0.48192277550697327,-0.1070524565571329,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,translation reinitiation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5164, 'gene_promotes_biologicalprocess': -0.4994, 'gene_negativelyassociatedwith_biologicalprocess': -0.4819, 'gene_positivelyassociatedwith_biologicalprocess': -0.4994, 'gene_notassociatedwith_biologicalprocess': -0.7516}"
YIL020C,gene_biologicalprocess,GO:0002181,-0.019667619839310646,-0.0356325677219588,ACCEPT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,cytoplasmic translation,[],False,False,False,False,,,
YIL020C,gene_promotes_biologicalprocess,GO:0002181,-0.1395072489976883,-0.0617563253450388,REJECT,1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6,cytoplasmic translation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2044, 'gene_promotes_biologicalprocess': -0.1395, 'gene_negativelyassociatedwith_biologicalprocess': -0.178, 'gene_positivelyassociatedwith_biologicalprocess': -0.1639, 'gene_notassociatedwith_biologicalprocess': -0.2347}"
