head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
3035026,chemicalentity_biologicalprocess,GO:0010150,-0.18017391860485077,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",leaf senescence,[],False,False,False,False,,,
3035026,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.4190796911716461,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4191, 'chemicalentity_noeffect_biologicalprocess': -1.6487, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5396, 'chemicalentity_promotes_biologicalprocess': -0.8027, 'chemicalentity_inhibits_biologicalprocess': -0.534, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4544}"
3035026,chemicalentity_biologicalprocess,GO:0090398,-0.11370877921581268,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",cellular senescence,[],False,False,False,False,,,
3035026,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.036439865827560425,-0.7050372264239742,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2554, 'chemicalentity_noeffect_biologicalprocess': -0.6095, 'chemicalentity_notassociatedwith_biologicalprocess': -0.321, 'chemicalentity_promotes_biologicalprocess': -0.142, 'chemicalentity_inhibits_biologicalprocess': -0.0364, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2663}"
3035026,chemicalentity_protein,Q96RI1,-0.12270528078079224,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Bile acid receptor,[],False,False,False,False,,,
3035026,chemicalentity_protein,A1L4K5,-0.0992109477519989,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Bile acid receptor,[],False,False,False,False,,,
3035026,chemicalentity_protein,B7Z412,-0.14109691977500916,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Bile acid receptor,[],False,False,False,False,,,
3035026,chemicalentity_protein,Q92943,-0.1137365847826004,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Bile acid receptor,[],False,False,False,False,,,
3035026,chemicalentity_protein,Q60641,-0.5050705671310425,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Bile acid receptor,[],False,False,False,False,,,
3035026,chemicalentity_biologicalprocess,GO:0006954,-0.1513502299785614,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",inflammatory response,[],False,False,False,False,,,
3035026,chemicalentity_inhibits_biologicalprocess,GO:0006954,-0.3916521668434143,-0.7050372264239742,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4008, 'chemicalentity_noeffect_biologicalprocess': -1.7343, 'chemicalentity_notassociatedwith_biologicalprocess': -0.552, 'chemicalentity_promotes_biologicalprocess': -0.5847, 'chemicalentity_inhibits_biologicalprocess': -0.3917, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4336}"
3035026,chemicalentity_protein,D3VVE9,-0.9237359166145325,-0.3552259656009227,REJECT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
3035026,chemicalentity_protein,Q5STF9,-0.23015789687633514,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
3035026,chemicalentity_pathway,R-HSA-2559582,-0.1402958482503891,-0.3200630854546729,ACCEPT,"2-[[(4R)-4-[(3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
GO:0010150,biologicalprocess_biologicalprocess,GO:0090398,-0.04737092927098274,-0.0422867482620858,REJECT,leaf senescence,cellular senescence,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,Q96RI1,-0.5559248328208923,-0.4342587681103441,REJECT,leaf senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,A1L4K5,-0.5354097485542297,-0.4342587681103441,REJECT,leaf senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,B7Z412,-0.4550896883010864,-0.4342587681103441,REJECT,leaf senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,Q92943,-0.4957118034362793,-0.4342587681103441,REJECT,leaf senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,Q60641,-0.3255252540111542,-0.4342587681103441,ACCEPT,leaf senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0010150,biologicalprocess_biologicalprocess,GO:0006954,-0.008230166509747505,-0.0422867482620858,ACCEPT,leaf senescence,inflammatory response,[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,D3VVE9,-0.31976041197776794,-0.4342587681103441,ACCEPT,leaf senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0010150,biologicalprocess_protein,Q5STF9,-0.6302090883255005,-0.4342587681103441,REJECT,leaf senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q96RI1,-0.6199021935462952,-0.4342587681103441,REJECT,cellular senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,A1L4K5,-0.5187506675720215,-0.4342587681103441,REJECT,cellular senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,B7Z412,-0.4663541913032532,-0.4342587681103441,REJECT,cellular senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q92943,-0.44742482900619507,-0.4342587681103441,REJECT,cellular senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q60641,-0.17963868379592896,-0.4342587681103441,ACCEPT,cellular senescence,Bile acid receptor,[],False,False,False,False,,,
GO:0090398,biologicalprocess_biologicalprocess,GO:0006954,-0.0003126870724372566,-0.0422867482620858,ACCEPT,cellular senescence,inflammatory response,[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,D3VVE9,-0.1472664177417755,-0.4342587681103441,ACCEPT,cellular senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090398,biologicalprocess_protein,Q5STF9,-0.4640316069126129,-0.4342587681103441,REJECT,cellular senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
Q96RI1,protein_protein,A1L4K5,-0.032136764377355576,-0.2036837140803804,ACCEPT,Bile acid receptor,Bile acid receptor,[],False,False,False,False,,,
Q96RI1,protein_protein,B7Z412,-0.03731374442577362,-0.2036837140803804,ACCEPT,Bile acid receptor,Bile acid receptor,[],False,False,False,False,,,
Q96RI1,protein_protein,Q92943,-0.029220908880233765,-0.2036837140803804,ACCEPT,Bile acid receptor,Bile acid receptor,[],False,False,False,False,,,
Q96RI1,protein_protein,Q60641,-0.056656304746866226,-0.2036837140803804,ACCEPT,Bile acid receptor,Bile acid receptor,['Protein_Protein'],False,True,True,False,Protein_Protein,,
