head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ALD4,gene_protein,Q03639,-2.0152029991149902,-0.0280984394514378,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,"Aldehyde dehydrogenase, mitochondrial",[],False,False,False,False,,,
ALD4,gene_biologicalprocess,GO:0022900,-3.0352253913879395,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,electron transport chain,[],False,False,False,False,,,
ALD4,gene_positivelyassociatedwith_biologicalprocess,GO:0022900,-1.7747925519943237,-0.0730086550790463,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.815, 'gene_promotes_biologicalprocess': -2.5359, 'gene_negativelyassociatedwith_biologicalprocess': -2.2458, 'gene_positivelyassociatedwith_biologicalprocess': -1.7748, 'gene_notassociatedwith_biologicalprocess': -2.2279}"
ALD4,gene_biologicalprocess,GO:0019646,-1.7747538089752197,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,aerobic electron transport chain,[],False,False,False,False,,,
ALD4,gene_positivelyassociatedwith_biologicalprocess,GO:0019646,-1.255064606666565,-0.0730086550790463,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,aerobic electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.6045, 'gene_promotes_biologicalprocess': -1.5548, 'gene_negativelyassociatedwith_biologicalprocess': -1.4162, 'gene_positivelyassociatedwith_biologicalprocess': -1.2551, 'gene_notassociatedwith_biologicalprocess': -1.4321}"
ALD4,gene_biologicalprocess,GO:0019645,-1.4297573566436768,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,anaerobic electron transport chain,[],False,False,False,False,,,
ALD4,gene_negativelyassociatedwith_biologicalprocess,GO:0019645,-0.8508505821228027,-0.1070524565571329,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,anaerobic electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.4784, 'gene_promotes_biologicalprocess': -1.4905, 'gene_negativelyassociatedwith_biologicalprocess': -0.8509, 'gene_positivelyassociatedwith_biologicalprocess': -0.8752, 'gene_notassociatedwith_biologicalprocess': -1.0973}"
ALD4,gene_biologicalprocess,GO:0022904,-2.8145344257354736,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,respiratory electron transport chain,[],False,False,False,False,,,
ALD4,gene_notassociatedwith_biologicalprocess,GO:0022904,-1.6540814638137817,-0.1941926147433079,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,respiratory electron transport chain,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.5943, 'gene_promotes_biologicalprocess': -2.5096, 'gene_negativelyassociatedwith_biologicalprocess': -1.8186, 'gene_positivelyassociatedwith_biologicalprocess': -1.7231, 'gene_notassociatedwith_biologicalprocess': -1.6541}"
ALD4,gene_biologicalprocess,GO:0009767,-1.7627991437911987,-0.0356325677219588,REJECT,aldehyde dehydrogenase (NADP(+)) ALD4,photosynthetic electron transport chain,[],False,False,False,False,,,
