head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
VPH1,gene_cellularcomponent,GO:0000220,-1.9979336261749268,-0.0358198597771757,REJECT,H(+)-transporting V0 sector ATPase subunit a,"vacuolar proton-transporting V-type ATPase, V0 domain",[],False,False,False,False,,,
VPH1,gene_biologicalprocess,GO:0001881,-2.6257033348083496,-0.0356325677219588,REJECT,H(+)-transporting V0 sector ATPase subunit a,receptor recycling,[],False,False,False,False,,,
VPH1,gene_promotes_biologicalprocess,GO:0001881,-1.6382189989089966,-0.0617563253450388,REJECT,H(+)-transporting V0 sector ATPase subunit a,receptor recycling,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.2999, 'gene_promotes_biologicalprocess': -1.6382, 'gene_negativelyassociatedwith_biologicalprocess': -2.1381, 'gene_positivelyassociatedwith_biologicalprocess': -2.1121, 'gene_notassociatedwith_biologicalprocess': -1.8938}"
VPH1,gene_biologicalprocess,GO:1990603,-1.4896597862243652,-0.0356325677219588,REJECT,H(+)-transporting V0 sector ATPase subunit a,dark adaptation,[],False,False,False,False,,,
VPH1,gene_negativelyassociatedwith_biologicalprocess,GO:1990603,-0.9317406415939331,-0.1070524565571329,REJECT,H(+)-transporting V0 sector ATPase subunit a,dark adaptation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3213, 'gene_promotes_biologicalprocess': -1.2978, 'gene_negativelyassociatedwith_biologicalprocess': -0.9317, 'gene_positivelyassociatedwith_biologicalprocess': -1.0829, 'gene_notassociatedwith_biologicalprocess': -1.0203}"
VPH1,gene_biologicalprocess,GO:0010286,-2.340060234069824,-0.0356325677219588,REJECT,H(+)-transporting V0 sector ATPase subunit a,heat acclimation,[],False,False,False,False,,,
VPH1,gene_notassociatedwith_biologicalprocess,GO:0010286,-1.3983267545700073,-0.1941926147433079,REJECT,H(+)-transporting V0 sector ATPase subunit a,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.1061, 'gene_promotes_biologicalprocess': -1.6942, 'gene_negativelyassociatedwith_biologicalprocess': -1.7349, 'gene_positivelyassociatedwith_biologicalprocess': -1.6452, 'gene_notassociatedwith_biologicalprocess': -1.3983}"
VPH1,gene_biologicalprocess,GO:0097352,-2.889955520629883,-0.0356325677219588,REJECT,H(+)-transporting V0 sector ATPase subunit a,autophagosome maturation,[],False,False,False,False,,,
VPH1,gene_promotes_biologicalprocess,GO:0097352,-1.7985239028930664,-0.0617563253450388,REJECT,H(+)-transporting V0 sector ATPase subunit a,autophagosome maturation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.4606, 'gene_promotes_biologicalprocess': -1.7985, 'gene_negativelyassociatedwith_biologicalprocess': -2.2089, 'gene_positivelyassociatedwith_biologicalprocess': -2.0874, 'gene_notassociatedwith_biologicalprocess': -2.0131}"
VPH1,gene_biologicalprocess,GO:0000045,-2.764216899871826,-0.0356325677219588,REJECT,H(+)-transporting V0 sector ATPase subunit a,autophagosome assembly,[],False,False,False,False,,,
