head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
NAT10,gene_protein,A6NM98,-0.015022887848317623,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
NAT10,gene_protein,Q2KI14,-0.01737530156970024,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
NAT10,gene_protein,Q9QY36,-0.02958139218389988,-0.0280984394514378,REJECT,N-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
NAT10,gene_protein,P41227,-0.014902838505804539,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
NAT10,gene_chemicalentity,107461,-0.02720145508646965,-0.0285922419958417,ACCEPT,N-acetyltransferase 10,N(4)-acetylcytidine,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene
NAT10,gene_gene,DYRK1A,-0.008740117773413658,-0.071739344080056,ACCEPT,N-acetyltransferase 10,dual specificity tyrosine phosphorylation regulated kinase 1A,[],False,False,False,False,
NAT10,gene_protein,O60769,-0.01940700225532055,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
NAT10,gene_protein,Q92810,-0.01394872460514307,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
NAT10,gene_protein,P85051,-0.0252671055495739,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
NAT10,gene_protein,Q63470,-0.014078930020332336,-0.0280984394514378,ACCEPT,N-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
NAT10,gene_protein,Q61214,-0.040331680327653885,-0.0280984394514378,REJECT,N-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
NAT10,gene_tissue,BTO:0004297,-0.004566668067127466,-0.0456591214389128,ACCEPT,N-acetyltransferase 10,colonic epithelial cell,[],False,False,False,False,
NAT10,gene_disease,DOID:8577,-0.0067596049048006535,-0.0375339126131901,ACCEPT,N-acetyltransferase 10,ulcerative colitis,[],False,False,False,False,
NAT10,gene_phenotype,HP:0100279,-0.004447602201253176,-0.0347684314162952,ACCEPT,N-acetyltransferase 10,Ulcerative colitis,[],False,False,False,False,
A6NM98,protein_protein,Q2KI14,-0.12456893175840378,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
A6NM98,protein_protein,Q9QY36,-0.140236958861351,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
A6NM98,protein_protein,P41227,-0.04533495754003525,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
A6NM98,protein_chemicalentity,107461,-0.1831149458885193,-0.1571110372511136,REJECT,N-alpha-acetyltransferase 10,N(4)-acetylcytidine,[],False,False,False,False,
A6NM98,protein_protein,O60769,-0.06663703918457031,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
A6NM98,protein_protein,Q92810,-0.06213001906871796,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
A6NM98,protein_protein,P85051,-0.21332114934921265,-0.2036837140803804,REJECT,N-alpha-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
A6NM98,protein_protein,Q63470,-0.09688647091388702,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
A6NM98,protein_protein,Q61214,-0.18506520986557007,-0.2036837140803804,ACCEPT,N-alpha-acetyltransferase 10,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,[],False,False,False,False,
A6NM98,protein_tissue,BTO:0004297,-0.025259658694267273,-0.1523438805787957,ACCEPT,N-alpha-acetyltransferase 10,colonic epithelial cell,[],False,False,False,False,
A6NM98,protein_disease,DOID:8577,-0.018205244094133377,-0.1452060252739286,ACCEPT,N-alpha-acetyltransferase 10,ulcerative colitis,[],False,False,False,False,
A6NM98,protein_phenotype,HP:0100279,-0.005030000116676092,-0.0497034494975703,ACCEPT,N-alpha-acetyltransferase 10,Ulcerative colitis,[],False,False,False,False,
Q2KI14,protein_protein,Q9QY36,-0.9230626821517944,-0.2036837140803804,REJECT,N-alpha-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
Q2KI14,protein_protein,P41227,-2.481462240219116,-0.2036837140803804,REJECT,N-alpha-acetyltransferase 10,N-alpha-acetyltransferase 10,[],False,False,False,False,
Q2KI14,protein_chemicalentity,107461,-0.9360762238502502,-0.1571110372511136,REJECT,N-alpha-acetyltransferase 10,N(4)-acetylcytidine,[],False,False,False,False,
