head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GO:0061621,biologicalprocess_chemicalentity,5957,-0.0016642441041767597,-0.03613698155982,ACCEPT,canonical glycolysis,ATP,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0061621,-0.06033521145582199,-0.596142909254255,ACCEPT,ATP,canonical glycolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0603, 'chemicalentity_noeffect_biologicalprocess': -1.3861, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1654, 'chemicalentity_promotes_biologicalprocess': -0.2335, 'chemicalentity_inhibits_biologicalprocess': -0.0665, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0905}"
GO:0061621,biologicalprocess_chemicalentity,5461108,-0.0014059573877602816,-0.03613698155982,ACCEPT,canonical glycolysis,ATP(4-),[],False,False,False,False,,,
5461108,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0061621,-0.34530147910118103,-0.5654679724376828,ACCEPT,ATP(4-),canonical glycolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3662, 'chemicalentity_noeffect_biologicalprocess': -2.6797, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6645, 'chemicalentity_promotes_biologicalprocess': -0.9882, 'chemicalentity_inhibits_biologicalprocess': -0.6559, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3453}"
GO:0061621,biologicalprocess_chemicalentity,7427,-0.0021998025476932526,-0.03613698155982,ACCEPT,canonical glycolysis,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol",[],False,False,False,False,,,
7427,chemicalentity_inhibits_biologicalprocess,GO:0061621,-0.08646994084119797,-0.7050372264239742,ACCEPT,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol",canonical glycolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1514, 'chemicalentity_noeffect_biologicalprocess': -1.1706, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2414, 'chemicalentity_promotes_biologicalprocess': -0.1973, 'chemicalentity_inhibits_biologicalprocess': -0.0865, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.238}"
GO:0061621,biologicalprocess_chemicalentity,181978,-0.06445974111557007,-0.03613698155982,REJECT,canonical glycolysis,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol;dihydrate",[],False,False,False,False,,,
181978,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0061621,-1.9503287076950073,-0.596142909254255,REJECT,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol;dihydrate",canonical glycolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.9503, 'chemicalentity_noeffect_biologicalprocess': -4.0981, 'chemicalentity_notassociatedwith_biologicalprocess': -2.5621, 'chemicalentity_promotes_biologicalprocess': -3.7532, 'chemicalentity_inhibits_biologicalprocess': -3.347, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -2.3223}"
GO:0061621,biologicalprocess_chemicalentity,133126843,-0.0031505257356911898,-0.03613698155982,ACCEPT,canonical glycolysis,"(2R,3S,4R,5R,6S)-2-[[(2S,3R,4S,5S,6S)-4,5-dihydroxy-3-[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2S,3R,4S,5S,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",[],False,False,False,False,,,
133126843,chemicalentity_inhibits_biologicalprocess,GO:0061621,-0.15954814851284027,-0.7050372264239742,ACCEPT,"(2R,3S,4R,5R,6S)-2-[[(2S,3R,4S,5S,6S)-4,5-dihydroxy-3-[(2S,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-[(2S,3R,4S,5S,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",canonical glycolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.172, 'chemicalentity_noeffect_biologicalprocess': -1.7883, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3229, 'chemicalentity_promotes_biologicalprocess': -0.3937, 'chemicalentity_inhibits_biologicalprocess': -0.1595, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.203}"
GO:0061621,biologicalprocess_biologicalprocess,GO:0040007,-0.0010379536543041468,-0.0422867482620858,ACCEPT,canonical glycolysis,growth,[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,5461108,-0.016916025429964066,-0.2425281074611494,ACCEPT,ATP,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,7427,-0.0208780188113451,-0.2425281074611494,ACCEPT,ATP,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol",[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,181978,-0.12464883178472519,-0.2425281074611494,ACCEPT,ATP,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol;dihydrate",[],False,False,False,False,,,
