head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
METTL14-DT,gene_gene,METTL14,-0.7435373067855835,-0.071739344080056,REJECT,METTL14 divergent transcript,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",[],False,False,False,False,,,
METTL14-DT,gene_gene,TLR4,-0.7686314582824707,-0.071739344080056,REJECT,METTL14 divergent transcript,toll like receptor 4,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,oxidative stress,-0.34396594762802124,-0.0347684314162952,REJECT,METTL14 divergent transcript,oxidative stress,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,MP:0003674,-0.3154854476451874,-0.0347684314162952,REJECT,METTL14 divergent transcript,oxidative stress,[],False,False,False,False,,,
METTL14-DT,gene_biologicalprocess,GO:0090398,-0.4734657108783722,-0.0356325677219588,REJECT,METTL14 divergent transcript,cellular senescence,[],False,False,False,False,,,
METTL14-DT,gene_promotes_biologicalprocess,GO:0090398,-0.31348299980163574,-0.0617563253450388,REJECT,METTL14 divergent transcript,cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5243, 'gene_promotes_biologicalprocess': -0.3135, 'gene_negativelyassociatedwith_biologicalprocess': -0.6985, 'gene_positivelyassociatedwith_biologicalprocess': -0.6346, 'gene_notassociatedwith_biologicalprocess': -1.0117}"
METTL14-DT,gene_biologicalprocess,GO:2000772,-0.2937181890010834,-0.0356325677219588,REJECT,METTL14 divergent transcript,regulation of cellular senescence,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:2000772,-0.5619440674781799,-0.0730086550790463,REJECT,METTL14 divergent transcript,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.8668, 'gene_promotes_biologicalprocess': -0.7491, 'gene_negativelyassociatedwith_biologicalprocess': -0.6471, 'gene_positivelyassociatedwith_biologicalprocess': -0.5619, 'gene_notassociatedwith_biologicalprocess': -0.9769}"
METTL14-DT,gene_biologicalprocess,GO:2000774,-0.2461143285036087,-0.0356325677219588,REJECT,METTL14 divergent transcript,positive regulation of cellular senescence,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:2000774,-0.5027137994766235,-0.0730086550790463,REJECT,METTL14 divergent transcript,positive regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6587, 'gene_promotes_biologicalprocess': -0.6398, 'gene_negativelyassociatedwith_biologicalprocess': -0.6181, 'gene_positivelyassociatedwith_biologicalprocess': -0.5027, 'gene_notassociatedwith_biologicalprocess': -0.8257}"
METTL14-DT,gene_biologicalprocess,GO:2000773,-0.24109859764575958,-0.0356325677219588,REJECT,METTL14 divergent transcript,negative regulation of cellular senescence,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:2000773,-0.4421992301940918,-0.0730086550790463,REJECT,METTL14 divergent transcript,negative regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6814, 'gene_promotes_biologicalprocess': -0.6003, 'gene_negativelyassociatedwith_biologicalprocess': -0.522, 'gene_positivelyassociatedwith_biologicalprocess': -0.4422, 'gene_notassociatedwith_biologicalprocess': -1.0168}"
METTL14-DT,gene_phenotype,vascular inflammation,-0.2499004602432251,-0.0347684314162952,REJECT,METTL14 divergent transcript,vascular inflammation,[],False,False,False,False,,,
METTL14,gene_gene,TLR4,-0.009658574126660824,-0.071739344080056,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",toll like receptor 4,['Gene_Gene'],False,True,True,False,Gene_Gene,,
METTL14,gene_phenotype,oxidative stress,-0.03639478608965874,-0.0347684314162952,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",oxidative stress,[],False,False,False,False,,,
METTL14,gene_phenotype,MP:0003674,-0.012623931281268597,-0.0347684314162952,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",oxidative stress,[],False,False,False,False,,,
METTL14,gene_biologicalprocess,GO:0090398,-0.026418866589665413,-0.0356325677219588,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",cellular senescence,[],False,False,False,False,,,
