head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
URA1,gene_molecularfunction,GO:0004152,-1.7913748025894165,-0.0286995250249342,REJECT,dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase activity,[],False,False,False,False,,,
URA1,gene_molecularfunction,GO:0004589,-0.9590402841567993,-0.0286995250249342,REJECT,dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase (NAD+) activity,[],False,False,False,False,,,
URA1,gene_molecularfunction,GO:0050158,-1.1267712116241455,-0.0286995250249342,REJECT,dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase (NADP+) activity,[],False,False,False,False,,,
URA1,gene_molecularfunction,GO:0106430,-1.6703687906265259,-0.0286995250249342,REJECT,dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase (quinone) activity,[],False,False,False,False,,,
URA1,gene_molecularfunction,GO:1990663,-1.4053362607955933,-0.0286995250249342,REJECT,dihydroorotate dehydrogenase (quinone),dihydroorotate dehydrogenase (fumarate) activity,[],False,False,False,False,,,
URA1,gene_biologicalprocess,GO:0040007,-2.8985917568206787,-0.0356325677219588,REJECT,dihydroorotate dehydrogenase (quinone),growth,[],False,False,False,False,,,
URA1,gene_notassociatedwith_biologicalprocess,GO:0040007,-1.8688600063323975,-0.1941926147433079,REJECT,dihydroorotate dehydrogenase (quinone),growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.4457, 'gene_promotes_biologicalprocess': -2.3561, 'gene_negativelyassociatedwith_biologicalprocess': -2.0675, 'gene_positivelyassociatedwith_biologicalprocess': -2.0108, 'gene_notassociatedwith_biologicalprocess': -1.8689}"
URA1,gene_biologicalprocess,GO:0016049,-2.4034066200256348,-0.0356325677219588,REJECT,dihydroorotate dehydrogenase (quinone),cell growth,[],False,False,False,False,,,
URA1,gene_notassociatedwith_biologicalprocess,GO:0016049,-1.5672463178634644,-0.1941926147433079,REJECT,dihydroorotate dehydrogenase (quinone),cell growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.9972, 'gene_promotes_biologicalprocess': -1.9442, 'gene_negativelyassociatedwith_biologicalprocess': -1.8333, 'gene_positivelyassociatedwith_biologicalprocess': -1.6939, 'gene_notassociatedwith_biologicalprocess': -1.5672}"
URA1,gene_biologicalprocess,GO:0009408,-2.1763923168182373,-0.0356325677219588,REJECT,dihydroorotate dehydrogenase (quinone),response to heat,[],False,False,False,False,,,
URA1,gene_promotes_biologicalprocess,GO:0009408,-1.3349417448043823,-0.0617563253450388,REJECT,dihydroorotate dehydrogenase (quinone),response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.5334, 'gene_promotes_biologicalprocess': -1.3349, 'gene_negativelyassociatedwith_biologicalprocess': -1.7551, 'gene_positivelyassociatedwith_biologicalprocess': -1.5076, 'gene_notassociatedwith_biologicalprocess': -1.6982}"
URA1,gene_biologicalprocess,GO:0034605,-2.1626620292663574,-0.0356325677219588,REJECT,dihydroorotate dehydrogenase (quinone),cellular response to heat,[],False,False,False,False,,,
URA1,gene_promotes_biologicalprocess,GO:0034605,-1.4398070573806763,-0.0617563253450388,REJECT,dihydroorotate dehydrogenase (quinone),cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.6168, 'gene_promotes_biologicalprocess': -1.4398, 'gene_negativelyassociatedwith_biologicalprocess': -1.6782, 'gene_positivelyassociatedwith_biologicalprocess': -1.5002, 'gene_notassociatedwith_biologicalprocess': -1.7388}"
URA1,gene_biologicalprocess,GO:0036165,-1.1261799335479736,-0.0356325677219588,REJECT,dihydroorotate dehydrogenase (quinone),invasive growth in response to heat,[],False,False,False,False,,,
