head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PLB1,gene_protein,P0CP74,-0.027478588744997978,-0.0280984394514378,ACCEPT,phospholipase B1,Phospholipase B,[],False,False,False,False,,,
PLB1,gene_phenotype,abnormal lipid metabolism,-0.020060542970895767,-0.0347684314162952,ACCEPT,phospholipase B1,abnormal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_phenotype,WBPhenotype:0000725,-0.030328240245580673,-0.0347684314162952,ACCEPT,phospholipase B1,lipid metabolism variant,[],False,False,False,False,,,
PLB1,gene_phenotype,MP:0013245,-0.021817175671458244,-0.0347684314162952,ACCEPT,phospholipase B1,abnormal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_disease,DOID:3146,-0.023470107465982437,-0.0375339126131901,ACCEPT,phospholipase B1,lipid metabolism disorder,[],False,False,False,False,,,
PLB1,gene_disease,D052439,-0.036433637142181396,-0.0375339126131901,ACCEPT,phospholipase B1,Lipid Metabolism Disorders,[],False,False,False,False,,,
PLB1,gene_disease,C0023772,-0.053800880908966064,-0.0375339126131901,REJECT,phospholipase B1,"lipid metabolism, inborn errors",[],False,False,False,False,,,
PLB1,gene_disease,C0154251,-0.019496886059641838,-0.0375339126131901,ACCEPT,phospholipase B1,Inherited lipid metabolism disorder,[],False,False,False,False,,,
PLB1,gene_pathway,hsa00565,-0.013043169863522053,-0.0346968297443117,ACCEPT,phospholipase B1,Ether lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,KEGG:map00565,-0.07468662410974503,-0.0346968297443117,REJECT,phospholipase B1,Ether lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,R-HSA-390918,-0.012645658105611801,-0.0346968297443117,ACCEPT,phospholipase B1,Peroxisomal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_pathway,R-RNO-390918,-0.04592448100447655,-0.0346968297443117,REJECT,phospholipase B1,Peroxisomal lipid metabolism,[],False,False,False,False,,,
PLB1,gene_cellularcomponent,GO:0016020,-0.007235288619995117,-0.0358198597771757,ACCEPT,phospholipase B1,membrane,['Gene_CellularComponent'],False,True,True,False,Gene_CellularComponent,,
PLB1,gene_biologicalprocess,GO:0090559,-0.01788538508117199,-0.0356325677219588,ACCEPT,phospholipase B1,regulation of membrane permeability,[],False,False,False,False,,,
PLB1,gene_inhibits_biologicalprocess,GO:0090559,-0.13896289467811584,-0.0559618705714699,REJECT,phospholipase B1,regulation of membrane permeability,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.139, 'gene_promotes_biologicalprocess': -0.1871, 'gene_negativelyassociatedwith_biologicalprocess': -0.2392, 'gene_positivelyassociatedwith_biologicalprocess': -0.1947, 'gene_notassociatedwith_biologicalprocess': -0.373}"
PLB1,gene_phenotype,embryo phenotype,-0.05105719715356827,-0.0347684314162952,REJECT,phospholipase B1,embryo phenotype,[],False,False,False,False,,,
PLB1,gene_phenotype,muscle phenotype,-0.02456924133002758,-0.0347684314162952,ACCEPT,phospholipase B1,muscle phenotype,[],False,False,False,False,,,
PLB1,gene_phenotype,terminal phenotype,-0.06853599846363068,-0.0347684314162952,REJECT,phospholipase B1,terminal phenotype,[],False,False,False,False,,,
PLB1,gene_phenotype,skeleton phenotype,-0.0331653393805027,-0.0347684314162952,ACCEPT,phospholipase B1,skeleton phenotype,[],False,False,False,False,,,
PLB1,gene_biologicalprocess,GO:0033554,-0.021837672218680382,-0.0356325677219588,ACCEPT,phospholipase B1,cellular response to stress,[],False,False,False,False,,,
PLB1,gene_promotes_biologicalprocess,GO:0033554,-0.24813108146190643,-0.0617563253450388,REJECT,phospholipase B1,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2744, 'gene_promotes_biologicalprocess': -0.2481, 'gene_negativelyassociatedwith_biologicalprocess': -0.4502, 'gene_positivelyassociatedwith_biologicalprocess': -0.3194, 'gene_notassociatedwith_biologicalprocess': -0.4065}"
PLB1,gene_biologicalprocess,GO:0080136,-0.05140669271349907,-0.0356325677219588,REJECT,phospholipase B1,priming of cellular response to stress,[],False,False,False,False,,,
PLB1,gene_negativelyassociatedwith_biologicalprocess,GO:0080136,-0.3506738841533661,-0.1070524565571329,REJECT,phospholipase B1,priming of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4436, 'gene_promotes_biologicalprocess': -0.5513, 'gene_negativelyassociatedwith_biologicalprocess': -0.3507, 'gene_positivelyassociatedwith_biologicalprocess': -0.4281, 'gene_notassociatedwith_biologicalprocess': -0.5353}"
PLB1,gene_biologicalprocess,GO:0080135,-0.01760452426970005,-0.0356325677219588,ACCEPT,phospholipase B1,regulation of cellular response to stress,[],False,False,False,False,,,
PLB1,gene_promotes_biologicalprocess,GO:0080135,-0.17576037347316742,-0.0617563253450388,REJECT,phospholipase B1,regulation of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1769, 'gene_promotes_biologicalprocess': -0.1758, 'gene_negativelyassociatedwith_biologicalprocess': -0.3379, 'gene_positivelyassociatedwith_biologicalprocess': -0.1995, 'gene_notassociatedwith_biologicalprocess': -0.3153}"
P0CP74,protein_phenotype,abnormal lipid metabolism,-1.0959469079971313,-0.0497034494975703,REJECT,Phospholipase B,abnormal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_phenotype,WBPhenotype:0000725,-1.2540425062179565,-0.0497034494975703,REJECT,Phospholipase B,lipid metabolism variant,[],False,False,False,False,,,
P0CP74,protein_phenotype,MP:0013245,-0.8887594938278198,-0.0497034494975703,REJECT,Phospholipase B,abnormal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_disease,DOID:3146,-3.4571011066436768,-0.1452060252739286,REJECT,Phospholipase B,lipid metabolism disorder,[],False,False,False,False,,,
P0CP74,protein_disease,D052439,-1.3446002006530762,-0.1452060252739286,REJECT,Phospholipase B,Lipid Metabolism Disorders,[],False,False,False,False,,,
P0CP74,protein_disease,C0023772,-0.8646530508995056,-0.1452060252739286,REJECT,Phospholipase B,"lipid metabolism, inborn errors",[],False,False,False,False,,,
P0CP74,protein_disease,C0154251,-0.9076423645019531,-0.1452060252739286,REJECT,Phospholipase B,Inherited lipid metabolism disorder,[],False,False,False,False,,,
P0CP74,protein_pathway,hsa00565,-2.4398434162139893,-0.0332625891724323,REJECT,Phospholipase B,Ether lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,KEGG:map00565,-0.6332271099090576,-0.0332625891724323,REJECT,Phospholipase B,Ether lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,R-HSA-390918,-1.3447790145874023,-0.0332625891724323,REJECT,Phospholipase B,Peroxisomal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_pathway,R-RNO-390918,-0.8381106853485107,-0.0332625891724323,REJECT,Phospholipase B,Peroxisomal lipid metabolism,[],False,False,False,False,,,
P0CP74,protein_cellularcomponent,GO:0016020,-1.5826290845870972,-0.143767219171222,REJECT,Phospholipase B,membrane,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0090559,-0.4179590940475464,-0.5776643345681309,ACCEPT,Phospholipase B,regulation of membrane permeability,[],False,False,False,False,,,
P0CP74,protein_phenotype,embryo phenotype,-0.9867826104164124,-0.0497034494975703,REJECT,Phospholipase B,embryo phenotype,[],False,False,False,False,,,
P0CP74,protein_phenotype,muscle phenotype,-0.7929491996765137,-0.0497034494975703,REJECT,Phospholipase B,muscle phenotype,[],False,False,False,False,,,
P0CP74,protein_phenotype,terminal phenotype,-1.0211485624313354,-0.0497034494975703,REJECT,Phospholipase B,terminal phenotype,[],False,False,False,False,,,
P0CP74,protein_phenotype,skeleton phenotype,-0.8167484998703003,-0.0497034494975703,REJECT,Phospholipase B,skeleton phenotype,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0033554,-0.36756694316864014,-0.5776643345681309,ACCEPT,Phospholipase B,cellular response to stress,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0080136,-0.6944214105606079,-0.5776643345681309,REJECT,Phospholipase B,priming of cellular response to stress,[],False,False,False,False,,,
P0CP74,protein_biologicalprocess,GO:0080135,-0.3188668191432953,-0.5776643345681309,ACCEPT,Phospholipase B,regulation of cellular response to stress,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,WBPhenotype:0000725,-0.075218066573143,-0.150242852206178,ACCEPT,abnormal lipid metabolism,lipid metabolism variant,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,MP:0013245,-0.03014252707362175,-0.150242852206178,ACCEPT,abnormal lipid metabolism,abnormal lipid metabolism,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_disease,DOID:3146,-0.07323785871267319,-0.1923751866991638,ACCEPT,abnormal lipid metabolism,lipid metabolism disorder,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_disease,D052439,-0.33455994725227356,-0.1923751866991638,REJECT,abnormal lipid metabolism,Lipid Metabolism Disorders,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_disease,C0023772,-1.1080318689346313,-0.1923751866991638,REJECT,abnormal lipid metabolism,"lipid metabolism, inborn errors",[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_disease,C0154251,-0.6796396374702454,-0.1923751866991638,REJECT,abnormal lipid metabolism,Inherited lipid metabolism disorder,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_cellularcomponent,GO:0016020,-0.03438355028629303,-0.6698990933960958,ACCEPT,abnormal lipid metabolism,membrane,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0090559,-0.029528608545660973,-0.607891854730636,ACCEPT,abnormal lipid metabolism,regulation of membrane permeability,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,embryo phenotype,-0.06151851639151573,-0.150242852206178,ACCEPT,abnormal lipid metabolism,embryo phenotype,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,muscle phenotype,-0.045146394520998,-0.150242852206178,ACCEPT,abnormal lipid metabolism,muscle phenotype,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,terminal phenotype,-0.08644930273294449,-0.150242852206178,ACCEPT,abnormal lipid metabolism,terminal phenotype,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_phenotype,skeleton phenotype,-0.04807275906205177,-0.150242852206178,ACCEPT,abnormal lipid metabolism,skeleton phenotype,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0033554,-0.015486164949834347,-0.607891854730636,ACCEPT,abnormal lipid metabolism,cellular response to stress,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0080136,-0.1751490980386734,-0.607891854730636,ACCEPT,abnormal lipid metabolism,priming of cellular response to stress,[],False,False,False,False,,,
abnormal lipid metabolism,phenotype_biologicalprocess,GO:0080135,-0.018928581848740578,-0.607891854730636,ACCEPT,abnormal lipid metabolism,regulation of cellular response to stress,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_phenotype,MP:0013245,-1.3060206174850464,-0.150242852206178,REJECT,lipid metabolism variant,abnormal lipid metabolism,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_disease,DOID:3146,-3.0092389583587646,-0.1923751866991638,REJECT,lipid metabolism variant,lipid metabolism disorder,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_disease,D052439,-2.4937498569488525,-0.1923751866991638,REJECT,lipid metabolism variant,Lipid Metabolism Disorders,[],False,False,False,False,,,
WBPhenotype:0000725,phenotype_disease,C0023772,-1.9986064434051514,-0.1923751866991638,REJECT,lipid metabolism variant,"lipid metabolism, inborn errors",[],False,False,False,False,,,
