head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
203,chemicalentity_biologicalprocess,GO:0009154,-0.8789782524108887,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",purine ribonucleotide catabolic process,[],False,False,False,False,,,
203,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009154,-0.7003817558288574,-0.596142909254255,REJECT,"2,2-bis(carbamoylamino)acetic acid",purine ribonucleotide catabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7004, 'chemicalentity_noeffect_biologicalprocess': -2.2025, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1703, 'chemicalentity_promotes_biologicalprocess': -0.9822, 'chemicalentity_inhibits_biologicalprocess': -0.9266, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9843}"
203,chemicalentity_biologicalprocess,GO:0006152,-0.6543583273887634,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",purine nucleoside catabolic process,[],False,False,False,False,,,
203,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006152,-0.39910995960235596,-0.596142909254255,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",purine nucleoside catabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3991, 'chemicalentity_noeffect_biologicalprocess': -1.9262, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8358, 'chemicalentity_promotes_biologicalprocess': -0.9712, 'chemicalentity_inhibits_biologicalprocess': -0.4839, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7824}"
203,chemicalentity_biologicalprocess,GO:0006195,-0.6957827806472778,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",purine nucleotide catabolic process,[],False,False,False,False,,,
203,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006195,-0.39347073435783386,-0.596142909254255,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",purine nucleotide catabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3935, 'chemicalentity_noeffect_biologicalprocess': -1.8634, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6763, 'chemicalentity_promotes_biologicalprocess': -0.9282, 'chemicalentity_inhibits_biologicalprocess': -0.66, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7755}"
203,chemicalentity_biologicalprocess,GO:0006145,-0.7538144588470459,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",purine nucleobase catabolic process,[],False,False,False,False,,,
203,chemicalentity_inhibits_biologicalprocess,GO:0006145,-0.5985842347145081,-0.7050372264239742,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",purine nucleobase catabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6087, 'chemicalentity_noeffect_biologicalprocess': -1.399, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9563, 'chemicalentity_promotes_biologicalprocess': -0.7483, 'chemicalentity_inhibits_biologicalprocess': -0.5986, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9033}"
203,chemicalentity_biologicalprocess,GO:0009455,-0.6394727230072021,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",redox taxis,[],False,False,False,False,,,
203,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0009455,-0.6953272819519043,-0.596142909254255,REJECT,"2,2-bis(carbamoylamino)acetic acid",redox taxis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6953, 'chemicalentity_noeffect_biologicalprocess': -1.6696, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8699, 'chemicalentity_promotes_biologicalprocess': -1.0533, 'chemicalentity_inhibits_biologicalprocess': -0.7753, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7682}"
203,chemicalentity_biologicalprocess,GO:0043575,-0.8112978935241699,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",detection of osmotic stimulus,[],False,False,False,False,,,
203,chemicalentity_inhibits_biologicalprocess,GO:0043575,-0.6343271136283875,-0.7050372264239742,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",detection of osmotic stimulus,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.787, 'chemicalentity_noeffect_biologicalprocess': -1.3272, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9203, 'chemicalentity_promotes_biologicalprocess': -0.7303, 'chemicalentity_inhibits_biologicalprocess': -0.6343, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9213}"
203,chemicalentity_protein,Q5STF9,-0.12758372724056244,-0.3552259656009227,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
203,chemicalentity_biologicalprocess,GO:0006954,-0.9087293148040771,-0.232143107153421,REJECT,"2,2-bis(carbamoylamino)acetic acid",inflammatory response,[],False,False,False,False,,,
203,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006954,-0.32296791672706604,-0.596142909254255,ACCEPT,"2,2-bis(carbamoylamino)acetic acid",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.323, 'chemicalentity_noeffect_biologicalprocess': -2.0902, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7756, 'chemicalentity_promotes_biologicalprocess': -0.6489, 'chemicalentity_inhibits_biologicalprocess': -0.3806, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7287}"
GO:0009154,biologicalprocess_biologicalprocess,GO:0006152,-0.011434577405452728,-0.0422867482620858,ACCEPT,purine ribonucleotide catabolic process,purine nucleoside catabolic process,[],False,False,False,False,,,
GO:0009154,biologicalprocess_biologicalprocess,GO:0006195,-0.013604817911982536,-0.0422867482620858,ACCEPT,purine ribonucleotide catabolic process,purine nucleotide catabolic process,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0009154,biologicalprocess_biologicalprocess,GO:0006145,-0.021502602845430374,-0.0422867482620858,ACCEPT,purine ribonucleotide catabolic process,purine nucleobase catabolic process,[],False,False,False,False,,,
GO:0009154,biologicalprocess_biologicalprocess,GO:0009455,-0.08322148025035858,-0.0422867482620858,REJECT,purine ribonucleotide catabolic process,redox taxis,[],False,False,False,False,,,
GO:0009154,biologicalprocess_biologicalprocess,GO:0043575,-0.06029819697141647,-0.0422867482620858,REJECT,purine ribonucleotide catabolic process,detection of osmotic stimulus,[],False,False,False,False,,,
GO:0009154,biologicalprocess_protein,Q5STF9,-0.6644290089607239,-0.4342587681103441,REJECT,purine ribonucleotide catabolic process,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0009154,biologicalprocess_biologicalprocess,GO:0006954,-0.006550357677042484,-0.0422867482620858,ACCEPT,purine ribonucleotide catabolic process,inflammatory response,[],False,False,False,False,,,
GO:0006152,biologicalprocess_biologicalprocess,GO:0006195,-0.01564297080039978,-0.0422867482620858,ACCEPT,purine nucleoside catabolic process,purine nucleotide catabolic process,[],False,False,False,False,,,
GO:0006152,biologicalprocess_biologicalprocess,GO:0006145,-0.02334124967455864,-0.0422867482620858,ACCEPT,purine nucleoside catabolic process,purine nucleobase catabolic process,[],False,False,False,False,,,
GO:0006152,biologicalprocess_biologicalprocess,GO:0009455,-0.08442050963640213,-0.0422867482620858,REJECT,purine nucleoside catabolic process,redox taxis,[],False,False,False,False,,,
GO:0006152,biologicalprocess_biologicalprocess,GO:0043575,-0.061530888080596924,-0.0422867482620858,REJECT,purine nucleoside catabolic process,detection of osmotic stimulus,[],False,False,False,False,,,
GO:0006152,biologicalprocess_protein,Q5STF9,-0.5523099899291992,-0.4342587681103441,REJECT,purine nucleoside catabolic process,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0006152,biologicalprocess_biologicalprocess,GO:0006954,-0.007762381806969643,-0.0422867482620858,ACCEPT,purine nucleoside catabolic process,inflammatory response,[],False,False,False,False,,,
GO:0006195,biologicalprocess_biologicalprocess,GO:0006145,-0.008088216185569763,-0.0422867482620858,ACCEPT,purine nucleotide catabolic process,purine nucleobase catabolic process,[],False,False,False,False,,,
GO:0006195,biologicalprocess_biologicalprocess,GO:0009455,-0.0464390404522419,-0.0422867482620858,REJECT,purine nucleotide catabolic process,redox taxis,[],False,False,False,False,,,
GO:0006195,biologicalprocess_biologicalprocess,GO:0043575,-0.03015850856900215,-0.0422867482620858,ACCEPT,purine nucleotide catabolic process,detection of osmotic stimulus,[],False,False,False,False,,,
GO:0006195,biologicalprocess_protein,Q5STF9,-0.5655913352966309,-0.4342587681103441,REJECT,purine nucleotide catabolic process,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0006195,biologicalprocess_biologicalprocess,GO:0006954,-0.0016043357318267226,-0.0422867482620858,ACCEPT,purine nucleotide catabolic process,inflammatory response,[],False,False,False,False,,,
GO:0006145,biologicalprocess_biologicalprocess,GO:0009455,-0.1569720208644867,-0.0422867482620858,REJECT,purine nucleobase catabolic process,redox taxis,[],False,False,False,False,,,
GO:0006145,biologicalprocess_biologicalprocess,GO:0043575,-0.1207326203584671,-0.0422867482620858,REJECT,purine nucleobase catabolic process,detection of osmotic stimulus,[],False,False,False,False,,,
GO:0006145,biologicalprocess_protein,Q5STF9,-0.6559473872184753,-0.4342587681103441,REJECT,purine nucleobase catabolic process,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0006145,biologicalprocess_biologicalprocess,GO:0006954,-0.02746225893497467,-0.0422867482620858,ACCEPT,purine nucleobase catabolic process,inflammatory response,[],False,False,False,False,,,
early reproductive senescence,phenotype_chemicalentity,203,-1.1248801946640015,-0.1369889979525682,REJECT,early reproductive senescence,"2,2-bis(carbamoylamino)acetic acid",[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0009154,-0.20490552484989166,-0.607891854730636,ACCEPT,early reproductive senescence,purine ribonucleotide catabolic process,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0006152,-0.16458015143871307,-0.607891854730636,ACCEPT,early reproductive senescence,purine nucleoside catabolic process,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0006195,-0.11861132830381393,-0.607891854730636,ACCEPT,early reproductive senescence,purine nucleotide catabolic process,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0006145,-0.1968342661857605,-0.607891854730636,ACCEPT,early reproductive senescence,purine nucleobase catabolic process,[],False,False,False,False,,,
early reproductive senescence,phenotype_phenotype,vascular stenosis,-0.437430739402771,-0.150242852206178,REJECT,early reproductive senescence,vascular stenosis,[],False,False,False,False,,,
early reproductive senescence,phenotype_phenotype,vascular restenosis,-0.4566507339477539,-0.150242852206178,REJECT,early reproductive senescence,vascular restenosis,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0009455,-1.0478852987289429,-0.607891854730636,REJECT,early reproductive senescence,redox taxis,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0043575,-0.545159637928009,-0.607891854730636,ACCEPT,early reproductive senescence,detection of osmotic stimulus,[],False,False,False,False,,,
early reproductive senescence,phenotype_protein,Q5STF9,-0.9102253317832947,-0.3155417705896823,REJECT,early reproductive senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
early reproductive senescence,phenotype_biologicalprocess,GO:0006954,-0.09781216830015182,-0.607891854730636,ACCEPT,early reproductive senescence,inflammatory response,[],False,False,False,False,,,
