head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
SDH1,gene_protein,D5ARY8,-1.8855407238006592,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Type A flavoprotein fprA,[],False,False,False,False,,,
SDH1,gene_protein,P51054,-1.8723223209381104,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Succinate dehydrogenase flavoprotein subunit,[],False,False,False,False,,,
SDH1,gene_protein,P08065,-1.8516502380371094,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Succinate dehydrogenase flavoprotein subunit,[],False,False,False,False,,,
SDH1,gene_protein,P0AC41,-2.0651321411132812,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Succinate dehydrogenase flavoprotein subunit,[],False,False,False,False,,,
SDH1,gene_protein,P0AC43,-1.8016326427459717,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Succinate dehydrogenase flavoprotein subunit,[],False,False,False,False,,,
SDH1,gene_protein,P31038,-2.0756733417510986,-0.0280984394514378,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,Succinate dehydrogenase flavoprotein subunit,[],False,False,False,False,,,
SDH1,gene_biologicalprocess,GO:0070370,-3.0571272373199463,-0.0356325677219588,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,cellular heat acclimation,[],False,False,False,False,,,
SDH1,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-1.3208777904510498,-0.0730086550790463,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.295, 'gene_promotes_biologicalprocess': -2.4057, 'gene_negativelyassociatedwith_biologicalprocess': -1.6645, 'gene_positivelyassociatedwith_biologicalprocess': -1.3209, 'gene_notassociatedwith_biologicalprocess': -1.5862}"
SDH1,gene_biologicalprocess,GO:0008152,-7.213012218475342,-0.0356325677219588,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,metabolic process,[],False,False,False,False,,,
SDH1,gene_positivelyassociatedwith_biologicalprocess,GO:0008152,-4.460099697113037,-0.0730086550790463,REJECT,succinate dehydrogenase flavoprotein subunit SDH1,metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -5.071, 'gene_promotes_biologicalprocess': -4.9091, 'gene_negativelyassociatedwith_biologicalprocess': -5.3313, 'gene_positivelyassociatedwith_biologicalprocess': -4.4601, 'gene_notassociatedwith_biologicalprocess': -4.5923}"
