head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q67Y55,protein_chemicalentity,1182,-1.4164962768554688,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,valine,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,6971018,-0.8310060501098633,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,L-valine zwitterion,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,857,-1.444189429283142,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,leucine,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,7045798,-1.00689697265625,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,L-leucine zwitterion,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,6934188,-0.7682807445526123,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,(3R)-beta-leucine zwitterion,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,3034584,-0.8988250494003296,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,5-butan-2-yl-3-phenyl-2-sulfanylideneimidazolidin-4-one,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,435718,-0.7315808534622192,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,2-[(2-amino-4-methylpentanoyl)amino]-3-methylpentanoic acid,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,1153,-1.3566992282867432,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,tyrosine,[],False,False,False,False,,,
Q67Y55,protein_chemicalentity,6057,-1.5715340375900269,-0.1571110372511136,REJECT,Probable aminotransferase TAT1,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,[],False,False,False,False,,,
Q67Y55,protein_biologicalprocess,GO:0070370,-0.25342580676078796,-0.5776643345681309,ACCEPT,Probable aminotransferase TAT1,cellular heat acclimation,[],False,False,False,False,,,
Q67Y55,protein_biologicalprocess,GO:0051673,-0.2436010092496872,-0.5776643345681309,ACCEPT,Probable aminotransferase TAT1,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
YBR069C,gene_protein,Q67Y55,-0.07187487185001373,-0.0280984394514378,REJECT,amino acid transporter TAT1,Probable aminotransferase TAT1,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,1182,-0.07009051740169525,-0.0285922419958417,REJECT,amino acid transporter TAT1,valine,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,6971018,-0.05445867031812668,-0.0285922419958417,REJECT,amino acid transporter TAT1,L-valine zwitterion,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,857,-0.044178690761327744,-0.0285922419958417,REJECT,amino acid transporter TAT1,leucine,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,7045798,-0.11328712850809097,-0.0285922419958417,REJECT,amino acid transporter TAT1,L-leucine zwitterion,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,6934188,-0.09531507641077042,-0.0285922419958417,REJECT,amino acid transporter TAT1,(3R)-beta-leucine zwitterion,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,3034584,-0.12242747843265533,-0.0285922419958417,REJECT,amino acid transporter TAT1,5-butan-2-yl-3-phenyl-2-sulfanylideneimidazolidin-4-one,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,435718,-0.11238513141870499,-0.0285922419958417,REJECT,amino acid transporter TAT1,2-[(2-amino-4-methylpentanoyl)amino]-3-methylpentanoic acid,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,1153,-0.043408170342445374,-0.0285922419958417,REJECT,amino acid transporter TAT1,tyrosine,[],False,False,False,False,,,
YBR069C,gene_chemicalentity,6057,-0.05450432002544403,-0.0285922419958417,REJECT,amino acid transporter TAT1,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,[],False,False,False,False,,,
YBR069C,gene_biologicalprocess,GO:0070370,-0.043504711240530014,-0.0356325677219588,REJECT,amino acid transporter TAT1,cellular heat acclimation,[],False,False,False,False,,,
YBR069C,gene_inhibits_biologicalprocess,GO:0070370,-0.34956133365631104,-0.0559618705714699,REJECT,amino acid transporter TAT1,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3496, 'gene_promotes_biologicalprocess': -0.3745, 'gene_negativelyassociatedwith_biologicalprocess': -0.4543, 'gene_positivelyassociatedwith_biologicalprocess': -0.3769, 'gene_notassociatedwith_biologicalprocess': -0.4013}"
YBR069C,gene_biologicalprocess,GO:0051673,-0.05353477597236633,-0.0356325677219588,REJECT,amino acid transporter TAT1,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
YBR069C,gene_positivelyassociatedwith_biologicalprocess,GO:0051673,-0.2894804775714874,-0.0730086550790463,REJECT,amino acid transporter TAT1,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3143, 'gene_promotes_biologicalprocess': -0.3909, 'gene_negativelyassociatedwith_biologicalprocess': -0.3083, 'gene_positivelyassociatedwith_biologicalprocess': -0.2895, 'gene_notassociatedwith_biologicalprocess': -0.3317}"
1182,chemicalentity_chemicalentity,6971018,-0.4992431700229645,-0.2425281074611494,REJECT,valine,L-valine zwitterion,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,857,-0.5737664103507996,-0.2425281074611494,REJECT,valine,leucine,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,7045798,-0.5752269625663757,-0.2425281074611494,REJECT,valine,L-leucine zwitterion,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,6934188,-0.2665948271751404,-0.2425281074611494,REJECT,valine,(3R)-beta-leucine zwitterion,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,3034584,-0.31110620498657227,-0.2425281074611494,REJECT,valine,5-butan-2-yl-3-phenyl-2-sulfanylideneimidazolidin-4-one,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,435718,-0.28072458505630493,-0.2425281074611494,REJECT,valine,2-[(2-amino-4-methylpentanoyl)amino]-3-methylpentanoic acid,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,1153,-0.6700233817100525,-0.2425281074611494,REJECT,valine,tyrosine,[],False,False,False,False,,,
1182,chemicalentity_chemicalentity,6057,-1.481563925743103,-0.2425281074611494,REJECT,valine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,[],False,False,False,False,,,
1182,chemicalentity_biologicalprocess,GO:0070370,-0.3109113574028015,-0.232143107153421,REJECT,valine,cellular heat acclimation,[],False,False,False,False,,,
1182,chemicalentity_inhibits_biologicalprocess,GO:0070370,-0.42865151166915894,-0.7050372264239742,ACCEPT,valine,cellular heat acclimation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6604, 'chemicalentity_noeffect_biologicalprocess': -1.495, 'chemicalentity_notassociatedwith_biologicalprocess': -0.856, 'chemicalentity_promotes_biologicalprocess': -0.8093, 'chemicalentity_inhibits_biologicalprocess': -0.4287, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8233}"
1182,chemicalentity_biologicalprocess,GO:0051673,-0.3639461100101471,-0.232143107153421,REJECT,valine,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
1182,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0051673,-0.4216471016407013,-0.596142909254255,ACCEPT,valine,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4216, 'chemicalentity_noeffect_biologicalprocess': -1.9841, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7964, 'chemicalentity_promotes_biologicalprocess': -0.9099, 'chemicalentity_inhibits_biologicalprocess': -0.5623, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5874}"
6971018,chemicalentity_chemicalentity,857,-0.5185583233833313,-0.2425281074611494,REJECT,L-valine zwitterion,leucine,[],False,False,False,False,,,
6971018,chemicalentity_chemicalentity,7045798,-0.5309209823608398,-0.2425281074611494,REJECT,L-valine zwitterion,L-leucine zwitterion,[],False,False,False,False,,,
6971018,chemicalentity_chemicalentity,6934188,-0.350553423166275,-0.2425281074611494,REJECT,L-valine zwitterion,(3R)-beta-leucine zwitterion,[],False,False,False,False,,,
6971018,chemicalentity_chemicalentity,3034584,-0.3886188864707947,-0.2425281074611494,REJECT,L-valine zwitterion,5-butan-2-yl-3-phenyl-2-sulfanylideneimidazolidin-4-one,[],False,False,False,False,,,
