head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
445408,chemicalentity_chemicalentity,12803287,-0.46108540892601013,-0.2425281074611494,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",[],False,False,False,False,,,
445408,chemicalentity_chemicalentity,451388,-0.36463141441345215,-0.2425281074611494,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",[],False,False,False,False,,,
445408,chemicalentity_chemicalentity,50909857,-0.4259087145328522,-0.2425281074611494,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",TDP(3-),[],False,False,False,False,,,
445408,chemicalentity_chemicalentity,1715220,-0.3842132091522217,-0.2425281074611494,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione","1-[(2S,3S,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",[],False,False,False,False,,,
445408,chemicalentity_biologicalprocess,GO:0090398,-0.18275722861289978,-0.232143107153421,ACCEPT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",cellular senescence,[],False,False,False,False,,,
445408,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.010822653770446777,-0.7050372264239742,ACCEPT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1725, 'chemicalentity_noeffect_biologicalprocess': -0.6118, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2616, 'chemicalentity_promotes_biologicalprocess': -0.1061, 'chemicalentity_inhibits_biologicalprocess': -0.0108, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4988}"
445408,chemicalentity_biologicalprocess,GO:0007049,-0.3319278657436371,-0.232143107153421,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",cell cycle,[],False,False,False,False,,,
445408,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007049,-0.2055586725473404,-0.596142909254255,ACCEPT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2056, 'chemicalentity_noeffect_biologicalprocess': -1.8838, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5708, 'chemicalentity_promotes_biologicalprocess': -0.4078, 'chemicalentity_inhibits_biologicalprocess': -0.2104, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7612}"
445408,chemicalentity_protein,D3VVE9,-0.9890789985656738,-0.3552259656009227,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
445408,chemicalentity_protein,Q5STF9,-0.15897826850414276,-0.3552259656009227,ACCEPT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
445408,chemicalentity_gene,Lus,-0.6235650777816772,-0.2458965898096785,REJECT,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",lymphoid cytostasis suppressor,[],False,False,False,False,,,
12803287,chemicalentity_chemicalentity,451388,-0.22283747792243958,-0.2425281074611494,ACCEPT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate","[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",[],False,False,False,False,,,
12803287,chemicalentity_chemicalentity,50909857,-0.2859828770160675,-0.2425281074611494,REJECT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",TDP(3-),[],False,False,False,False,,,
12803287,chemicalentity_chemicalentity,1715220,-0.2449798882007599,-0.2425281074611494,REJECT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate","1-[(2S,3S,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",[],False,False,False,False,,,
12803287,chemicalentity_biologicalprocess,GO:0090398,-0.12253692746162415,-0.232143107153421,ACCEPT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",cellular senescence,[],False,False,False,False,,,
12803287,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.008653508499264717,-0.7050372264239742,ACCEPT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1815, 'chemicalentity_noeffect_biologicalprocess': -0.6243, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1937, 'chemicalentity_promotes_biologicalprocess': -0.0812, 'chemicalentity_inhibits_biologicalprocess': -0.0087, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2176}"
12803287,chemicalentity_biologicalprocess,GO:0007049,-0.2727677524089813,-0.232143107153421,REJECT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",cell cycle,[],False,False,False,False,,,
12803287,chemicalentity_inhibits_biologicalprocess,GO:0007049,-0.18123680353164673,-0.7050372264239742,ACCEPT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2623, 'chemicalentity_noeffect_biologicalprocess': -2.2011, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5227, 'chemicalentity_promotes_biologicalprocess': -0.4026, 'chemicalentity_inhibits_biologicalprocess': -0.1812, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3528}"
12803287,chemicalentity_protein,D3VVE9,-1.083094835281372,-0.3552259656009227,REJECT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
12803287,chemicalentity_protein,Q5STF9,-0.09110483527183533,-0.3552259656009227,ACCEPT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
12803287,chemicalentity_gene,Lus,-0.6117970943450928,-0.2458965898096785,REJECT,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",lymphoid cytostasis suppressor,[],False,False,False,False,,,
451388,chemicalentity_chemicalentity,50909857,-0.6413681507110596,-0.2425281074611494,REJECT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",TDP(3-),[],False,False,False,False,,,
451388,chemicalentity_chemicalentity,1715220,-0.6703584790229797,-0.2425281074611494,REJECT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","1-[(2S,3S,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",[],False,False,False,False,,,
451388,chemicalentity_biologicalprocess,GO:0090398,-0.5450426936149597,-0.232143107153421,REJECT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",cellular senescence,[],False,False,False,False,,,
451388,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.07030824571847916,-0.7050372264239742,ACCEPT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3517, 'chemicalentity_noeffect_biologicalprocess': -0.8799, 'chemicalentity_notassociatedwith_biologicalprocess': -0.466, 'chemicalentity_promotes_biologicalprocess': -0.2428, 'chemicalentity_inhibits_biologicalprocess': -0.0703, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.909}"
451388,chemicalentity_biologicalprocess,GO:0007049,-1.1458607912063599,-0.232143107153421,REJECT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",cell cycle,[],False,False,False,False,,,
451388,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007049,-0.5691251158714294,-0.596142909254255,ACCEPT,"[[(2R,3S,4R,5R)-3,4-dihydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",cell cycle,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5691, 'chemicalentity_noeffect_biologicalprocess': -2.1679, 'chemicalentity_notassociatedwith_biologicalprocess': -0.955, 'chemicalentity_promotes_biologicalprocess': -0.7731, 'chemicalentity_inhibits_biologicalprocess': -0.7045, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4065}"
