head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PUS1,gene_cellularcomponent,GO:0005759,-0.001681258319877088,-0.0358198597771757,ACCEPT,pseudouridine synthase 1,mitochondrial matrix,['CellularComponent_Gene'],False,True,True,False,CellularComponent_Gene,,
PUS1,gene_cellularcomponent,GO:0031966,-0.0015415786765515804,-0.0358198597771757,ACCEPT,pseudouridine synthase 1,mitochondrial membrane,[],False,False,False,False,,,
PUS1,gene_chemicalentity,5359597,-0.04996716231107712,-0.0285922419958417,REJECT,pseudouridine synthase 1,superoxide,[],False,False,False,False,,,
PUS1,gene_biologicalprocess,GO:0071359,-0.02660449780523777,-0.0356325677219588,ACCEPT,pseudouridine synthase 1,cellular response to dsRNA,[],False,False,False,False,,,
PUS1,gene_promotes_biologicalprocess,GO:0071359,-0.2548676133155823,-0.0617563253450388,REJECT,pseudouridine synthase 1,cellular response to dsRNA,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2849, 'gene_promotes_biologicalprocess': -0.2549, 'gene_negativelyassociatedwith_biologicalprocess': -0.3145, 'gene_positivelyassociatedwith_biologicalprocess': -0.3303, 'gene_notassociatedwith_biologicalprocess': -0.4045}"
PUS1,gene_biologicalprocess,GO:0071362,-0.035906072705984116,-0.0356325677219588,REJECT,pseudouridine synthase 1,cellular response to ether,[],False,False,False,False,,,
PUS1,gene_inhibits_biologicalprocess,GO:0071362,-0.30216842889785767,-0.0559618705714699,REJECT,pseudouridine synthase 1,cellular response to ether,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3022, 'gene_promotes_biologicalprocess': -0.3196, 'gene_negativelyassociatedwith_biologicalprocess': -0.3525, 'gene_positivelyassociatedwith_biologicalprocess': -0.3632, 'gene_notassociatedwith_biologicalprocess': -0.4355}"
PUS1,gene_biologicalprocess,GO:0009266,-0.008089246228337288,-0.0356325677219588,ACCEPT,pseudouridine synthase 1,response to temperature stimulus,[],False,False,False,False,,,
PUS1,gene_inhibits_biologicalprocess,GO:0009266,-0.08367530256509781,-0.0559618705714699,REJECT,pseudouridine synthase 1,response to temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0837, 'gene_promotes_biologicalprocess': -0.1244, 'gene_negativelyassociatedwith_biologicalprocess': -0.2108, 'gene_positivelyassociatedwith_biologicalprocess': -0.1397, 'gene_notassociatedwith_biologicalprocess': -0.2131}"
PUS1,gene_biologicalprocess,GO:0016048,-0.006770722568035126,-0.0356325677219588,ACCEPT,pseudouridine synthase 1,detection of temperature stimulus,[],False,False,False,False,,,
PUS1,gene_inhibits_biologicalprocess,GO:0016048,-0.14553339779376984,-0.0559618705714699,REJECT,pseudouridine synthase 1,detection of temperature stimulus,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1455, 'gene_promotes_biologicalprocess': -0.1793, 'gene_negativelyassociatedwith_biologicalprocess': -0.3011, 'gene_positivelyassociatedwith_biologicalprocess': -0.2101, 'gene_notassociatedwith_biologicalprocess': -0.2349}"
PUS1,gene_biologicalprocess,GO:0071502,-0.011714889667928219,-0.0356325677219588,ACCEPT,pseudouridine synthase 1,cellular response to temperature stimulus,[],False,False,False,False,,,
