head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
978,chemicalentity_chemicalentity,147034,-0.180189847946167,-0.2425281074611494,ACCEPT,4-aminobenzoic acid,2-acetyloxy-4-aminobenzoic acid,[],False,False,False,False,,,
978,chemicalentity_biologicalprocess,GO:0090403,-0.054227717220783234,-0.232143107153421,ACCEPT,4-aminobenzoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,,
978,chemicalentity_inhibits_biologicalprocess,GO:0090403,-0.3199593424797058,-0.7050372264239742,ACCEPT,4-aminobenzoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3261, 'chemicalentity_noeffect_biologicalprocess': -1.1171, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5597, 'chemicalentity_promotes_biologicalprocess': -0.403, 'chemicalentity_inhibits_biologicalprocess': -0.32, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4874}"
978,chemicalentity_protein,D3VVE9,-0.8231203556060791,-0.3552259656009227,REJECT,4-aminobenzoic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
978,chemicalentity_protein,Q5STF9,-0.06609195470809937,-0.3552259656009227,ACCEPT,4-aminobenzoic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
147034,chemicalentity_biologicalprocess,GO:0090403,-2.0649797916412354,-0.232143107153421,REJECT,2-acetyloxy-4-aminobenzoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,,
147034,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.0781697034835815,-0.596142909254255,REJECT,2-acetyloxy-4-aminobenzoic acid,oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0782, 'chemicalentity_noeffect_biologicalprocess': -2.474, 'chemicalentity_notassociatedwith_biologicalprocess': -1.5157, 'chemicalentity_promotes_biologicalprocess': -2.1511, 'chemicalentity_inhibits_biologicalprocess': -2.0135, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.5967}"
147034,chemicalentity_protein,D3VVE9,-1.0882012844085693,-0.3552259656009227,REJECT,2-acetyloxy-4-aminobenzoic acid,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
147034,chemicalentity_protein,Q5STF9,-1.242495059967041,-0.3552259656009227,REJECT,2-acetyloxy-4-aminobenzoic acid,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,D3VVE9,-0.38888129591941833,-0.4342587681103441,ACCEPT,oxidative stress-induced premature senescence,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
