head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YCR034W,gene_biologicalprocess,GO:0090159,-0.15763644874095917,-0.0356325677219588,REJECT,fatty acid elongase ELO2,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,[],False,False,False,False,,,
YCR034W,gene_notassociatedwith_biologicalprocess,GO:0090159,-0.5204075574874878,-0.1941926147433079,REJECT,fatty acid elongase ELO2,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5702, 'gene_promotes_biologicalprocess': -0.556, 'gene_negativelyassociatedwith_biologicalprocess': -0.5403, 'gene_positivelyassociatedwith_biologicalprocess': -0.5937, 'gene_notassociatedwith_biologicalprocess': -0.5204}"
YCR034W,gene_biologicalprocess,GO:0051673,-0.03627464175224304,-0.0356325677219588,REJECT,fatty acid elongase ELO2,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
YCR034W,gene_notassociatedwith_biologicalprocess,GO:0051673,-0.28209561109542847,-0.1941926147433079,REJECT,fatty acid elongase ELO2,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3461, 'gene_promotes_biologicalprocess': -0.3346, 'gene_negativelyassociatedwith_biologicalprocess': -0.2852, 'gene_positivelyassociatedwith_biologicalprocess': -0.3467, 'gene_notassociatedwith_biologicalprocess': -0.2821}"
YCR034W,gene_phenotype,WBPhenotype:0002484,-0.053797658532857895,-0.0347684314162952,REJECT,fatty acid elongase ELO2,membrane fluidity variant,[],False,False,False,False,,,
YCR034W,gene_phenotype,WBPhenotype:0002361,-0.08230247348546982,-0.0347684314162952,REJECT,fatty acid elongase ELO2,membrane fluidity increased,[],False,False,False,False,,,
YCR034W,gene_phenotype,WBPhenotype:0000138,-0.007277463097125292,-0.0347684314162952,ACCEPT,fatty acid elongase ELO2,lipid composition variant,[],False,False,False,False,,,
GO:0090159,biologicalprocess_biologicalprocess,GO:0051673,-0.8540862798690796,-0.0422867482620858,REJECT,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0090159,-1.2991341352462769,-0.607891854730636,REJECT,membrane fluidity variant,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0051673,-0.7027000784873962,-0.607891854730636,REJECT,membrane fluidity variant,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0002361,-1.7013975381851196,-0.150242852206178,REJECT,membrane fluidity variant,membrane fluidity increased,[],False,False,False,False,,,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0000138,-4.203738689422607,-0.150242852206178,REJECT,membrane fluidity variant,lipid composition variant,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_biologicalprocess,GO:0090159,-1.0498318672180176,-0.607891854730636,REJECT,membrane fluidity increased,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_biologicalprocess,GO:0051673,-0.42776060104370117,-0.607891854730636,ACCEPT,membrane fluidity increased,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
WBPhenotype:0002361,phenotype_phenotype,WBPhenotype:0000138,-3.0795271396636963,-0.150242852206178,REJECT,membrane fluidity increased,lipid composition variant,[],False,False,False,False,,,
WBPhenotype:0000138,phenotype_biologicalprocess,GO:0090159,-0.5511873364448547,-0.607891854730636,ACCEPT,lipid composition variant,sphingolipid biosynthesis involved in endoplasmic reticulum membrane organization,[],False,False,False,False,,,
WBPhenotype:0000138,phenotype_biologicalprocess,GO:0051673,-0.052892979234457016,-0.607891854730636,ACCEPT,lipid composition variant,disruption of plasma membrane integrity in another organism,[],False,False,False,False,,,
