head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0014003,-1.8028297424316406,-0.3146286561727787,REJECT,oligodendrocyte,oligodendrocyte development,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0048709,-1.4850276708602905,-0.3146286561727787,REJECT,oligodendrocyte,oligodendrocyte differentiation,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_gene,OMG,-4.924535751342773,-0.0908535036009805,REJECT,oligodendrocyte,oligodendrocyte myelin glycoprotein,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0032288,-1.5553290843963623,-0.3146286561727787,REJECT,oligodendrocyte,myelin assembly,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:1111116,-1.0689465999603271,-0.3146286561727787,REJECT,oligodendrocyte,mitochondrial dysfunction,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0008053,-2.0813093185424805,-0.3146286561727787,REJECT,oligodendrocyte,mitochondrial fusion,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0000266,-1.1107327938079834,-0.3146286561727787,REJECT,oligodendrocyte,mitochondrial fission,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0051882,-1.3453503847122192,-0.3146286561727787,REJECT,oligodendrocyte,mitochondrial depolarization,[],False,False,False,False,,,
ZFA:0009076,anatomicalentity_biologicalprocess,GO:0006810,-1.8009506464004517,-0.3146286561727787,REJECT,oligodendrocyte,transport,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_phenotype,increased oligodendrocyte number,-1.263377070426941,-0.150242852206178,REJECT,    oligodendrocyte loose abnormal  ,increased oligodendrocyte number,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_phenotype,decreased oligodendrocyte number,-1.4680787324905396,-0.150242852206178,REJECT,    oligodendrocyte loose abnormal  ,decreased oligodendrocyte number,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_phenotype,ZP:0011793,-1.5326502323150635,-0.150242852206178,REJECT,    oligodendrocyte loose abnormal  ,"oligodendrocyte loose, abnormal",[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_biologicalprocess,GO:0014003,-0.7049279808998108,-0.607891854730636,REJECT,    oligodendrocyte loose abnormal  ,oligodendrocyte development,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_biologicalprocess,GO:0048709,-0.8090269565582275,-0.607891854730636,REJECT,    oligodendrocyte loose abnormal  ,oligodendrocyte differentiation,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_protein,A6NNJ9,-2.4987916946411133,-0.3155417705896823,REJECT,    oligodendrocyte loose abnormal  ,Myelin-oligodendrocyte glycoprotein,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_gene,OMG,-4.326220512390137,-0.1233359341644249,REJECT,    oligodendrocyte loose abnormal  ,oligodendrocyte myelin glycoprotein,[],False,False,False,False,,,
oligodendrocyte loose abnormal,phenotype_biologicalprocess,GO:0032288,-0.9081374406814575,-0.607891854730636,REJECT,    oligodendrocyte loose abnormal  ,myelin assembly,[],False,False,False,False,,,
