head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
MEP2,gene_protein,P41948,-1.9084974527359009,-0.0280984394514378,REJECT,ammonium permease MEP2,Ammonium transporter MEP2 {ECO:0000303|PubMed:9234685},[],False,False,False,False,,,
MEP2,gene_biologicalprocess,GO:0007124,-3.174091339111328,-0.0356325677219588,REJECT,ammonium permease MEP2,pseudohyphal growth,[],False,False,False,False,,,
MEP2,gene_positivelyassociatedwith_biologicalprocess,GO:0007124,-1.7057483196258545,-0.0730086550790463,REJECT,ammonium permease MEP2,pseudohyphal growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.4714, 'gene_promotes_biologicalprocess': -2.3982, 'gene_negativelyassociatedwith_biologicalprocess': -2.1468, 'gene_positivelyassociatedwith_biologicalprocess': -1.7057, 'gene_notassociatedwith_biologicalprocess': -1.8427}"
MEP2,gene_biologicalprocess,GO:2000220,-1.805680513381958,-0.0356325677219588,REJECT,ammonium permease MEP2,regulation of pseudohyphal growth,[],False,False,False,False,,,
MEP2,gene_positivelyassociatedwith_biologicalprocess,GO:2000220,-1.0049877166748047,-0.0730086550790463,REJECT,ammonium permease MEP2,regulation of pseudohyphal growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.4244, 'gene_promotes_biologicalprocess': -1.5074, 'gene_negativelyassociatedwith_biologicalprocess': -1.1736, 'gene_positivelyassociatedwith_biologicalprocess': -1.005, 'gene_notassociatedwith_biologicalprocess': -1.169}"
MEP2,gene_biologicalprocess,GO:2000221,-2.7208216190338135,-0.0356325677219588,REJECT,ammonium permease MEP2,negative regulation of pseudohyphal growth,[],False,False,False,False,,,
MEP2,gene_positivelyassociatedwith_biologicalprocess,GO:2000221,-1.4888925552368164,-0.0730086550790463,REJECT,ammonium permease MEP2,negative regulation of pseudohyphal growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.1404, 'gene_promotes_biologicalprocess': -2.1209, 'gene_negativelyassociatedwith_biologicalprocess': -1.808, 'gene_positivelyassociatedwith_biologicalprocess': -1.4889, 'gene_notassociatedwith_biologicalprocess': -1.5566}"
MEP2,gene_biologicalprocess,GO:2000222,-2.6300480365753174,-0.0356325677219588,REJECT,ammonium permease MEP2,positive regulation of pseudohyphal growth,[],False,False,False,False,,,
MEP2,gene_positivelyassociatedwith_biologicalprocess,GO:2000222,-1.330143690109253,-0.0730086550790463,REJECT,ammonium permease MEP2,positive regulation of pseudohyphal growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.096, 'gene_promotes_biologicalprocess': -2.074, 'gene_negativelyassociatedwith_biologicalprocess': -1.5447, 'gene_positivelyassociatedwith_biologicalprocess': -1.3301, 'gene_notassociatedwith_biologicalprocess': -1.6597}"
MEP2,gene_cellularcomponent,GO:0016020,-2.121053695678711,-0.0358198597771757,REJECT,ammonium permease MEP2,membrane,[],False,False,False,False,,,
MEP2,gene_cellularcomponent,GO:0012506,-3.8922832012176514,-0.0358198597771757,REJECT,ammonium permease MEP2,vesicle membrane,[],False,False,False,False,,,
MEP2,gene_biologicalprocess,GO:0010286,-2.8492369651794434,-0.0356325677219588,REJECT,ammonium permease MEP2,heat acclimation,[],False,False,False,False,,,
