head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
SLC25A10,gene_protein,Q9UBX3,-0.015495884232223034,-0.0280984394514378,ACCEPT,solute carrier family 25 member 10,Mitochondrial dicarboxylate carrier {ECO:0000303|PubMed:10585886},['Gene_Protein'],False,True,True,False,Gene_Protein,,
SLC25A10,gene_chemicalentity,5957,-0.011165624484419823,-0.0285922419958417,ACCEPT,solute carrier family 25 member 10,ATP,[],False,False,False,False,,,
SLC25A10,gene_phenotype,WBPhenotype:0001893,-0.030370639637112617,-0.0347684314162952,ACCEPT,solute carrier family 25 member 10,mitochondrial membrane potential reduced,[],False,False,False,False,,,
SLC25A10,gene_phenotype,abnormal oxygen consumption,-0.01995684951543808,-0.0347684314162952,ACCEPT,solute carrier family 25 member 10,abnormal oxygen consumption,[],False,False,False,False,,,
SLC25A10,gene_phenotype,decreased oxygen consumption,-0.027701733633875847,-0.0347684314162952,ACCEPT,solute carrier family 25 member 10,decreased oxygen consumption,[],False,False,False,False,,,
SLC25A10,gene_phenotype,increased oxygen consumption,-0.021139061078429222,-0.0347684314162952,ACCEPT,solute carrier family 25 member 10,increased oxygen consumption,[],False,False,False,False,,,
SLC25A10,gene_phenotype,WBPhenotype:0002141,-0.020965691655874252,-0.0347684314162952,ACCEPT,solute carrier family 25 member 10,oxygen consumption variant,[],False,False,False,False,,,
SLC25A10,gene_phenotype,MP:0005288,-0.040416229516267776,-0.0347684314162952,REJECT,solute carrier family 25 member 10,abnormal oxygen consumption,[],False,False,False,False,,,
SLC25A10,gene_biologicalprocess,GO:0034605,-0.0026285129133611917,-0.0356325677219588,ACCEPT,solute carrier family 25 member 10,cellular response to heat,[],False,False,False,False,,,
SLC25A10,gene_promotes_biologicalprocess,GO:0034605,-0.06422033905982971,-0.0617563253450388,REJECT,solute carrier family 25 member 10,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0873, 'gene_promotes_biologicalprocess': -0.0642, 'gene_negativelyassociatedwith_biologicalprocess': -0.1687, 'gene_positivelyassociatedwith_biologicalprocess': -0.1214, 'gene_notassociatedwith_biologicalprocess': -0.1549}"
SLC25A10,gene_biologicalprocess,GO:1900034,-0.007648289203643799,-0.0356325677219588,ACCEPT,solute carrier family 25 member 10,regulation of cellular response to heat,[],False,False,False,False,,,
SLC25A10,gene_promotes_biologicalprocess,GO:1900034,-0.15867024660110474,-0.0617563253450388,REJECT,solute carrier family 25 member 10,regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2222, 'gene_promotes_biologicalprocess': -0.1587, 'gene_negativelyassociatedwith_biologicalprocess': -0.282, 'gene_positivelyassociatedwith_biologicalprocess': -0.1879, 'gene_notassociatedwith_biologicalprocess': -0.1868}"
SLC25A10,gene_biologicalprocess,GO:1900036,-0.02068447321653366,-0.0356325677219588,ACCEPT,solute carrier family 25 member 10,positive regulation of cellular response to heat,[],False,False,False,False,,,
SLC25A10,gene_promotes_biologicalprocess,GO:1900036,-0.25390374660491943,-0.0617563253450388,REJECT,solute carrier family 25 member 10,positive regulation of cellular response to heat,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2895, 'gene_promotes_biologicalprocess': -0.2539, 'gene_negativelyassociatedwith_biologicalprocess': -0.3413, 'gene_positivelyassociatedwith_biologicalprocess': -0.3198, 'gene_notassociatedwith_biologicalprocess': -0.3362}"
SLC25A10,gene_biologicalprocess,GO:1900035,-0.014326697215437889,-0.0356325677219588,ACCEPT,solute carrier family 25 member 10,negative regulation of cellular response to heat,[],False,False,False,False,,,
