head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CGAS,gene_gene,MB21D1,-0.22790929675102234,-0.071739344080056,REJECT,cyclic GMP-AMP synthase,cyclic GMP-AMP synthase,[],False,False,False,False,,,
CGAS,gene_protein,P0DUE1,-0.037856075912714005,-0.0280984394514378,REJECT,cyclic GMP-AMP synthase,Stimulator of interferon genes protein {ECO:0000305},[],False,False,False,False,,,
CGAS,gene_protein,A0A0B4LFY9,-0.03370093181729317,-0.0280984394514378,REJECT,cyclic GMP-AMP synthase,Stimulator of interferon genes protein homolog {ECO:0000305},[],False,False,False,False,,,
CGAS,gene_protein,A0A291NUI4,-0.04389160871505737,-0.0280984394514378,REJECT,cyclic GMP-AMP synthase,Stimulator of interferon genes protein {ECO:0000250|UniProtKB:Q86WV6},[],False,False,False,False,,,
CGAS,gene_protein,Q2KI99,-0.036152180284261703,-0.0280984394514378,REJECT,cyclic GMP-AMP synthase,Stimulator of interferon genes protein {ECO:0000250|UniProtKB:Q86WV6},[],False,False,False,False,,,
CGAS,gene_protein,Q2TAN5,-0.013653701171278954,-0.0280984394514378,ACCEPT,cyclic GMP-AMP synthase,Stimulator of interferon genes protein {ECO:0000256|ARBA:ARBA00018708},[],False,False,False,False,,,
CGAS,gene_biologicalprocess,GO:0160049,-0.13796819746494293,-0.0356325677219588,REJECT,cyclic GMP-AMP synthase,negative regulation of cGAS/STING signaling pathway,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
CGAS,gene_positivelyassociatedwith_biologicalprocess,GO:0160049,-0.5567431449890137,-0.0730086550790463,REJECT,cyclic GMP-AMP synthase,negative regulation of cGAS/STING signaling pathway,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.6882, 'gene_promotes_biologicalprocess': -0.7016, 'gene_negativelyassociatedwith_biologicalprocess': -0.6356, 'gene_positivelyassociatedwith_biologicalprocess': -0.5567, 'gene_notassociatedwith_biologicalprocess': -0.6512}"
CGAS,gene_biologicalprocess,GO:0141111,-0.016834931448101997,-0.0356325677219588,ACCEPT,cyclic GMP-AMP synthase,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
CGAS,gene_promotes_biologicalprocess,GO:0141111,-0.2038918435573578,-0.0617563253450388,REJECT,cyclic GMP-AMP synthase,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.261, 'gene_promotes_biologicalprocess': -0.2039, 'gene_negativelyassociatedwith_biologicalprocess': -0.3225, 'gene_positivelyassociatedwith_biologicalprocess': -0.2488, 'gene_notassociatedwith_biologicalprocess': -0.3078}"
