head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
439260,chemicalentity_chemicalentity,5813,-0.14890514314174652,-0.2425281074611494,ACCEPT,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol","4-(2-amino-1-hydroxyethyl)benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid",[],False,False,False,False,
439260,chemicalentity_protein,P37198,-0.006513935048133135,-0.3552259656009227,ACCEPT,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",Nuclear pore glycoprotein p62,[],False,False,False,False,
439260,chemicalentity_protein,D3VVE9,-0.7255083322525024,-0.3552259656009227,REJECT,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
439260,chemicalentity_protein,Q5STF9,-0.02587761916220188,-0.3552259656009227,ACCEPT,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",Ribonuclease P protein subunit p21,[],False,False,False,False,
5813,chemicalentity_protein,P37198,-1.958543300628662,-0.3552259656009227,REJECT,"4-(2-amino-1-hydroxyethyl)benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid",Nuclear pore glycoprotein p62,[],False,False,False,False,
5813,chemicalentity_protein,D3VVE9,-1.2960920333862305,-0.3552259656009227,REJECT,"4-(2-amino-1-hydroxyethyl)benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
5813,chemicalentity_protein,Q5STF9,-2.0726380348205566,-0.3552259656009227,REJECT,"4-(2-amino-1-hydroxyethyl)benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid",Ribonuclease P protein subunit p21,[],False,False,False,False,
P37198,protein_protein,D3VVE9,-0.3914874494075775,-0.2036837140803804,REJECT,Nuclear pore glycoprotein p62,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,
P37198,protein_protein,Q5STF9,-0.05930908024311066,-0.2036837140803804,ACCEPT,Nuclear pore glycoprotein p62,Ribonuclease P protein subunit p21,[],False,False,False,False,
P37198,protein_phenotype,ZP:0140680,-0.18142405152320862,-0.0497034494975703,REJECT,Nuclear pore glycoprotein p62,"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,
D3VVE9,protein_protein,Q5STF9,-3.9700655937194824,-0.2036837140803804,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},Ribonuclease P protein subunit p21,[],False,False,False,False,
D3VVE9,protein_phenotype,ZP:0140680,-0.7707992792129517,-0.0497034494975703,REJECT,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,
Q5STF9,protein_phenotype,ZP:0140680,-0.29052841663360596,-0.0497034494975703,REJECT,Ribonuclease P protein subunit p21,"stress-induced premature senescence increased occurrence, abnormal",[],False,False,False,False,
ZP:0140680,phenotype_chemicalentity,439260,-3.3554389476776123,-0.1369889979525682,REJECT,"stress-induced premature senescence increased occurrence, abnormal","4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",[],False,False,False,False,
ZP:0140680,phenotype_chemicalentity,5813,-1.65383780002594,-0.1369889979525682,REJECT,"stress-induced premature senescence increased occurrence, abnormal","4-(2-amino-1-hydroxyethyl)benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid",[],False,False,False,False,
