head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
439714,chemicalentity_chemicalentity,439713,-0.47508740425109863,-0.2425281074611494,REJECT,(S)-(+)-allantoin,(R)-(-)-allantoin,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
439714,chemicalentity_chemicalentity,204,-1.3258522748947144,-0.2425281074611494,REJECT,(S)-(+)-allantoin,allantoin,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
439714,chemicalentity_protein,Q5STF9,-0.1685899794101715,-0.3552259656009227,ACCEPT,(S)-(+)-allantoin,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
439714,chemicalentity_biologicalprocess,GO:0016477,-1.1709719896316528,-0.232143107153421,REJECT,(S)-(+)-allantoin,cell migration,[],False,False,False,False,,,
439714,chemicalentity_inhibits_biologicalprocess,GO:0016477,-0.7086294889450073,-0.7050372264239742,REJECT,(S)-(+)-allantoin,cell migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7355, 'chemicalentity_noeffect_biologicalprocess': -2.3801, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1553, 'chemicalentity_promotes_biologicalprocess': -1.0554, 'chemicalentity_inhibits_biologicalprocess': -0.7086, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8598}"
439714,chemicalentity_biologicalprocess,GO:0090130,-1.0361915826797485,-0.232143107153421,REJECT,(S)-(+)-allantoin,tissue migration,[],False,False,False,False,,,
439714,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090130,-0.8151987791061401,-0.596142909254255,REJECT,(S)-(+)-allantoin,tissue migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8152, 'chemicalentity_noeffect_biologicalprocess': -2.0624, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2879, 'chemicalentity_promotes_biologicalprocess': -0.9762, 'chemicalentity_inhibits_biologicalprocess': -0.9121, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0984}"
439713,chemicalentity_chemicalentity,204,-1.6701338291168213,-0.2425281074611494,REJECT,(R)-(-)-allantoin,allantoin,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
439713,chemicalentity_protein,Q5STF9,-0.8999649286270142,-0.3552259656009227,REJECT,(R)-(-)-allantoin,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
439713,chemicalentity_biologicalprocess,GO:0016477,-1.83774733543396,-0.232143107153421,REJECT,(R)-(-)-allantoin,cell migration,[],False,False,False,False,,,
439713,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0016477,-0.7457934617996216,-0.596142909254255,REJECT,(R)-(-)-allantoin,cell migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7458, 'chemicalentity_noeffect_biologicalprocess': -2.741, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4103, 'chemicalentity_promotes_biologicalprocess': -1.8156, 'chemicalentity_inhibits_biologicalprocess': -1.6044, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2172}"
439713,chemicalentity_biologicalprocess,GO:0090130,-1.6299359798431396,-0.232143107153421,REJECT,(R)-(-)-allantoin,tissue migration,[],False,False,False,False,,,
439713,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090130,-0.8903030157089233,-0.596142909254255,REJECT,(R)-(-)-allantoin,tissue migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8903, 'chemicalentity_noeffect_biologicalprocess': -2.463, 'chemicalentity_notassociatedwith_biologicalprocess': -1.4537, 'chemicalentity_promotes_biologicalprocess': -1.7192, 'chemicalentity_inhibits_biologicalprocess': -1.7505, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.2254}"
204,chemicalentity_protein,Q5STF9,-0.04697934910655022,-0.3552259656009227,ACCEPT,allantoin,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
204,chemicalentity_biologicalprocess,GO:0016477,-0.02682739682495594,-0.232143107153421,ACCEPT,allantoin,cell migration,[],False,False,False,False,,,
204,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0016477,-0.14656873047351837,-0.596142909254255,ACCEPT,allantoin,cell migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1466, 'chemicalentity_noeffect_biologicalprocess': -1.808, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3933, 'chemicalentity_promotes_biologicalprocess': -0.4655, 'chemicalentity_inhibits_biologicalprocess': -0.1741, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2755}"
204,chemicalentity_biologicalprocess,GO:0090130,-0.06338852643966675,-0.232143107153421,ACCEPT,allantoin,tissue migration,[],False,False,False,False,,,
204,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090130,-0.2500790059566498,-0.596142909254255,ACCEPT,allantoin,tissue migration,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2501, 'chemicalentity_noeffect_biologicalprocess': -1.5046, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6102, 'chemicalentity_promotes_biologicalprocess': -0.4459, 'chemicalentity_inhibits_biologicalprocess': -0.3191, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4657}"
WBPhenotype:0002183,phenotype_chemicalentity,439714,-1.7336570024490356,-0.1369889979525682,REJECT,oxidative DNA damage variant,(S)-(+)-allantoin,[],False,False,False,False,,,
WBPhenotype:0002183,phenotype_chemicalentity,439713,-1.75734281539917,-0.1369889979525682,REJECT,oxidative DNA damage variant,(R)-(-)-allantoin,[],False,False,False,False,,,
WBPhenotype:0002183,phenotype_chemicalentity,204,-3.29775333404541,-0.1369889979525682,REJECT,oxidative DNA damage variant,allantoin,[],False,False,False,False,,,
WBPhenotype:0002183,phenotype_protein,Q5STF9,-1.928242564201355,-0.3155417705896823,REJECT,oxidative DNA damage variant,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
WBPhenotype:0002183,phenotype_biologicalprocess,GO:0016477,-0.44296741485595703,-0.607891854730636,ACCEPT,oxidative DNA damage variant,cell migration,[],False,False,False,False,,,
WBPhenotype:0002183,phenotype_biologicalprocess,GO:0090130,-0.5806238651275635,-0.607891854730636,ACCEPT,oxidative DNA damage variant,tissue migration,[],False,False,False,False,,,
Q5STF9,protein_biologicalprocess,GO:0016477,-0.009717101231217384,-0.5776643345681309,ACCEPT,Ribonuclease P protein subunit p21,cell migration,[],False,False,False,False,,,
Q5STF9,protein_biologicalprocess,GO:0090130,-0.017992543056607246,-0.5776643345681309,ACCEPT,Ribonuclease P protein subunit p21,tissue migration,[],False,False,False,False,,,
GO:0016477,biologicalprocess_biologicalprocess,GO:0090130,-0.0004811786348000169,-0.0422867482620858,ACCEPT,cell migration,tissue migration,[],False,False,False,False,,,
