head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
DB00127,chemicalentity_chemicalentity,446718,-0.7575734257698059,-0.2425281074611494,REJECT,Spermine,spermine(4+),[],False,False,False,False,,,
DB00127,chemicalentity_biologicalprocess,GO:0010150,-1.1135228872299194,-0.232143107153421,REJECT,Spermine,leaf senescence,[],False,False,False,False,,,
DB00127,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-1.009002685546875,-0.596142909254255,REJECT,Spermine,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.009, 'chemicalentity_noeffect_biologicalprocess': -2.7161, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2377, 'chemicalentity_promotes_biologicalprocess': -2.0415, 'chemicalentity_inhibits_biologicalprocess': -1.784, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0218}"
DB00127,chemicalentity_biologicalprocess,GO:0090398,-0.5930439233779907,-0.232143107153421,REJECT,Spermine,cellular senescence,[],False,False,False,False,,,
DB00127,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.2772197425365448,-0.7050372264239742,ACCEPT,Spermine,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5432, 'chemicalentity_noeffect_biologicalprocess': -1.3803, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5838, 'chemicalentity_promotes_biologicalprocess': -0.6902, 'chemicalentity_inhibits_biologicalprocess': -0.2772, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4785}"
DB00127,chemicalentity_protein,D3VVE9,-1.1101115942001343,-0.3552259656009227,REJECT,Spermine,Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
DB00127,chemicalentity_protein,Q5STF9,-0.807031512260437,-0.3552259656009227,REJECT,Spermine,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
446718,chemicalentity_biologicalprocess,GO:0010150,-0.7237300872802734,-0.232143107153421,REJECT,spermine(4+),leaf senescence,[],False,False,False,False,,,
446718,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.4524424970149994,-0.596142909254255,ACCEPT,spermine(4+),leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4524, 'chemicalentity_noeffect_biologicalprocess': -2.4087, 'chemicalentity_notassociatedwith_biologicalprocess': -0.998, 'chemicalentity_promotes_biologicalprocess': -1.7231, 'chemicalentity_inhibits_biologicalprocess': -1.3951, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8571}"
446718,chemicalentity_biologicalprocess,GO:0090398,-0.37780144810676575,-0.232143107153421,REJECT,spermine(4+),cellular senescence,[],False,False,False,False,,,
446718,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.1758560985326767,-0.7050372264239742,ACCEPT,spermine(4+),cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.208, 'chemicalentity_noeffect_biologicalprocess': -1.1309, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4526, 'chemicalentity_promotes_biologicalprocess': -0.4711, 'chemicalentity_inhibits_biologicalprocess': -0.1759, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4276}"
446718,chemicalentity_protein,D3VVE9,-1.0321321487426758,-0.3552259656009227,REJECT,spermine(4+),Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
446718,chemicalentity_protein,Q5STF9,-0.7248365879058838,-0.3552259656009227,REJECT,spermine(4+),Ribonuclease P protein subunit p21,[],False,False,False,False,,,
oxidative stress,phenotype_chemicalentity,DB00127,-1.9253227710723877,-0.1369889979525682,REJECT,oxidative stress,Spermine,[],False,False,False,False,,,
oxidative stress,phenotype_chemicalentity,446718,-1.9791598320007324,-0.1369889979525682,REJECT,oxidative stress,spermine(4+),[],False,False,False,False,,,
oxidative stress,phenotype_phenotype,MP:0003674,-1.8159408569335938,-0.150242852206178,REJECT,oxidative stress,oxidative stress,[],False,False,False,False,,,
