head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
O14261,protein_chemicalentity,171365644,-0.8502438068389893,-0.1571110372511136,REJECT,Taz1-interacting factor 1,"[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate",[],False,False,False,False,,,
O14261,protein_chemicalentity,75228679,-0.6825370788574219,-0.1571110372511136,REJECT,Taz1-interacting factor 1,"disodium;[3-[2,3-di(octadeca-9,12-dienoyloxy)propoxy-oxidophosphoryl]oxy-2-hydroxypropyl] 2,3-di(octadeca-9,12-dienoyloxy)propyl phosphate",[],False,False,False,False,,,
O14261,protein_chemicalentity,449005,-1.1366350650787354,-0.1571110372511136,REJECT,Taz1-interacting factor 1,"[(2R)-3-[[3-[[(2R)-2,3-di(octadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-octadecanoyloxypropyl] octadecanoate",[],False,False,False,False,,,
O14261,protein_chemicalentity,46931152,-0.8383660912513733,-0.1571110372511136,REJECT,Taz1-interacting factor 1,"[(2R)-3-[[3-[[(2R)-2,3-bis[[(Z)-octadec-9-enoyl]oxy]propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (Z)-octadec-9-enoate",[],False,False,False,False,,,
O14261,protein_chemicalentity,49859692,-0.8545276522636414,-0.1571110372511136,REJECT,Taz1-interacting factor 1,"[(2R)-3-[[3-[[(2R)-2,3-di(hexadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-hexadecanoyloxypropyl] hexadecanoate",[],False,False,False,False,,,
O14261,protein_biologicalprocess,GO:0034368,-0.44285115599632263,-0.5776643345681309,ACCEPT,Taz1-interacting factor 1,protein-lipid complex remodeling,[],False,False,False,False,,,
O14261,protein_phenotype,WBPhenotype:0001090,-1.395439863204956,-0.0497034494975703,REJECT,Taz1-interacting factor 1,thermotolerance reduced,[],False,False,False,False,,,
O14261,protein_phenotype,WBPhenotype:0000295,-1.155673623085022,-0.0497034494975703,REJECT,Taz1-interacting factor 1,thermotolerance increased,[],False,False,False,False,,,
O14261,protein_phenotype,WBPhenotype:0002138,-0.8996293544769287,-0.0497034494975703,REJECT,Taz1-interacting factor 1,acquired thermotolerance variant,[],False,False,False,False,,,
O14261,protein_phenotype,innate thermotolerance: decreased,-1.1357214450836182,-0.0497034494975703,REJECT,Taz1-interacting factor 1,"homozygous diploid, systematic mutation set_innate thermotolerance: decreased",[],False,False,False,False,,,
TAFAZZIN,gene_protein,O14261,-0.02969158999621868,-0.0280984394514378,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase",Taz1-interacting factor 1,[],False,False,False,False,,,
TAFAZZIN,gene_chemicalentity,171365644,-0.07242309302091599,-0.0285922419958417,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase","[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate",[],False,False,False,False,,,
TAFAZZIN,gene_chemicalentity,75228679,-0.08559605479240417,-0.0285922419958417,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase","disodium;[3-[2,3-di(octadeca-9,12-dienoyloxy)propoxy-oxidophosphoryl]oxy-2-hydroxypropyl] 2,3-di(octadeca-9,12-dienoyloxy)propyl phosphate",[],False,False,False,False,,,
TAFAZZIN,gene_chemicalentity,449005,-0.017354769632220268,-0.0285922419958417,ACCEPT,"tafazzin, phospholipid-lysophospholipid transacylase","[(2R)-3-[[3-[[(2R)-2,3-di(octadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-octadecanoyloxypropyl] octadecanoate",['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
TAFAZZIN,gene_chemicalentity,46931152,-0.02957712672650814,-0.0285922419958417,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase","[(2R)-3-[[3-[[(2R)-2,3-bis[[(Z)-octadec-9-enoyl]oxy]propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (Z)-octadec-9-enoate",[],False,False,False,False,,,
TAFAZZIN,gene_chemicalentity,49859692,-0.04468569532036781,-0.0285922419958417,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase","[(2R)-3-[[3-[[(2R)-2,3-di(hexadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-hexadecanoyloxypropyl] hexadecanoate",[],False,False,False,False,,,
TAFAZZIN,gene_biologicalprocess,GO:0034368,-0.020711110904812813,-0.0356325677219588,ACCEPT,"tafazzin, phospholipid-lysophospholipid transacylase",protein-lipid complex remodeling,[],False,False,False,False,,,
TAFAZZIN,gene_inhibits_biologicalprocess,GO:0034368,-0.2610178291797638,-0.0559618705714699,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase",protein-lipid complex remodeling,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.261, 'gene_promotes_biologicalprocess': -0.3164, 'gene_negativelyassociatedwith_biologicalprocess': -0.3296, 'gene_positivelyassociatedwith_biologicalprocess': -0.2888, 'gene_notassociatedwith_biologicalprocess': -0.3926}"
TAFAZZIN,gene_phenotype,WBPhenotype:0001090,-0.008267037570476532,-0.0347684314162952,ACCEPT,"tafazzin, phospholipid-lysophospholipid transacylase",thermotolerance reduced,[],False,False,False,False,,,
TAFAZZIN,gene_phenotype,WBPhenotype:0000295,-0.01678132265806198,-0.0347684314162952,ACCEPT,"tafazzin, phospholipid-lysophospholipid transacylase",thermotolerance increased,[],False,False,False,False,,,
TAFAZZIN,gene_phenotype,WBPhenotype:0002138,-0.018252182751893997,-0.0347684314162952,ACCEPT,"tafazzin, phospholipid-lysophospholipid transacylase",acquired thermotolerance variant,[],False,False,False,False,,,
TAFAZZIN,gene_phenotype,innate thermotolerance: decreased,-0.039556991308927536,-0.0347684314162952,REJECT,"tafazzin, phospholipid-lysophospholipid transacylase","homozygous diploid, systematic mutation set_innate thermotolerance: decreased",[],False,False,False,False,,,
171365644,chemicalentity_chemicalentity,75228679,-0.3859627842903137,-0.2425281074611494,REJECT,"[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate","disodium;[3-[2,3-di(octadeca-9,12-dienoyloxy)propoxy-oxidophosphoryl]oxy-2-hydroxypropyl] 2,3-di(octadeca-9,12-dienoyloxy)propyl phosphate",[],False,False,False,False,,,
171365644,chemicalentity_chemicalentity,449005,-0.3767249286174774,-0.2425281074611494,REJECT,"[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate","[(2R)-3-[[3-[[(2R)-2,3-di(octadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-octadecanoyloxypropyl] octadecanoate",[],False,False,False,False,,,
171365644,chemicalentity_chemicalentity,46931152,-0.34254902601242065,-0.2425281074611494,REJECT,"[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate","[(2R)-3-[[3-[[(2R)-2,3-bis[[(Z)-octadec-9-enoyl]oxy]propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (Z)-octadec-9-enoate",[],False,False,False,False,,,
171365644,chemicalentity_chemicalentity,49859692,-0.4195919930934906,-0.2425281074611494,REJECT,"[(2R)-3-[hydroxy-[2-hydroxy-3-[hydroxy-[(2S)-2-[(9E,12E)-octadeca-9,12-dienoyl]oxy-3-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropoxy]phosphoryl]oxypropoxy]phosphoryl]oxy-2-[(9E,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-octadeca-9,12-dienoate","[(2R)-3-[[3-[[(2R)-2,3-di(hexadecanoyloxy)propoxy]-hydroxyphosphoryl]oxy-2-hydroxypropoxy]-hydroxyphosphoryl]oxy-2-hexadecanoyloxypropyl] hexadecanoate",[],False,False,False,False,,,
