head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
FAT1,gene_protein,Q32LY1,-0.08368142694234848,-0.0280984394514378,REJECT,FAT atypical cadherin 1,Alternative protein FAT1 {ECO:0000313|EMBL:CCQ43310.1},[],False,False,False,False,,,
FAT1,gene_biologicalprocess,GO:0040007,-0.0160103440284729,-0.0356325677219588,ACCEPT,FAT atypical cadherin 1,growth,[],False,False,False,False,,,
FAT1,gene_promotes_biologicalprocess,GO:0040007,-0.16677089035511017,-0.0617563253450388,REJECT,FAT atypical cadherin 1,growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1678, 'gene_promotes_biologicalprocess': -0.1668, 'gene_negativelyassociatedwith_biologicalprocess': -0.3241, 'gene_positivelyassociatedwith_biologicalprocess': -0.2825, 'gene_notassociatedwith_biologicalprocess': -0.341}"
FAT1,gene_biologicalprocess,GO:0016049,-0.01672690361738205,-0.0356325677219588,ACCEPT,FAT atypical cadherin 1,cell growth,[],False,False,False,False,,,
FAT1,gene_promotes_biologicalprocess,GO:0016049,-0.19313418865203857,-0.0617563253450388,REJECT,FAT atypical cadherin 1,cell growth,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2254, 'gene_promotes_biologicalprocess': -0.1931, 'gene_negativelyassociatedwith_biologicalprocess': -0.3121, 'gene_positivelyassociatedwith_biologicalprocess': -0.236, 'gene_notassociatedwith_biologicalprocess': -0.2297}"
FAT1,gene_biologicalprocess,GO:0072344,-0.012850097380578518,-0.0356325677219588,ACCEPT,FAT atypical cadherin 1,rescue of stalled ribosome,[],False,False,False,False,,,
FAT1,gene_positivelyassociatedwith_biologicalprocess,GO:0072344,-0.15927837789058685,-0.0730086550790463,REJECT,FAT atypical cadherin 1,rescue of stalled ribosome,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1733, 'gene_promotes_biologicalprocess': -0.1632, 'gene_negativelyassociatedwith_biologicalprocess': -0.1783, 'gene_positivelyassociatedwith_biologicalprocess': -0.1593, 'gene_notassociatedwith_biologicalprocess': -0.2513}"
FAT1,gene_biologicalprocess,GO:0140455,-0.06548050045967102,-0.0356325677219588,REJECT,FAT atypical cadherin 1,cytoplasm protein quality control,[],False,False,False,False,,,
FAT1,gene_notassociatedwith_biologicalprocess,GO:0140455,-0.5007558465003967,-0.1941926147433079,REJECT,FAT atypical cadherin 1,cytoplasm protein quality control,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5475, 'gene_promotes_biologicalprocess': -0.5612, 'gene_negativelyassociatedwith_biologicalprocess': -0.5064, 'gene_positivelyassociatedwith_biologicalprocess': -0.5259, 'gene_notassociatedwith_biologicalprocess': -0.5008}"
Q32LY1,protein_biologicalprocess,GO:0040007,-1.723897933959961,-0.5776643345681309,REJECT,Alternative protein FAT1 {ECO:0000313|EMBL:CCQ43310.1},growth,[],False,False,False,False,,,
Q32LY1,protein_biologicalprocess,GO:0016049,-2.1639657020568848,-0.5776643345681309,REJECT,Alternative protein FAT1 {ECO:0000313|EMBL:CCQ43310.1},cell growth,[],False,False,False,False,,,
Q32LY1,protein_biologicalprocess,GO:0072344,-2.700495481491089,-0.5776643345681309,REJECT,Alternative protein FAT1 {ECO:0000313|EMBL:CCQ43310.1},rescue of stalled ribosome,[],False,False,False,False,,,
Q32LY1,protein_biologicalprocess,GO:0140455,-2.839550495147705,-0.5776643345681309,REJECT,Alternative protein FAT1 {ECO:0000313|EMBL:CCQ43310.1},cytoplasm protein quality control,[],False,False,False,False,,,
GO:0040007,biologicalprocess_biologicalprocess,GO:0016049,-0.004773678723722696,-0.0422867482620858,ACCEPT,growth,cell growth,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0040007,biologicalprocess_biologicalprocess,GO:0072344,-0.008036083541810513,-0.0422867482620858,ACCEPT,growth,rescue of stalled ribosome,[],False,False,False,False,,,
GO:0040007,biologicalprocess_biologicalprocess,GO:0140455,-0.021344536915421486,-0.0422867482620858,ACCEPT,growth,cytoplasm protein quality control,[],False,False,False,False,,,
GO:0016049,biologicalprocess_biologicalprocess,GO:0072344,-0.02571149170398712,-0.0422867482620858,ACCEPT,cell growth,rescue of stalled ribosome,[],False,False,False,False,,,
GO:0016049,biologicalprocess_biologicalprocess,GO:0140455,-0.04190615564584732,-0.0422867482620858,ACCEPT,cell growth,cytoplasm protein quality control,[],False,False,False,False,,,
GO:0072344,biologicalprocess_biologicalprocess,GO:0140455,-0.01931913197040558,-0.0422867482620858,ACCEPT,rescue of stalled ribosome,cytoplasm protein quality control,[],False,False,False,False,,,
