head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
445638,chemicalentity_chemicalentity,46235676,-0.08318816870450974,-0.2425281074611494,ACCEPT,(Z)-hexadec-9-enoic acid,(Z)-2-hydroxyhexadec-9-enoic acid,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
445638,chemicalentity_chemicalentity,9543989,-0.03943907469511032,-0.2425281074611494,ACCEPT,(Z)-hexadec-9-enoic acid,"2,3-bis[[(Z)-hexadec-9-enoyl]oxy]propyl (Z)-hexadec-9-enoate",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
445638,chemicalentity_chemicalentity,5282746,-0.10148213058710098,-0.2425281074611494,ACCEPT,(Z)-hexadec-9-enoic acid,(Z)-hexadec-10-enoic acid,[],False,False,False,False,,,
445638,chemicalentity_chemicalentity,4668,-0.025885773822665215,-0.2425281074611494,ACCEPT,(Z)-hexadec-9-enoic acid,hexadec-9-enoic acid,[],False,False,False,False,,,
445638,chemicalentity_biologicalprocess,GO:0034440,-0.012581514194607735,-0.232143107153421,ACCEPT,(Z)-hexadec-9-enoic acid,lipid oxidation,[],False,False,False,False,,,
445638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034440,-0.10291483253240585,-0.596142909254255,ACCEPT,(Z)-hexadec-9-enoic acid,lipid oxidation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1029, 'chemicalentity_noeffect_biologicalprocess': -1.7689, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2301, 'chemicalentity_promotes_biologicalprocess': -0.3527, 'chemicalentity_inhibits_biologicalprocess': -0.166, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2216}"
445638,chemicalentity_gene,P16,-0.6926990747451782,-0.2458965898096785,REJECT,(Z)-hexadec-9-enoic acid,cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
445638,chemicalentity_gene,P21,-0.6304446458816528,-0.2458965898096785,REJECT,(Z)-hexadec-9-enoic acid,neuronal vesicle trafficking associated 1,[],False,False,False,False,,,
445638,chemicalentity_gene,p16,-0.5814313888549805,-0.2458965898096785,REJECT,(Z)-hexadec-9-enoic acid,H3 histone pseudogene 10,[],False,False,False,False,,,
445638,chemicalentity_gene,p21,-0.3540229797363281,-0.2458965898096785,REJECT,(Z)-hexadec-9-enoic acid,H3 histone pseudogene 16,[],False,False,False,False,,,
