head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
65281,chemicalentity_gene,TBK1,-0.009220973588526249,-0.2458965898096785,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",TANK binding kinase 1,[],False,False,False,False,,,
65281,chemicalentity_protein,Q6DFJ6,-0.3176702857017517,-0.3552259656009227,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
65281,chemicalentity_biologicalprocess,GO:0090398,-0.10268061608076096,-0.232143107153421,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",cellular senescence,[],False,False,False,False,,,
65281,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.014153735712170601,-0.7050372264239742,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.133, 'chemicalentity_noeffect_biologicalprocess': -0.5819, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1792, 'chemicalentity_promotes_biologicalprocess': -0.0885, 'chemicalentity_inhibits_biologicalprocess': -0.0142, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2506}"
65281,chemicalentity_biologicalprocess,GO:2000772,-0.2631182372570038,-0.232143107153421,REJECT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",regulation of cellular senescence,[],False,False,False,False,,,
65281,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:2000772,-0.3787767291069031,-0.596142909254255,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3788, 'chemicalentity_noeffect_biologicalprocess': -1.6687, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7444, 'chemicalentity_promotes_biologicalprocess': -0.5648, 'chemicalentity_inhibits_biologicalprocess': -0.3804, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.8709}"
65281,chemicalentity_biologicalprocess,GO:2000774,-0.1959255188703537,-0.232143107153421,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",positive regulation of cellular senescence,[],False,False,False,False,,,
65281,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:2000774,-0.2575511336326599,-0.596142909254255,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",positive regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2576, 'chemicalentity_noeffect_biologicalprocess': -1.7635, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6119, 'chemicalentity_promotes_biologicalprocess': -0.5258, 'chemicalentity_inhibits_biologicalprocess': -0.3651, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.609}"
65281,chemicalentity_biologicalprocess,GO:2000773,-0.21795548498630524,-0.232143107153421,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",negative regulation of cellular senescence,[],False,False,False,False,,,
65281,chemicalentity_inhibits_biologicalprocess,GO:2000773,-0.3805578947067261,-0.7050372264239742,ACCEPT,"4-[[2-[[2-(1-amino-2-methylbutyl)-4,5-dihydro-1,3-thiazole-4-carbonyl]amino]-4-methylpentanoyl]amino]-5-[[1-[[3-(2-amino-2-oxoethyl)-18-(3-aminopropyl)-12-benzyl-15-butan-2-yl-6-(carboxymethyl)-9-(1H-imidazol-5-ylmethyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptazacyclopentacos-21-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-5-oxopentanoic acid",negative regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3819, 'chemicalentity_noeffect_biologicalprocess': -1.2596, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7118, 'chemicalentity_promotes_biologicalprocess': -0.6565, 'chemicalentity_inhibits_biologicalprocess': -0.3806, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7368}"
