head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
439531,chemicalentity_chemicalentity,Fatty Acids,-0.2712618410587311,-0.2425281074611494,REJECT,stachyose,Fatty Acids,[],False,False,False,False,,,
439531,chemicalentity_biologicalprocess,GO:0007249,-0.37005409598350525,-0.232143107153421,REJECT,stachyose,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
439531,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007249,-0.3734494745731354,-0.596142909254255,ACCEPT,stachyose,canonical NF-kappaB signal transduction,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3734, 'chemicalentity_noeffect_biologicalprocess': -2.0445, 'chemicalentity_notassociatedwith_biologicalprocess': -0.881, 'chemicalentity_promotes_biologicalprocess': -0.9887, 'chemicalentity_inhibits_biologicalprocess': -0.6281, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5368}"
Fatty Acids,chemicalentity_biologicalprocess,GO:0007249,-1.7789949178695679,-0.232143107153421,REJECT,Fatty Acids,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
Fatty Acids,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0007249,-1.0622025728225708,-0.596142909254255,REJECT,Fatty Acids,canonical NF-kappaB signal transduction,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0622, 'chemicalentity_noeffect_biologicalprocess': -3.3768, 'chemicalentity_notassociatedwith_biologicalprocess': -1.6697, 'chemicalentity_promotes_biologicalprocess': -2.4192, 'chemicalentity_inhibits_biologicalprocess': -2.0324, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.5064}"
impaired skin barrier function,phenotype_chemicalentity,439531,-0.3679182827472687,-0.1369889979525682,REJECT,impaired skin barrier function,stachyose,[],False,False,False,False,,,
impaired skin barrier function,phenotype_chemicalentity,Fatty Acids,-1.2990965843200684,-0.1369889979525682,REJECT,impaired skin barrier function,Fatty Acids,[],False,False,False,False,,,
impaired skin barrier function,phenotype_phenotype,MP:0002796,-0.11226678639650345,-0.150242852206178,ACCEPT,impaired skin barrier function,impaired skin barrier function,[],False,False,False,False,,,
impaired skin barrier function,phenotype_phenotype,abnormal blood-brain barrier function,-0.09551653265953064,-0.150242852206178,ACCEPT,impaired skin barrier function,abnormal blood-brain barrier function,[],False,False,False,False,,,
impaired skin barrier function,phenotype_phenotype,enhanced blood-brain barrier function,-0.16292999684810638,-0.150242852206178,REJECT,impaired skin barrier function,enhanced blood-brain barrier function,[],False,False,False,False,,,
impaired skin barrier function,phenotype_phenotype,impaired blood-brain barrier function,-0.16859687864780426,-0.150242852206178,REJECT,impaired skin barrier function,impaired blood-brain barrier function,[],False,False,False,False,,,
impaired skin barrier function,phenotype_biologicalprocess,GO:0007249,-0.03379247337579727,-0.607891854730636,ACCEPT,impaired skin barrier function,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
MP:0002796,phenotype_chemicalentity,439531,-2.3602399826049805,-0.1369889979525682,REJECT,impaired skin barrier function,stachyose,[],False,False,False,False,,,
MP:0002796,phenotype_chemicalentity,Fatty Acids,-2.888645887374878,-0.1369889979525682,REJECT,impaired skin barrier function,Fatty Acids,[],False,False,False,False,,,
MP:0002796,phenotype_phenotype,abnormal blood-brain barrier function,-1.9605553150177002,-0.150242852206178,REJECT,impaired skin barrier function,abnormal blood-brain barrier function,[],False,False,False,False,,,
MP:0002796,phenotype_phenotype,enhanced blood-brain barrier function,-1.0823464393615723,-0.150242852206178,REJECT,impaired skin barrier function,enhanced blood-brain barrier function,[],False,False,False,False,,,
MP:0002796,phenotype_phenotype,impaired blood-brain barrier function,-2.9674787521362305,-0.150242852206178,REJECT,impaired skin barrier function,impaired blood-brain barrier function,[],False,False,False,False,,,
MP:0002796,phenotype_biologicalprocess,GO:0007249,-0.6716840863227844,-0.607891854730636,REJECT,impaired skin barrier function,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
abnormal blood-brain barrier function,phenotype_chemicalentity,439531,-1.739084243774414,-0.1369889979525682,REJECT,abnormal blood-brain barrier function,stachyose,[],False,False,False,False,,,
abnormal blood-brain barrier function,phenotype_chemicalentity,Fatty Acids,-2.6106865406036377,-0.1369889979525682,REJECT,abnormal blood-brain barrier function,Fatty Acids,[],False,False,False,False,,,
abnormal blood-brain barrier function,phenotype_phenotype,enhanced blood-brain barrier function,-0.7909237146377563,-0.150242852206178,REJECT,abnormal blood-brain barrier function,enhanced blood-brain barrier function,[],False,False,False,False,,,
abnormal blood-brain barrier function,phenotype_phenotype,impaired blood-brain barrier function,-2.0965206623077393,-0.150242852206178,REJECT,abnormal blood-brain barrier function,impaired blood-brain barrier function,[],False,False,False,False,,,
abnormal blood-brain barrier function,phenotype_biologicalprocess,GO:0007249,-0.2998124063014984,-0.607891854730636,ACCEPT,abnormal blood-brain barrier function,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
