head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
461,chemicalentity_chemicalentity,16902,-0.13251526653766632,-0.2425281074611494,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,[],False,False,False,False,,,
461,chemicalentity_chemicalentity,363417,-0.16945014894008636,-0.2425281074611494,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,(3-carboxy-2-hexadecanoyloxypropyl)-trimethylazanium;chloride,[],False,False,False,False,,,
461,chemicalentity_chemicalentity,167759,-0.16863013803958893,-0.2425281074611494,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,[(2R)-3-carboxy-2-hexadecanoyloxypropyl]-trimethylazanium;chloride,[],False,False,False,False,,,
461,chemicalentity_chemicalentity,11953816,-0.20397020876407623,-0.2425281074611494,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,(3R)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
461,chemicalentity_biologicalprocess,GO:0034440,-0.11928097158670425,-0.232143107153421,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,lipid oxidation,[],False,False,False,False,,,
461,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034440,-0.283658891916275,-0.596142909254255,ACCEPT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,lipid oxidation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2837, 'chemicalentity_noeffect_biologicalprocess': -2.0715, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5048, 'chemicalentity_promotes_biologicalprocess': -1.015, 'chemicalentity_inhibits_biologicalprocess': -0.546, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4106}"
461,chemicalentity_gene,P16,-0.916536271572113,-0.2458965898096785,REJECT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
461,chemicalentity_gene,P21,-0.8198004364967346,-0.2458965898096785,REJECT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,neuronal vesicle trafficking associated 1,[],False,False,False,False,,,
461,chemicalentity_gene,p16,-0.7906762957572937,-0.2458965898096785,REJECT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,H3 histone pseudogene 10,[],False,False,False,False,,,
461,chemicalentity_gene,p21,-0.577118992805481,-0.2458965898096785,REJECT,3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,H3 histone pseudogene 16,[],False,False,False,False,,,
16902,chemicalentity_chemicalentity,363417,-0.5724799036979675,-0.2425281074611494,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,(3-carboxy-2-hexadecanoyloxypropyl)-trimethylazanium;chloride,[],False,False,False,False,,,
16902,chemicalentity_chemicalentity,167759,-1.5081729888916016,-0.2425281074611494,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,[(2R)-3-carboxy-2-hexadecanoyloxypropyl]-trimethylazanium;chloride,[],False,False,False,False,,,
16902,chemicalentity_chemicalentity,11953816,-1.43798828125,-0.2425281074611494,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,(3R)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,[],False,False,False,False,,,
16902,chemicalentity_biologicalprocess,GO:0034440,-1.31198251247406,-0.232143107153421,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,lipid oxidation,[],False,False,False,False,,,
16902,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034440,-0.7967962026596069,-0.596142909254255,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,lipid oxidation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7968, 'chemicalentity_noeffect_biologicalprocess': -2.4193, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2908, 'chemicalentity_promotes_biologicalprocess': -1.5409, 'chemicalentity_inhibits_biologicalprocess': -1.2731, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0796}"
16902,chemicalentity_gene,P16,-1.1520898342132568,-0.2458965898096785,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,cyclin dependent kinase inhibitor 2A,[],False,False,False,False,,,
16902,chemicalentity_gene,P21,-1.0367835760116577,-0.2458965898096785,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,neuronal vesicle trafficking associated 1,[],False,False,False,False,,,
16902,chemicalentity_gene,p16,-1.0482428073883057,-0.2458965898096785,REJECT,(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,H3 histone pseudogene 10,[],False,False,False,False,,,
