head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YIL010W,gene_protein,P40553,-0.21141307055950165,-0.0280984394514378,REJECT,thioredoxin peroxidase DOT5,Peroxiredoxin DOT5 {ECO:0000305},[],False,False,False,False,,,
YIL010W,gene_chemicalentity,5359597,-0.2364673912525177,-0.0285922419958417,REJECT,thioredoxin peroxidase DOT5,superoxide,[],False,False,False,False,,,
YIL010W,gene_chemicalentity,5460556,-0.19107583165168762,-0.0285922419958417,REJECT,thioredoxin peroxidase DOT5,,[],False,False,False,False,,,
YIL010W,gene_chemicalentity,9548897,-0.20103417336940765,-0.0285922419958417,REJECT,thioredoxin peroxidase DOT5,,[],False,False,False,False,,,
YIL010W,gene_chemicalentity,5460593,-0.1584959775209427,-0.0285922419958417,REJECT,thioredoxin peroxidase DOT5,,[],False,False,False,False,,,
YIL010W,gene_biologicalprocess,GO:0010286,-0.10021661221981049,-0.0356325677219588,REJECT,thioredoxin peroxidase DOT5,heat acclimation,[],False,False,False,False,,,
YIL010W,gene_positivelyassociatedwith_biologicalprocess,GO:0010286,-0.43405264616012573,-0.0730086550790463,REJECT,thioredoxin peroxidase DOT5,heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6435, 'gene_promotes_biologicalprocess': -0.6252, 'gene_negativelyassociatedwith_biologicalprocess': -0.6228, 'gene_positivelyassociatedwith_biologicalprocess': -0.4341, 'gene_notassociatedwith_biologicalprocess': -0.5693}"
YIL010W,gene_biologicalprocess,GO:0070370,-0.08477144688367844,-0.0356325677219588,REJECT,thioredoxin peroxidase DOT5,cellular heat acclimation,[],False,False,False,False,,,
YIL010W,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-0.459219366312027,-0.0730086550790463,REJECT,thioredoxin peroxidase DOT5,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5657, 'gene_promotes_biologicalprocess': -0.5267, 'gene_negativelyassociatedwith_biologicalprocess': -0.6129, 'gene_positivelyassociatedwith_biologicalprocess': -0.4592, 'gene_notassociatedwith_biologicalprocess': -0.4929}"
P40553,protein_chemicalentity,5359597,-1.1397331953048706,-0.1571110372511136,REJECT,Peroxiredoxin DOT5 {ECO:0000305},superoxide,[],False,False,False,False,,,
P40553,protein_chemicalentity,5460556,-0.8913766145706177,-0.1571110372511136,REJECT,Peroxiredoxin DOT5 {ECO:0000305},,[],False,False,False,False,,,
P40553,protein_chemicalentity,9548897,-0.8094054460525513,-0.1571110372511136,REJECT,Peroxiredoxin DOT5 {ECO:0000305},,[],False,False,False,False,,,
P40553,protein_chemicalentity,5460593,-1.0130953788757324,-0.1571110372511136,REJECT,Peroxiredoxin DOT5 {ECO:0000305},,[],False,False,False,False,,,
P40553,protein_biologicalprocess,GO:0010286,-0.289821058511734,-0.5776643345681309,ACCEPT,Peroxiredoxin DOT5 {ECO:0000305},heat acclimation,[],False,False,False,False,,,
P40553,protein_biologicalprocess,GO:0070370,-0.3397906720638275,-0.5776643345681309,ACCEPT,Peroxiredoxin DOT5 {ECO:0000305},cellular heat acclimation,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,5460556,-0.14922206103801727,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,9548897,-0.17042967677116394,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_chemicalentity,5460593,-0.18592609465122223,-0.2425281074611494,ACCEPT,superoxide,,[],False,False,False,False,,,
5359597,chemicalentity_biologicalprocess,GO:0010286,-0.15089619159698486,-0.232143107153421,ACCEPT,superoxide,heat acclimation,[],False,False,False,False,,,
