head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
899,chemicalentity_chemicalentity,25245190,-0.1969214528799057,-0.2425281074611494,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",UDP-N-acetyl-alpha-D-mannosamine(2-),[],False,False,False,False,,,
899,chemicalentity_chemicalentity,906,-0.2218489795923233,-0.2425281074611494,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","5-acetamido-2,4-dihydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",[],False,False,False,False,,,
899,chemicalentity_chemicalentity,444885,-0.6786895394325256,-0.2425281074611494,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","(2R,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
899,chemicalentity_chemicalentity,448209,-0.3523057699203491,-0.2425281074611494,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","(2R,4S,5R,6R)-5-acetamido-2-[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
899,chemicalentity_chemicalentity,448470,-0.30604785680770874,-0.2425281074611494,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide","(2S,4S,5R,6R)-5-acetamido-4-hydroxy-2-(4-methyl-2-oxochromen-7-yl)oxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
899,chemicalentity_protein,O90305,-0.6740559935569763,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Membrane protein,[],False,False,False,False,,,
899,chemicalentity_protein,Q07252,-0.8903830647468567,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Membrane protein,[],False,False,False,False,,,
899,chemicalentity_protein,Q008X3,-0.4761401414871216,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Membrane protein,[],False,False,False,False,,,
899,chemicalentity_protein,P27904,-0.7382529377937317,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Membrane protein,[],False,False,False,False,,,
899,chemicalentity_protein,P11022,-0.3749367296695709,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Membrane protein P8A7,[],False,False,False,False,,,
899,chemicalentity_protein,V9GZG2,-0.02230236493051052,-0.3552259656009227,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",IgG L chain {ECO:0000313|EMBL:BAN63141.1},[],False,False,False,False,,,
899,chemicalentity_biologicalprocess,GO:0006954,-0.16050313413143158,-0.232143107153421,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",inflammatory response,[],False,False,False,False,,,
899,chemicalentity_inhibits_biologicalprocess,GO:0006954,-0.10098584741353989,-0.7050372264239742,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",inflammatory response,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1032, 'chemicalentity_noeffect_biologicalprocess': -1.9463, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3328, 'chemicalentity_promotes_biologicalprocess': -0.3369, 'chemicalentity_inhibits_biologicalprocess': -0.101, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4178}"
899,chemicalentity_protein,D3VVE9,-1.0526472330093384,-0.3552259656009227,REJECT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Truncated tumor suppressor protein P16 {ECO:0000313|EMBL:ACY78326.1},[],False,False,False,False,,,
899,chemicalentity_protein,Q5STF9,-0.017169801518321037,-0.3552259656009227,ACCEPT,"N-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
25245190,chemicalentity_chemicalentity,906,-1.7759628295898438,-0.2425281074611494,REJECT,UDP-N-acetyl-alpha-D-mannosamine(2-),"5-acetamido-2,4-dihydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",[],False,False,False,False,,,
25245190,chemicalentity_chemicalentity,444885,-2.349729537963867,-0.2425281074611494,REJECT,UDP-N-acetyl-alpha-D-mannosamine(2-),"(2R,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
25245190,chemicalentity_chemicalentity,448209,-2.164400815963745,-0.2425281074611494,REJECT,UDP-N-acetyl-alpha-D-mannosamine(2-),"(2R,4S,5R,6R)-5-acetamido-2-[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
25245190,chemicalentity_chemicalentity,448470,-1.3609907627105713,-0.2425281074611494,REJECT,UDP-N-acetyl-alpha-D-mannosamine(2-),"(2S,4S,5R,6R)-5-acetamido-4-hydroxy-2-(4-methyl-2-oxochromen-7-yl)oxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",[],False,False,False,False,,,
