head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
4687,chemicalentity_protein,Q15411,-0.026926789432764053,-0.3552259656009227,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",Ryanodine receptor 2 {ECO:0000305},[],False,False,False,False,,,
4687,chemicalentity_biologicalprocess,GO:0019722,-0.04914660006761551,-0.232143107153421,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",calcium-mediated signaling,[],False,False,False,False,,,
4687,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0019722,-0.14575070142745972,-0.596142909254255,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",calcium-mediated signaling,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1458, 'chemicalentity_noeffect_biologicalprocess': -1.6139, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3196, 'chemicalentity_promotes_biologicalprocess': -0.3808, 'chemicalentity_inhibits_biologicalprocess': -0.1657, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2247}"
4687,chemicalentity_biologicalprocess,GO:0008053,-0.05699697509407997,-0.232143107153421,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial fusion,[],False,False,False,False,,,
4687,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008053,-0.17079968750476837,-0.596142909254255,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial fusion,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1708, 'chemicalentity_noeffect_biologicalprocess': -1.4456, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4912, 'chemicalentity_promotes_biologicalprocess': -0.4889, 'chemicalentity_inhibits_biologicalprocess': -0.2109, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3026}"
4687,chemicalentity_biologicalprocess,GO:0000266,-0.04987797513604164,-0.232143107153421,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial fission,[],False,False,False,False,,,
4687,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0000266,-0.24559466540813446,-0.596142909254255,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial fission,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2456, 'chemicalentity_noeffect_biologicalprocess': -1.575, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4512, 'chemicalentity_promotes_biologicalprocess': -0.513, 'chemicalentity_inhibits_biologicalprocess': -0.3506, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3276}"
4687,chemicalentity_biologicalprocess,GO:0051882,-0.0656333789229393,-0.232143107153421,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial depolarization,[],False,False,False,False,,,
4687,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0051882,-0.36839962005615234,-0.5654679724376828,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",mitochondrial depolarization,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3854, 'chemicalentity_noeffect_biologicalprocess': -1.4112, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4639, 'chemicalentity_promotes_biologicalprocess': -0.645, 'chemicalentity_inhibits_biologicalprocess': -0.3691, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3684}"
4687,chemicalentity_protein,Q5STF9,-0.07360856980085373,-0.3552259656009227,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
4687,chemicalentity_protein,Q9HGN8,-0.2986287474632263,-0.3552259656009227,ACCEPT,"1,7-dimethyl-3H-purine-2,6-dione",Survival factor 2,[],False,False,False,False,,,
Q15411,protein_biologicalprocess,GO:0019722,-0.002644538413733244,-0.5776643345681309,ACCEPT,Ryanodine receptor 2 {ECO:0000305},calcium-mediated signaling,[],False,False,False,False,,,
Q15411,protein_biologicalprocess,GO:0008053,-0.0046958113089203835,-0.5776643345681309,ACCEPT,Ryanodine receptor 2 {ECO:0000305},mitochondrial fusion,[],False,False,False,False,,,
Q15411,protein_biologicalprocess,GO:0000266,-0.00322496285662055,-0.5776643345681309,ACCEPT,Ryanodine receptor 2 {ECO:0000305},mitochondrial fission,[],False,False,False,False,,,
Q15411,protein_biologicalprocess,GO:0051882,-0.008561060763895512,-0.5776643345681309,ACCEPT,Ryanodine receptor 2 {ECO:0000305},mitochondrial depolarization,[],False,False,False,False,,,
Q15411,protein_protein,Q5STF9,-0.05094388872385025,-0.2036837140803804,ACCEPT,Ryanodine receptor 2 {ECO:0000305},Ribonuclease P protein subunit p21,[],False,False,False,False,,,
Q15411,protein_phenotype,neurite,-0.04832931235432625,-0.0497034494975703,ACCEPT,Ryanodine receptor 2 {ECO:0000305},neurite,[],False,False,False,False,,,
Q15411,protein_phenotype,abnormal survival,-0.016608934849500656,-0.0497034494975703,ACCEPT,Ryanodine receptor 2 {ECO:0000305},abnormal survival,[],False,False,False,False,,,
Q15411,protein_phenotype,MP:0010769,-0.040332697331905365,-0.0497034494975703,ACCEPT,Ryanodine receptor 2 {ECO:0000305},abnormal survival,[],False,False,False,False,,,
Q15411,protein_protein,Q9HGN8,-0.18746154010295868,-0.2036837140803804,ACCEPT,Ryanodine receptor 2 {ECO:0000305},Survival factor 2,[],False,False,False,False,,,
GO:0019722,biologicalprocess_biologicalprocess,GO:0008053,-0.000941152626182884,-0.0422867482620858,ACCEPT,calcium-mediated signaling,mitochondrial fusion,[],False,False,False,False,,,
