head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
YDR380W,gene_chemicalentity,5957,-0.027614984661340714,-0.0285922419958417,ACCEPT,phenylpyruvate decarboxylase ARO10,ATP,[],False,False,False,False,,,
YDR380W,gene_chemicalentity,5461108,-0.015742719173431396,-0.0285922419958417,ACCEPT,phenylpyruvate decarboxylase ARO10,ATP(4-),[],False,False,False,False,,,
YDR380W,gene_chemicalentity,5486828,-0.03549863025546074,-0.0285922419958417,REJECT,phenylpyruvate decarboxylase ARO10,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,[],False,False,False,False,,,
YDR380W,gene_pathway,R-HSA-71387,-0.05938224866986275,-0.0346968297443117,REJECT,phenylpyruvate decarboxylase ARO10,Metabolism of carbohydrates,[],False,False,False,False,,,
YDR380W,gene_biologicalprocess,GO:0006112,-0.022736892104148865,-0.0356325677219588,ACCEPT,phenylpyruvate decarboxylase ARO10,energy reserve metabolic process,[],False,False,False,False,,,
YDR380W,gene_promotes_biologicalprocess,GO:0006112,-0.1642027050256729,-0.0617563253450388,REJECT,phenylpyruvate decarboxylase ARO10,energy reserve metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2281, 'gene_promotes_biologicalprocess': -0.1642, 'gene_negativelyassociatedwith_biologicalprocess': -0.3487, 'gene_positivelyassociatedwith_biologicalprocess': -0.3488, 'gene_notassociatedwith_biologicalprocess': -0.2888}"
5957,chemicalentity_chemicalentity,5461108,-0.016916025429964066,-0.2425281074611494,ACCEPT,ATP,ATP(4-),[],False,False,False,False,,,
5957,chemicalentity_chemicalentity,5486828,-0.029477844014763832,-0.2425281074611494,ACCEPT,ATP,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,[],False,False,False,False,,,
5957,chemicalentity_pathway,R-HSA-71387,-0.01133979856967926,-0.3200630854546729,ACCEPT,ATP,Metabolism of carbohydrates,[],False,False,False,False,,,
5957,chemicalentity_biologicalprocess,GO:0006112,-0.007911264896392822,-0.232143107153421,ACCEPT,ATP,energy reserve metabolic process,[],False,False,False,False,,,
5957,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006112,-0.06299661099910736,-0.596142909254255,ACCEPT,ATP,energy reserve metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.063, 'chemicalentity_noeffect_biologicalprocess': -1.5644, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2133, 'chemicalentity_promotes_biologicalprocess': -0.3437, 'chemicalentity_inhibits_biologicalprocess': -0.1075, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1314}"
5461108,chemicalentity_chemicalentity,5486828,-0.306315153837204,-0.2425281074611494,REJECT,ATP(4-),[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,[],False,False,False,False,,,
5461108,chemicalentity_pathway,R-HSA-71387,-0.02180502563714981,-0.3200630854546729,ACCEPT,ATP(4-),Metabolism of carbohydrates,[],False,False,False,False,,,
5461108,chemicalentity_biologicalprocess,GO:0006112,-0.2432740181684494,-0.232143107153421,REJECT,ATP(4-),energy reserve metabolic process,[],False,False,False,False,,,
5461108,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006112,-0.34109368920326233,-0.596142909254255,ACCEPT,ATP(4-),energy reserve metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3411, 'chemicalentity_noeffect_biologicalprocess': -2.7311, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9227, 'chemicalentity_promotes_biologicalprocess': -1.1339, 'chemicalentity_inhibits_biologicalprocess': -0.8751, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5347}"
5486828,chemicalentity_pathway,R-HSA-71387,-0.20702430605888367,-0.3200630854546729,ACCEPT,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,Metabolism of carbohydrates,[],False,False,False,False,,,
5486828,chemicalentity_biologicalprocess,GO:0006112,-0.42851653695106506,-0.232143107153421,REJECT,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,energy reserve metabolic process,[],False,False,False,False,,,
5486828,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006112,-0.4785661995410919,-0.596142909254255,ACCEPT,[[(2R)-2-[(1R)-1-(6-aminopurin-9-yl)-2-oxoethoxy]-3-oxopropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate,energy reserve metabolic process,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4786, 'chemicalentity_noeffect_biologicalprocess': -2.0126, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8955, 'chemicalentity_promotes_biologicalprocess': -0.9012, 'chemicalentity_inhibits_biologicalprocess': -0.5499, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6534}"
