head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
Q9SV07,protein_biologicalprocess,GO:0051673,-0.2841182053089142,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
Q9SV07,protein_phenotype,WBPhenotype:0002484,-0.9008230566978455,-0.0497034494975703,REJECT,Acyl-CoA--sterol O-acyltransferase 1,membrane fluidity variant,[],False,False,False,False,
Q9SV07,protein_phenotype,WBPhenotype:0002361,-0.7326821088790894,-0.0497034494975703,REJECT,Acyl-CoA--sterol O-acyltransferase 1,membrane fluidity increased,[],False,False,False,False,
Q9SV07,protein_phenotype,abnormal vascular permeability,-0.919546365737915,-0.0497034494975703,REJECT,Acyl-CoA--sterol O-acyltransferase 1,abnormal vascular permeability,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:0065009,-0.09123612195253372,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,regulation of molecular function,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:0030258,-0.256104975938797,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,lipid modification,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:0034605,-0.28479164838790894,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,cellular response to heat,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:1900034,-0.5509955286979675,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,regulation of cellular response to heat,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:1900036,-0.5174190998077393,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,positive regulation of cellular response to heat,[],False,False,False,False,
Q9SV07,protein_biologicalprocess,GO:1900035,-0.4315292239189148,-0.5776643345681309,ACCEPT,Acyl-CoA--sterol O-acyltransferase 1,negative regulation of cellular response to heat,[],False,False,False,False,
GO:0051673,biologicalprocess_biologicalprocess,GO:0065009,-0.0023554249200969934,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,regulation of molecular function,[],False,False,False,False,
GO:0051673,biologicalprocess_biologicalprocess,GO:0030258,-0.0065250215120613575,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,lipid modification,[],False,False,False,False,
GO:0051673,biologicalprocess_biologicalprocess,GO:0034605,-0.007644210010766983,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,cellular response to heat,[],False,False,False,False,
GO:0051673,biologicalprocess_biologicalprocess,GO:1900034,-0.01625029742717743,-0.0422867482620858,ACCEPT,disruption of plasma membrane integrity in another organism,regulation of cellular response to heat,[],False,False,False,False,
