head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
GO:0055088,biologicalprocess_biologicalprocess,GO:0051673,-0.0049163587391376495,-0.0422867482620858,ACCEPT,lipid homeostasis,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
C1868201,disease_phenotype,WBPhenotype:0002484,-1.9970070123672485,-0.0688051770080866,REJECT,Platelet membrane fluidity,membrane fluidity variant,[],False,False,False,False,
C1868201,disease_phenotype,WBPhenotype:0001090,-2.6080198287963867,-0.0688051770080866,REJECT,Platelet membrane fluidity,thermotolerance reduced,[],False,False,False,False,
C1868201,disease_phenotype,WBPhenotype:0000295,-2.1463265419006348,-0.0688051770080866,REJECT,Platelet membrane fluidity,thermotolerance increased,[],False,False,False,False,
C1868201,disease_phenotype,WBPhenotype:0002138,-2.309819221496582,-0.0688051770080866,REJECT,Platelet membrane fluidity,acquired thermotolerance variant,[],False,False,False,False,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0055088,-0.6966546177864075,-0.607891854730636,REJECT,membrane fluidity variant,lipid homeostasis,[],False,False,False,False,
WBPhenotype:0002484,phenotype_biologicalprocess,GO:0051673,-0.7027000784873962,-0.607891854730636,REJECT,membrane fluidity variant,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0001090,-3.0451624393463135,-0.150242852206178,REJECT,membrane fluidity variant,thermotolerance reduced,[],False,False,False,False,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0000295,-1.970471978187561,-0.150242852206178,REJECT,membrane fluidity variant,thermotolerance increased,[],False,False,False,False,
WBPhenotype:0002484,phenotype_phenotype,WBPhenotype:0002138,-1.8517935276031494,-0.150242852206178,REJECT,membrane fluidity variant,acquired thermotolerance variant,[],False,False,False,False,
WBPhenotype:0001090,phenotype_biologicalprocess,GO:0055088,-0.1169496402144432,-0.607891854730636,ACCEPT,thermotolerance reduced,lipid homeostasis,[],False,False,False,False,
WBPhenotype:0001090,phenotype_biologicalprocess,GO:0051673,-0.17101456224918365,-0.607891854730636,ACCEPT,thermotolerance reduced,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
WBPhenotype:0001090,phenotype_phenotype,WBPhenotype:0000295,-0.25798627734184265,-0.150242852206178,REJECT,thermotolerance reduced,thermotolerance increased,[],False,False,False,False,
WBPhenotype:0001090,phenotype_phenotype,WBPhenotype:0002138,-0.2683075964450836,-0.150242852206178,REJECT,thermotolerance reduced,acquired thermotolerance variant,[],False,False,False,False,
WBPhenotype:0000295,phenotype_biologicalprocess,GO:0055088,-0.2836247980594635,-0.607891854730636,ACCEPT,thermotolerance increased,lipid homeostasis,[],False,False,False,False,
WBPhenotype:0000295,phenotype_biologicalprocess,GO:0051673,-0.33191239833831787,-0.607891854730636,ACCEPT,thermotolerance increased,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
WBPhenotype:0000295,phenotype_phenotype,WBPhenotype:0002138,-1.207206130027771,-0.150242852206178,REJECT,thermotolerance increased,acquired thermotolerance variant,[],False,False,False,False,
WBPhenotype:0002138,phenotype_biologicalprocess,GO:0055088,-0.4666820764541626,-0.607891854730636,ACCEPT,acquired thermotolerance variant,lipid homeostasis,[],False,False,False,False,
WBPhenotype:0002138,phenotype_biologicalprocess,GO:0051673,-0.5277644395828247,-0.607891854730636,ACCEPT,acquired thermotolerance variant,disruption of plasma membrane integrity in another organism,[],False,False,False,False,
