head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
HK2,gene_gene,HXK2,-0.18883255124092102,-0.071739344080056,REJECT,hexokinase 2,hexokinase 2,[],False,False,False,False,,,
HK2,gene_protein,P04807,-0.0644170343875885,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HK2,gene_protein,P83776,-0.03798852488398552,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HK2,gene_protein,P93834,-0.016947351396083832,-0.0280984394514378,ACCEPT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HK2,gene_protein,Q2KNB9,-0.05743391439318657,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HK2,gene_protein,Q9SQ76,-0.03672027960419655,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HK2,gene_biologicalprocess,GO:0033554,-0.008212381973862648,-0.0356325677219588,ACCEPT,hexokinase 2,cellular response to stress,[],False,False,False,False,,,
HK2,gene_promotes_biologicalprocess,GO:0033554,-0.1411513239145279,-0.0617563253450388,REJECT,hexokinase 2,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1513, 'gene_promotes_biologicalprocess': -0.1412, 'gene_negativelyassociatedwith_biologicalprocess': -0.2248, 'gene_positivelyassociatedwith_biologicalprocess': -0.1896, 'gene_notassociatedwith_biologicalprocess': -0.2771}"
HK2,gene_biologicalprocess,GO:0080136,-0.035969559103250504,-0.0356325677219588,REJECT,hexokinase 2,priming of cellular response to stress,[],False,False,False,False,,,
HK2,gene_negativelyassociatedwith_biologicalprocess,GO:0080136,-0.3123137652873993,-0.1070524565571329,REJECT,hexokinase 2,priming of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3662, 'gene_promotes_biologicalprocess': -0.4426, 'gene_negativelyassociatedwith_biologicalprocess': -0.3123, 'gene_positivelyassociatedwith_biologicalprocess': -0.3594, 'gene_notassociatedwith_biologicalprocess': -0.4767}"
HK2,gene_biologicalprocess,GO:0080135,-0.0069414484314620495,-0.0356325677219588,ACCEPT,hexokinase 2,regulation of cellular response to stress,[],False,False,False,False,,,
HK2,gene_inhibits_biologicalprocess,GO:0080135,-0.09755953401327133,-0.0559618705714699,REJECT,hexokinase 2,regulation of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0976, 'gene_promotes_biologicalprocess': -0.1113, 'gene_negativelyassociatedwith_biologicalprocess': -0.1654, 'gene_positivelyassociatedwith_biologicalprocess': -0.1268, 'gene_notassociatedwith_biologicalprocess': -0.2009}"
HXK2,gene_protein,P04807,-0.8744121789932251,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HXK2,gene_protein,P83776,-0.9092634916305542,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HXK2,gene_protein,P93834,-1.1998218297958374,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HXK2,gene_protein,Q2KNB9,-0.901856541633606,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HXK2,gene_protein,Q9SQ76,-0.9545339345932007,-0.0280984394514378,REJECT,hexokinase 2,Hexokinase-2,[],False,False,False,False,,,
HXK2,gene_biologicalprocess,GO:0033554,-2.8324973583221436,-0.0356325677219588,REJECT,hexokinase 2,cellular response to stress,[],False,False,False,False,,,
HXK2,gene_notassociatedwith_biologicalprocess,GO:0033554,-1.5881484746932983,-0.1941926147433079,REJECT,hexokinase 2,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.3849, 'gene_promotes_biologicalprocess': -2.2136, 'gene_negativelyassociatedwith_biologicalprocess': -2.1724, 'gene_positivelyassociatedwith_biologicalprocess': -1.9457, 'gene_notassociatedwith_biologicalprocess': -1.5881}"
HXK2,gene_biologicalprocess,GO:0080136,-1.0595084428787231,-0.0356325677219588,REJECT,hexokinase 2,priming of cellular response to stress,[],False,False,False,False,,,
HXK2,gene_positivelyassociatedwith_biologicalprocess,GO:0080136,-0.7965683937072754,-0.0730086550790463,REJECT,hexokinase 2,priming of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.0485, 'gene_promotes_biologicalprocess': -1.1721, 'gene_negativelyassociatedwith_biologicalprocess': -0.8324, 'gene_positivelyassociatedwith_biologicalprocess': -0.7966, 'gene_notassociatedwith_biologicalprocess': -0.8562}"
HXK2,gene_biologicalprocess,GO:0080135,-2.575636148452759,-0.0356325677219588,REJECT,hexokinase 2,regulation of cellular response to stress,[],False,False,False,False,,,
HXK2,gene_notassociatedwith_biologicalprocess,GO:0080135,-1.7942094802856445,-0.1941926147433079,REJECT,hexokinase 2,regulation of cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.0197, 'gene_promotes_biologicalprocess': -1.9214, 'gene_negativelyassociatedwith_biologicalprocess': -2.1056, 'gene_positivelyassociatedwith_biologicalprocess': -2.0319, 'gene_notassociatedwith_biologicalprocess': -1.7942}"
P04807,protein_protein,P83776,-0.6959052681922913,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P04807,protein_protein,P93834,-0.9913622140884399,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,['Protein_Protein'],False,True,True,False,Protein_Protein,,
P04807,protein_protein,Q2KNB9,-0.6720630526542664,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P04807,protein_protein,Q9SQ76,-0.611416757106781,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P04807,protein_biologicalprocess,GO:0033554,-0.2756504416465759,-0.5776643345681309,ACCEPT,Hexokinase-2,cellular response to stress,[],False,False,False,False,,,
P04807,protein_biologicalprocess,GO:0080136,-0.5721895098686218,-0.5776643345681309,ACCEPT,Hexokinase-2,priming of cellular response to stress,[],False,False,False,False,,,
P04807,protein_biologicalprocess,GO:0080135,-0.2533518970012665,-0.5776643345681309,ACCEPT,Hexokinase-2,regulation of cellular response to stress,[],False,False,False,False,,,
P83776,protein_protein,P93834,-1.1916009187698364,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P83776,protein_protein,Q2KNB9,-0.7088257074356079,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P83776,protein_protein,Q9SQ76,-0.6252289414405823,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P83776,protein_biologicalprocess,GO:0033554,-0.6224945783615112,-0.5776643345681309,REJECT,Hexokinase-2,cellular response to stress,[],False,False,False,False,,,
P83776,protein_biologicalprocess,GO:0080136,-0.883331298828125,-0.5776643345681309,REJECT,Hexokinase-2,priming of cellular response to stress,[],False,False,False,False,,,
P83776,protein_biologicalprocess,GO:0080135,-0.5297988653182983,-0.5776643345681309,ACCEPT,Hexokinase-2,regulation of cellular response to stress,[],False,False,False,False,,,
P93834,protein_protein,Q2KNB9,-0.5482564568519592,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P93834,protein_protein,Q9SQ76,-0.4792296290397644,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
P93834,protein_biologicalprocess,GO:0033554,-0.13420934975147247,-0.5776643345681309,ACCEPT,Hexokinase-2,cellular response to stress,[],False,False,False,False,,,
P93834,protein_biologicalprocess,GO:0080136,-0.4222438335418701,-0.5776643345681309,ACCEPT,Hexokinase-2,priming of cellular response to stress,[],False,False,False,False,,,
P93834,protein_biologicalprocess,GO:0080135,-0.12090632319450378,-0.5776643345681309,ACCEPT,Hexokinase-2,regulation of cellular response to stress,[],False,False,False,False,,,
Q2KNB9,protein_protein,Q9SQ76,-0.5950754880905151,-0.2036837140803804,REJECT,Hexokinase-2,Hexokinase-2,[],False,False,False,False,,,
Q2KNB9,protein_biologicalprocess,GO:0033554,-0.2098771035671234,-0.5776643345681309,ACCEPT,Hexokinase-2,cellular response to stress,[],False,False,False,False,,,
Q2KNB9,protein_biologicalprocess,GO:0080136,-0.4990026354789734,-0.5776643345681309,ACCEPT,Hexokinase-2,priming of cellular response to stress,[],False,False,False,False,,,
Q2KNB9,protein_biologicalprocess,GO:0080135,-0.1947101205587387,-0.5776643345681309,ACCEPT,Hexokinase-2,regulation of cellular response to stress,[],False,False,False,False,,,
Q9SQ76,protein_biologicalprocess,GO:0033554,-0.7363983392715454,-0.5776643345681309,REJECT,Hexokinase-2,cellular response to stress,[],False,False,False,False,,,
Q9SQ76,protein_biologicalprocess,GO:0080136,-0.9502564668655396,-0.5776643345681309,REJECT,Hexokinase-2,priming of cellular response to stress,[],False,False,False,False,,,
Q9SQ76,protein_biologicalprocess,GO:0080135,-0.6399489045143127,-0.5776643345681309,REJECT,Hexokinase-2,regulation of cellular response to stress,[],False,False,False,False,,,
GO:0033554,biologicalprocess_biologicalprocess,GO:0080136,-0.016907548531889915,-0.0422867482620858,ACCEPT,cellular response to stress,priming of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0033554,biologicalprocess_biologicalprocess,GO:0080135,-0.0007648284663446248,-0.0422867482620858,ACCEPT,cellular response to stress,regulation of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0080136,biologicalprocess_biologicalprocess,GO:0080135,-0.1618594080209732,-0.0422867482620858,REJECT,priming of cellular response to stress,regulation of cellular response to stress,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
