head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
APRT,gene_gene,APT1,-0.38708657026290894,-0.071739344080056,REJECT,adenine phosphoribosyltransferase,adenine phosphoribosyltransferase APT1,[],False,False,False,False,,,
APRT,gene_gene,YDR441C,-0.030467187985777855,-0.071739344080056,ACCEPT,adenine phosphoribosyltransferase,adenine phosphoribosyltransferase APT2,[],False,False,False,False,,,
APRT,gene_gene,YML022W,-0.023809239268302917,-0.071739344080056,ACCEPT,adenine phosphoribosyltransferase,adenine phosphoribosyltransferase APT1,[],False,False,False,False,,,
APRT,gene_protein,P91455,-0.02176249772310257,-0.0280984394514378,ACCEPT,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APRT,gene_protein,Q6BZF9,-0.21391187608242035,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APRT,gene_protein,Q6CWV0,-0.012649768963456154,-0.0280984394514378,ACCEPT,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APRT,gene_protein,Q6CA53,-0.033927999436855316,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APRT,gene_protein,O42842,-0.04213991016149521,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APRT,gene_biologicalprocess,GO:0033554,-0.011756782419979572,-0.0356325677219588,ACCEPT,adenine phosphoribosyltransferase,cellular response to stress,[],False,False,False,False,,,
APRT,gene_promotes_biologicalprocess,GO:0033554,-0.16041603684425354,-0.0617563253450388,REJECT,adenine phosphoribosyltransferase,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1858, 'gene_promotes_biologicalprocess': -0.1604, 'gene_negativelyassociatedwith_biologicalprocess': -0.3276, 'gene_positivelyassociatedwith_biologicalprocess': -0.2489, 'gene_notassociatedwith_biologicalprocess': -0.2822}"
APT1,gene_gene,YDR441C,-4.368422985076904,-0.071739344080056,REJECT,adenine phosphoribosyltransferase APT1,adenine phosphoribosyltransferase APT2,[],False,False,False,False,,,
APT1,gene_gene,YML022W,-4.670597076416016,-0.071739344080056,REJECT,adenine phosphoribosyltransferase APT1,adenine phosphoribosyltransferase APT1,[],False,False,False,False,,,
APT1,gene_protein,P91455,-1.615595817565918,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APT1,gene_protein,Q6BZF9,-1.0343867540359497,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APT1,gene_protein,Q6CWV0,-2.469330072402954,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APT1,gene_protein,Q6CA53,-2.174281358718872,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APT1,gene_protein,O42842,-1.3229219913482666,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
APT1,gene_biologicalprocess,GO:0033554,-5.320511341094971,-0.0356325677219588,REJECT,adenine phosphoribosyltransferase APT1,cellular response to stress,[],False,False,False,False,,,
APT1,gene_positivelyassociatedwith_biologicalprocess,GO:0033554,-3.033543348312378,-0.0730086550790463,REJECT,adenine phosphoribosyltransferase APT1,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -3.4938, 'gene_promotes_biologicalprocess': -3.5068, 'gene_negativelyassociatedwith_biologicalprocess': -3.5058, 'gene_positivelyassociatedwith_biologicalprocess': -3.0335, 'gene_notassociatedwith_biologicalprocess': -3.1929}"
YDR441C,gene_gene,YML022W,-0.11202455312013626,-0.071739344080056,REJECT,adenine phosphoribosyltransferase APT2,adenine phosphoribosyltransferase APT1,['Gene_Gene'],False,True,True,False,Gene_Gene,,
YDR441C,gene_protein,P91455,-0.07213576883077621,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT2,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
YDR441C,gene_protein,Q6BZF9,-0.32505133748054504,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT2,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
YDR441C,gene_protein,Q6CWV0,-0.056538403034210205,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT2,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
YDR441C,gene_protein,Q6CA53,-0.10975084453821182,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT2,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
YDR441C,gene_protein,O42842,-0.10714166611433029,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT2,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
YDR441C,gene_biologicalprocess,GO:0033554,-0.09162640571594238,-0.0356325677219588,REJECT,adenine phosphoribosyltransferase APT2,cellular response to stress,[],False,False,False,False,,,
YDR441C,gene_promotes_biologicalprocess,GO:0033554,-0.4429169297218323,-0.0617563253450388,REJECT,adenine phosphoribosyltransferase APT2,cellular response to stress,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6435, 'gene_promotes_biologicalprocess': -0.4429, 'gene_negativelyassociatedwith_biologicalprocess': -0.6247, 'gene_positivelyassociatedwith_biologicalprocess': -0.56, 'gene_notassociatedwith_biologicalprocess': -0.514}"
YML022W,gene_protein,P91455,-0.05689892917871475,-0.0280984394514378,REJECT,adenine phosphoribosyltransferase APT1,Adenine phosphoribosyltransferase,[],False,False,False,False,,,
