head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
NUDT5,gene_gene,NUDT3,-0.01414252258837223,-0.071739344080056,ACCEPT,nudix hydrolase 5,nudix hydrolase 3,['Gene_Gene'],False,True,True,False,Gene_Gene,,
NUDT5,gene_gene,NUDT9,-0.016046646982431412,-0.071739344080056,ACCEPT,nudix hydrolase 5,nudix hydrolase 9,['Gene_Gene'],False,True,True,False,Gene_Gene,,
NUDT5,gene_protein,Q9SJC6,-0.03688957169651985,-0.0280984394514378,REJECT,nudix hydrolase 5,Nudix hydrolase 5,[],False,False,False,False,,,
NUDT5,gene_protein,P44684,-0.026130830869078636,-0.0280984394514378,ACCEPT,nudix hydrolase 5,ADP-ribose pyrophosphatase,[],False,False,False,False,,,
NUDT5,gene_protein,P83843,-0.03546972945332527,-0.0280984394514378,REJECT,nudix hydrolase 5,ADP-ribose pyrophosphatase,[],False,False,False,False,,,
NUDT5,gene_protein,Q93K97,-0.018884794786572456,-0.0280984394514378,ACCEPT,nudix hydrolase 5,ADP-ribose pyrophosphatase,[],False,False,False,False,,,
NUDT5,gene_protein,P83844,-0.05162567272782326,-0.0280984394514378,REJECT,nudix hydrolase 5,ADP-ribose pyrophosphatase,[],False,False,False,False,,,
NUDT5,gene_protein,Q01976,-0.05208418518304825,-0.0280984394514378,REJECT,nudix hydrolase 5,ADP-ribose pyrophosphatase,[],False,False,False,False,,,
NUDT5,gene_biologicalprocess,GO:0008152,-0.008880702778697014,-0.0356325677219588,ACCEPT,nudix hydrolase 5,metabolic process,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
NUDT5,gene_promotes_biologicalprocess,GO:0008152,-0.15083211660385132,-0.0617563253450388,REJECT,nudix hydrolase 5,metabolic process,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.2263, 'gene_promotes_biologicalprocess': -0.1508, 'gene_negativelyassociatedwith_biologicalprocess': -0.3372, 'gene_positivelyassociatedwith_biologicalprocess': -0.2304, 'gene_notassociatedwith_biologicalprocess': -0.2936}"
NUDT3,gene_gene,NUDT9,-0.022205986082553864,-0.071739344080056,ACCEPT,nudix hydrolase 3,nudix hydrolase 9,['Gene_Gene'],False,True,True,False,Gene_Gene,,
NUDT3,gene_protein,Q9SJC6,-0.03107495605945587,-0.0280984394514378,REJECT,nudix hydrolase 3,Nudix hydrolase 5,[],False,False,False,False,,,
