head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Y41E3.4,gene_molecularfunction,GO:0050561,-1.4735233783721924,-0.0286995250249342,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,glutamate-tRNA(Gln) ligase activity,[],False,False,False,False,,,
Y41E3.4,gene_biologicalprocess,GO:0006457,-3.1353139877319336,-0.0356325677219588,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,protein folding,[],False,False,False,False,,,
Y41E3.4,gene_positivelyassociatedwith_biologicalprocess,GO:0006457,-1.6644413471221924,-0.0730086550790463,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,protein folding,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.3974, 'gene_promotes_biologicalprocess': -1.8669, 'gene_negativelyassociatedwith_biologicalprocess': -2.2146, 'gene_positivelyassociatedwith_biologicalprocess': -1.6644, 'gene_notassociatedwith_biologicalprocess': -2.2015}"
Y41E3.4,gene_biologicalprocess,GO:0006458,-2.7240114212036133,-0.0356325677219588,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,'de novo' protein folding,[],False,False,False,False,,,
Y41E3.4,gene_positivelyassociatedwith_biologicalprocess,GO:0006458,-1.5351319313049316,-0.0730086550790463,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,'de novo' protein folding,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.0635, 'gene_promotes_biologicalprocess': -1.6599, 'gene_negativelyassociatedwith_biologicalprocess': -1.9081, 'gene_positivelyassociatedwith_biologicalprocess': -1.5351, 'gene_notassociatedwith_biologicalprocess': -1.9738}"
Y41E3.4,gene_biologicalprocess,GO:1903332,-1.6933454275131226,-0.0356325677219588,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,regulation of protein folding,[],False,False,False,False,,,
Y41E3.4,gene_notassociatedwith_biologicalprocess,GO:1903332,-1.0417671203613281,-0.1941926147433079,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,regulation of protein folding,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.7699, 'gene_promotes_biologicalprocess': -1.8407, 'gene_negativelyassociatedwith_biologicalprocess': -1.1473, 'gene_positivelyassociatedwith_biologicalprocess': -1.0427, 'gene_notassociatedwith_biologicalprocess': -1.0418}"
Y41E3.4,gene_biologicalprocess,GO:0061077,-3.1229655742645264,-0.0356325677219588,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,chaperone-mediated protein folding,[],False,False,False,False,,,
Y41E3.4,gene_positivelyassociatedwith_biologicalprocess,GO:0061077,-1.5637327432632446,-0.0730086550790463,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,chaperone-mediated protein folding,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -2.4082, 'gene_promotes_biologicalprocess': -1.9784, 'gene_negativelyassociatedwith_biologicalprocess': -1.8194, 'gene_positivelyassociatedwith_biologicalprocess': -1.5637, 'gene_notassociatedwith_biologicalprocess': -1.695}"
Y41E3.4,gene_biologicalprocess,GO:0008152,-5.063516139984131,-0.0356325677219588,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,metabolic process,[],False,False,False,False,,,
Y41E3.4,gene_notassociatedwith_biologicalprocess,GO:0008152,-2.9631059169769287,-0.1941926147433079,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -3.8262, 'gene_promotes_biologicalprocess': -3.2964, 'gene_negativelyassociatedwith_biologicalprocess': -3.6723, 'gene_positivelyassociatedwith_biologicalprocess': -3.0897, 'gene_notassociatedwith_biologicalprocess': -2.9631}"
Y41E3.4,gene_phenotype,WBPhenotype:0001090,-1.8569802045822144,-0.0347684314162952,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,thermotolerance reduced,[],False,False,False,False,,,
Y41E3.4,gene_phenotype,WBPhenotype:0000295,-1.681938648223877,-0.0347684314162952,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,thermotolerance increased,[],False,False,False,False,,,
Y41E3.4,gene_phenotype,acquired thermotolerance: normal,-2.3876681327819824,-0.0347684314162952,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,classical genetics_acquired thermotolerance: normal,[],False,False,False,False,,,
Y41E3.4,gene_phenotype,WBPhenotype:0002138,-1.609330654144287,-0.0347684314162952,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,acquired thermotolerance variant,[],False,False,False,False,,,
Y41E3.4,gene_phenotype,innate thermotolerance: decreased,-1.6370842456817627,-0.0347684314162952,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,"homozygous diploid, systematic mutation set_innate thermotolerance: decreased",[],False,False,False,False,,,
Y41E3.4,gene_chemicalentity,5957,-4.171385288238525,-0.0285922419958417,REJECT,Glutaminyl-tRNA synthetase;Glutamyl/glutaminyl-tRNA synthetase class Ib anti-codon binding domain-containing protein;glutamine--tRNA ligase;putative glutamine--tRNA ligase,ATP,[],False,False,False,False,,,
