head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
GLRX3,gene_molecularfunction,GO:0106436,-0.028177505359053612,-0.0286995250249342,ACCEPT,glutaredoxin 3,glutathione-dependent sulfide quinone oxidoreductase activity,[],False,False,False,False,,,
GLRX3,gene_molecularfunction,GO:0004364,-0.0017651491798460484,-0.0286995250249342,ACCEPT,glutaredoxin 3,glutathione transferase activity,['Gene_MolecularFunction'],False,True,True,False,Gene_MolecularFunction,,
GLRX3,gene_biologicalprocess,GO:0045454,-0.004389867652207613,-0.0356325677219588,ACCEPT,glutaredoxin 3,cell redox homeostasis,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
GLRX3,gene_inhibits_biologicalprocess,GO:0045454,-0.07840333133935928,-0.0559618705714699,REJECT,glutaredoxin 3,cell redox homeostasis,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.0784, 'gene_promotes_biologicalprocess': -0.0799, 'gene_negativelyassociatedwith_biologicalprocess': -0.1456, 'gene_positivelyassociatedwith_biologicalprocess': -0.1604, 'gene_notassociatedwith_biologicalprocess': -0.1319}"
GLRX3,gene_chemicalentity,5359597,-0.048523157835006714,-0.0285922419958417,REJECT,glutaredoxin 3,superoxide,[],False,False,False,False,,,
GLRX3,gene_chemicalentity,9548897,-0.05096745863556862,-0.0285922419958417,REJECT,glutaredoxin 3,,[],False,False,False,False,,,
GLRX3,gene_chemicalentity,5460593,-0.02941153012216091,-0.0285922419958417,REJECT,glutaredoxin 3,,[],False,False,False,False,,,
GLRX3,gene_biologicalprocess,GO:0034440,-0.009606423787772655,-0.0356325677219588,ACCEPT,glutaredoxin 3,lipid oxidation,[],False,False,False,False,,,
GLRX3,gene_promotes_biologicalprocess,GO:0034440,-0.12694530189037323,-0.0617563253450388,REJECT,glutaredoxin 3,lipid oxidation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1364, 'gene_promotes_biologicalprocess': -0.1269, 'gene_negativelyassociatedwith_biologicalprocess': -0.2175, 'gene_positivelyassociatedwith_biologicalprocess': -0.236, 'gene_notassociatedwith_biologicalprocess': -0.1598}"
GLRX3,gene_biologicalprocess,GO:0016049,-0.010543249547481537,-0.0356325677219588,ACCEPT,glutaredoxin 3,cell growth,[],False,False,False,False,,,
