head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ZNF512B,gene_cellularcomponent,GO:0016581,-0.004561295732855797,-0.0358198597771757,ACCEPT,zinc finger protein 512B,NuRD complex,[],False,False,False,False,,,
ZNF512B,gene_molecularfunction,GO:0120325,-0.06984185427427292,-0.0286995250249342,REJECT,zinc finger protein 512B,NuRD complex binding,[],False,False,False,False,,,
ZNF512B,gene_phenotype,DNA damage response,-0.03312787786126137,-0.0347684314162952,ACCEPT,zinc finger protein 512B,    DNA damage response,[],False,False,False,False,,,
ZNF512B,gene_phenotype,cGAS/STING signaling pathway increased process quality abnormal,-0.040202561765909195,-0.0347684314162952,REJECT,zinc finger protein 512B,    cGAS/STING signaling pathway increased process quality abnormal  ,[],False,False,False,False,,,
ZNF512B,gene_phenotype,ZP:0148501,-0.07228963077068329,-0.0347684314162952,REJECT,zinc finger protein 512B,"cGAS/STING signaling pathway increased process quality, abnormal",[],False,False,False,False,,,
ZNF512B,gene_biologicalprocess,GO:0160049,-0.1467968225479126,-0.0356325677219588,REJECT,zinc finger protein 512B,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
ZNF512B,gene_notassociatedwith_biologicalprocess,GO:0160049,-0.5742994546890259,-0.1941926147433079,REJECT,zinc finger protein 512B,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6638, 'gene_promotes_biologicalprocess': -0.657, 'gene_negativelyassociatedwith_biologicalprocess': -0.6352, 'gene_positivelyassociatedwith_biologicalprocess': -0.6098, 'gene_notassociatedwith_biologicalprocess': -0.5743}"
ZNF512B,gene_biologicalprocess,GO:0141111,-0.02068420872092247,-0.0356325677219588,ACCEPT,zinc finger protein 512B,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0141111,-0.16461630165576935,-0.0617563253450388,REJECT,zinc finger protein 512B,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.182, 'gene_promotes_biologicalprocess': -0.1646, 'gene_negativelyassociatedwith_biologicalprocess': -0.4078, 'gene_positivelyassociatedwith_biologicalprocess': -0.405, 'gene_notassociatedwith_biologicalprocess': -0.3024}"
ZNF512B,gene_gene,CGAS,-0.03205464035272598,-0.071739344080056,ACCEPT,zinc finger protein 512B,cyclic GMP-AMP synthase,[],False,False,False,False,,,
ZNF512B,gene_biologicalprocess,GO:0006954,-0.006707706488668919,-0.0356325677219588,ACCEPT,zinc finger protein 512B,inflammatory response,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0006954,-0.05813346058130264,-0.0617563253450388,ACCEPT,zinc finger protein 512B,inflammatory response,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0726, 'gene_promotes_biologicalprocess': -0.0581, 'gene_negativelyassociatedwith_biologicalprocess': -0.1533, 'gene_positivelyassociatedwith_biologicalprocess': -0.1804, 'gene_notassociatedwith_biologicalprocess': -0.1243}"
ZNF512B,gene_pathway,R-HSA-2559582,-0.007508412003517151,-0.0346968297443117,ACCEPT,zinc finger protein 512B,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ZNF512B,gene_pathway,R-MMU-2559582,-0.07762490212917328,-0.0346968297443117,REJECT,zinc finger protein 512B,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ZNF512B,gene_phenotype,WBPhenotype:0001211,-0.011750441044569016,-0.0347684314162952,ACCEPT,zinc finger protein 512B,cuticle integrity variant,[],False,False,False,False,,,
ZNF512B,gene_phenotype,ZP:0102254,-0.021611720323562622,-0.0347684314162952,ACCEPT,zinc finger protein 512B,"skeletal tissue disrupted tissue homeostasis, abnormal",[],False,False,False,False,,,
GO:0016581,cellularcomponent_gene,CGAS,-0.006281654350459576,-0.0325983804673724,ACCEPT,NuRD complex,cyclic GMP-AMP synthase,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0160049,-0.463569313287735,-0.0147993624499696,REJECT,NuRD complex binding,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0141111,-0.07328036427497864,-0.0147993624499696,REJECT,NuRD complex binding,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0006954,-0.060154639184474945,-0.0147993624499696,REJECT,NuRD complex binding,inflammatory response,[],False,False,False,False,,,
DNA damage response,phenotype_cellularcomponent,GO:0016581,-0.512492835521698,-0.6698990933960958,ACCEPT,    DNA damage response,NuRD complex,[],False,False,False,False,,,
DNA damage response,phenotype_molecularfunction,GO:0120325,-0.8021813035011292,-0.4457983972888497,REJECT,    DNA damage response,NuRD complex binding,[],False,False,False,False,,,
DNA damage response,phenotype_phenotype,cGAS/STING signaling pathway increased process quality abnormal,-1.220059871673584,-0.150242852206178,REJECT,    DNA damage response,    cGAS/STING signaling pathway increased process quality abnormal  ,[],False,False,False,False,,,
DNA damage response,phenotype_phenotype,ZP:0148501,-1.0834546089172363,-0.150242852206178,REJECT,    DNA damage response,"cGAS/STING signaling pathway increased process quality, abnormal",[],False,False,False,False,,,
DNA damage response,phenotype_biologicalprocess,GO:0160049,-2.3004274368286133,-0.607891854730636,REJECT,    DNA damage response,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
DNA damage response,phenotype_biologicalprocess,GO:0141111,-0.7254155278205872,-0.607891854730636,REJECT,    DNA damage response,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
DNA damage response,phenotype_gene,CGAS,-3.9085326194763184,-0.1233359341644249,REJECT,    DNA damage response,cyclic GMP-AMP synthase,[],False,False,False,False,,,
DNA damage response,phenotype_biologicalprocess,GO:0006954,-0.6080710887908936,-0.607891854730636,REJECT,    DNA damage response,inflammatory response,[],False,False,False,False,,,
DNA damage response,phenotype_phenotype,WBPhenotype:0001211,-1.9517154693603516,-0.150242852206178,REJECT,    DNA damage response,cuticle integrity variant,[],False,False,False,False,,,
DNA damage response,phenotype_phenotype,ZP:0102254,-1.4262388944625854,-0.150242852206178,REJECT,    DNA damage response,"skeletal tissue disrupted tissue homeostasis, abnormal",[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_cellularcomponent,GO:0016581,-0.5834672451019287,-0.6698990933960958,ACCEPT,    cGAS/STING signaling pathway increased process quality abnormal  ,NuRD complex,[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_molecularfunction,GO:0120325,-0.9275856018066406,-0.4457983972888497,REJECT,    cGAS/STING signaling pathway increased process quality abnormal  ,NuRD complex binding,[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_phenotype,ZP:0148501,-1.2600607872009277,-0.150242852206178,REJECT,    cGAS/STING signaling pathway increased process quality abnormal  ,"cGAS/STING signaling pathway increased process quality, abnormal",[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_biologicalprocess,GO:0160049,-2.185945749282837,-0.607891854730636,REJECT,    cGAS/STING signaling pathway increased process quality abnormal  ,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_biologicalprocess,GO:0141111,-0.7214091420173645,-0.607891854730636,REJECT,    cGAS/STING signaling pathway increased process quality abnormal  ,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
cGAS/STING signaling pathway increased process quality abnormal,phenotype_gene,CGAS,-3.984741449356079,-0.1233359341644249,REJECT,    cGAS/STING signaling pathway increased process quality abnormal  ,cyclic GMP-AMP synthase,[],False,False,False,False,,,
