head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
EPT1,gene_molecularfunction,GO:0102853,-0.7790261507034302,-0.0286995250249342,REJECT,selenoprotein I,1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity,[],False,False,False,False,,,
EPT1,gene_biologicalprocess,GO:0070370,-1.2007744312286377,-0.0356325677219588,REJECT,selenoprotein I,cellular heat acclimation,[],False,False,False,False,,,
EPT1,gene_positivelyassociatedwith_biologicalprocess,GO:0070370,-0.8138611912727356,-0.0730086550790463,REJECT,selenoprotein I,cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.3364, 'gene_promotes_biologicalprocess': -1.2922, 'gene_negativelyassociatedwith_biologicalprocess': -0.9757, 'gene_positivelyassociatedwith_biologicalprocess': -0.8139, 'gene_notassociatedwith_biologicalprocess': -1.1083}"
EPT1,gene_tissue,BTO:0004012,-2.815157651901245,-0.0456591214389128,REJECT,selenoprotein I,ROS cell,[],False,False,False,False,,,
EPT1,gene_pathway,R-HSA-8932339,-1.1050680875778198,-0.0346968297443117,REJECT,selenoprotein I,ROS sensing by NFE2L2,[],False,False,False,False,,,
EPT1,gene_gene,ROS,-0.6310146450996399,-0.071739344080056,REJECT,selenoprotein I,"ROS proto-oncogene 1, receptor tyrosine kinase",[],False,False,False,False,,,
EPT1,gene_protein,Q15368,-1.313294768333435,-0.0280984394514378,REJECT,selenoprotein I,Proto-oncogene tyrosine-protein kinase ROS,[],False,False,False,False,,,
EPT1,gene_phenotype,WBPhenotype:0001405,-1.3248891830444336,-0.0347684314162952,REJECT,selenoprotein I,protein aggregation variant,[],False,False,False,False,,,
GO:0102853,molecularfunction_biologicalprocess,GO:0070370,-0.7948632836341858,-0.0147993624499696,REJECT,1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity,cellular heat acclimation,[],False,False,False,False,,,
GO:0102853,molecularfunction_protein,Q15368,-0.5927802324295044,-0.1291475144247688,REJECT,1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity,Proto-oncogene tyrosine-protein kinase ROS,[],False,False,False,False,,,
GO:0070370,biologicalprocess_gene,ROS,-1.337188482284546,-0.085789182677173,REJECT,cellular heat acclimation,"ROS proto-oncogene 1, receptor tyrosine kinase",[],False,False,False,False,,,
ROS,gene_notassociatedwith_biologicalprocess,GO:0070370,-1.1607346534729004,-0.1941926147433079,REJECT,"ROS proto-oncogene 1, receptor tyrosine kinase",cellular heat acclimation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -1.8056, 'gene_promotes_biologicalprocess': -1.9238, 'gene_negativelyassociatedwith_biologicalprocess': -1.3582, 'gene_positivelyassociatedwith_biologicalprocess': -1.163, 'gene_notassociatedwith_biologicalprocess': -1.1607}"
GO:0070370,biologicalprocess_protein,Q15368,-0.403256356716156,-0.4342587681103441,ACCEPT,cellular heat acclimation,Proto-oncogene tyrosine-protein kinase ROS,[],False,False,False,False,,,
R-HSA-8932339,pathway_gene,ROS,-1.2921862602233887,-0.0605865656309756,REJECT,ROS sensing by NFE2L2,"ROS proto-oncogene 1, receptor tyrosine kinase",[],False,False,False,False,,,
ROS,gene_molecularfunction,GO:0102853,-1.4523143768310547,-0.0286995250249342,REJECT,"ROS proto-oncogene 1, receptor tyrosine kinase",1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity,[],False,False,False,False,,,
ROS,gene_tissue,BTO:0004012,-5.481878280639648,-0.0456591214389128,REJECT,"ROS proto-oncogene 1, receptor tyrosine kinase",ROS cell,[],False,False,False,False,,,
ROS,gene_protein,Q15368,-2.924603223800659,-0.0280984394514378,REJECT,"ROS proto-oncogene 1, receptor tyrosine kinase",Proto-oncogene tyrosine-protein kinase ROS,[],False,False,False,False,,,
ROS,gene_phenotype,WBPhenotype:0001405,-3.056335926055908,-0.0347684314162952,REJECT,"ROS proto-oncogene 1, receptor tyrosine kinase",protein aggregation variant,[],False,False,False,False,,,
Q15368,protein_tissue,BTO:0004012,-0.012620678171515465,-0.1523438805787957,ACCEPT,Proto-oncogene tyrosine-protein kinase ROS,ROS cell,[],False,False,False,False,,,
Q15368,protein_pathway,R-HSA-8932339,-0.03679781034588814,-0.0332625891724323,REJECT,Proto-oncogene tyrosine-protein kinase ROS,ROS sensing by NFE2L2,[],False,False,False,False,,,
Q15368,protein_phenotype,WBPhenotype:0001405,-0.032531023025512695,-0.0497034494975703,ACCEPT,Proto-oncogene tyrosine-protein kinase ROS,protein aggregation variant,[],False,False,False,False,,,
WBPhenotype:0001405,phenotype_molecularfunction,GO:0102853,-1.2775278091430664,-0.4457983972888497,REJECT,protein aggregation variant,1-18:1-2-18:1-sn-glycerol-3-phosphocholine desaturase activity,[],False,False,False,False,,,
WBPhenotype:0001405,phenotype_biologicalprocess,GO:0070370,-0.29610949754714966,-0.607891854730636,ACCEPT,protein aggregation variant,cellular heat acclimation,[],False,False,False,False,,,
