head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
METTL14-DT,gene_gene,METTL14,-0.7435373067855835,-0.0666042757992766,REJECT,METTL14 divergent transcript,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",[],False,False,False,False,,,
METTL14-DT,gene_protein,Q496Z2,-0.36850711703300476,-0.0414583455360082,REJECT,METTL14 divergent transcript,TLR4 interactor with leucine rich repeats,[],False,False,False,False,,,
METTL14-DT,gene_gene,TLR4,-0.7686314582824707,-0.0666042757992766,REJECT,METTL14 divergent transcript,toll like receptor 4,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,vascular inflammation,-0.2499004602432251,-0.0441083388020473,REJECT,METTL14 divergent transcript,vascular inflammation,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,endothelial cell circular abnormal,-0.21856319904327393,-0.0441083388020473,REJECT,METTL14 divergent transcript,    endothelial cell circular abnormal  ,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,endothelial cell apoptotic abnormal,-0.35128507018089294,-0.0441083388020473,REJECT,METTL14 divergent transcript,    endothelial cell apoptotic abnormal  ,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,endothelial cell morphology abnormal,-0.23338201642036438,-0.0441083388020473,REJECT,METTL14 divergent transcript,    endothelial cell morphology abnormal  ,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,endothelial cell mislocalised abnormal,-0.29626157879829407,-0.0441083388020473,REJECT,METTL14 divergent transcript,    endothelial cell mislocalised abnormal  ,[],False,False,False,False,,,
METTL14-DT,gene_phenotype,increased endothelial cell proliferation,-0.33935290575027466,-0.0441083388020473,REJECT,METTL14 divergent transcript,increased endothelial cell proliferation,[],False,False,False,False,,,
METTL14-DT,gene_tissue,BTO:0001176,-0.36245280504226685,-0.0355469436518127,REJECT,METTL14 divergent transcript,endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_tissue,BTO:0005812,-0.3510180711746216,-0.0355469436518127,REJECT,METTL14 divergent transcript,lung endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_tissue,BTO:0001519,-0.3944176733493805,-0.0355469436518127,REJECT,METTL14 divergent transcript,endothelial cell line,[],False,False,False,False,,,
METTL14-DT,gene_tissue,BTO:0004294,-0.3259550631046295,-0.0355469436518127,REJECT,METTL14 divergent transcript,heart endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_tissue,BTO:0005201,-0.3573260009288788,-0.0355469436518127,REJECT,METTL14 divergent transcript,brain endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_anatomicalentity,ZFA:0009065,-0.3018620014190674,-0.1207229846138711,REJECT,METTL14 divergent transcript,endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_anatomicalentity,ZFA:0009078,-0.197553351521492,-0.1207229846138711,REJECT,METTL14 divergent transcript,gut endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_anatomicalentity,ZFA:0009079,-0.3396628201007843,-0.1207229846138711,REJECT,METTL14 divergent transcript,corneal endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_anatomicalentity,ZFA:0009404,-0.4123135805130005,-0.1207229846138711,REJECT,METTL14 divergent transcript,heart valve endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_anatomicalentity,ZFA:0009036,-0.3334648311138153,-0.1207229846138711,REJECT,METTL14 divergent transcript,blood vessel endothelial cell,[],False,False,False,False,,,
METTL14-DT,gene_biologicalprocess,GO:0043542,-0.2981352210044861,-0.0259886974800522,REJECT,METTL14 divergent transcript,endothelial cell migration,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:0043542,-0.5113282799720764,-0.1242880531441628,REJECT,METTL14 divergent transcript,endothelial cell migration,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.5113, 'gene_negativelyassociatedwith_biologicalprocess': -0.6741, 'gene_inhibits_biologicalprocess': -0.6705, 'gene_notassociatedwith_biologicalprocess': -1.0406, 'gene_promotes_biologicalprocess': -0.6249}"
METTL14-DT,gene_biologicalprocess,GO:0042118,-0.3535894751548767,-0.0259886974800522,REJECT,METTL14 divergent transcript,endothelial cell activation,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:0042118,-0.5939662456512451,-0.1242880531441628,REJECT,METTL14 divergent transcript,endothelial cell activation,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.594, 'gene_negativelyassociatedwith_biologicalprocess': -0.6987, 'gene_inhibits_biologicalprocess': -0.7706, 'gene_notassociatedwith_biologicalprocess': -0.9694, 'gene_promotes_biologicalprocess': -0.632}"
METTL14-DT,gene_biologicalprocess,GO:0035767,-0.3327108323574066,-0.0259886974800522,REJECT,METTL14 divergent transcript,endothelial cell chemotaxis,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:0035767,-0.46699175238609314,-0.1242880531441628,REJECT,METTL14 divergent transcript,endothelial cell chemotaxis,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.467, 'gene_negativelyassociatedwith_biologicalprocess': -0.6768, 'gene_inhibits_biologicalprocess': -0.7214, 'gene_notassociatedwith_biologicalprocess': -0.8765, 'gene_promotes_biologicalprocess': -0.6047}"
METTL14-DT,gene_biologicalprocess,GO:0001885,-0.3426753282546997,-0.0259886974800522,REJECT,METTL14 divergent transcript,endothelial cell development,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:0001885,-0.5027509927749634,-0.1242880531441628,REJECT,METTL14 divergent transcript,endothelial cell development,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.5028, 'gene_negativelyassociatedwith_biologicalprocess': -0.6668, 'gene_inhibits_biologicalprocess': -0.7702, 'gene_notassociatedwith_biologicalprocess': -0.901, 'gene_promotes_biologicalprocess': -0.6244}"
METTL14-DT,gene_biologicalprocess,GO:0001886,-0.3129445016384125,-0.0259886974800522,REJECT,METTL14 divergent transcript,endothelial cell morphogenesis,[],False,False,False,False,,,
METTL14-DT,gene_positivelyassociatedwith_biologicalprocess,GO:0001886,-0.5642421245574951,-0.1242880531441628,REJECT,METTL14 divergent transcript,endothelial cell morphogenesis,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.5642, 'gene_negativelyassociatedwith_biologicalprocess': -0.7524, 'gene_inhibits_biologicalprocess': -0.7153, 'gene_notassociatedwith_biologicalprocess': -0.9132, 'gene_promotes_biologicalprocess': -0.7163}"
METTL14-DT,gene_biologicalprocess,GO:0007568,-0.31747207045555115,-0.0259886974800522,REJECT,METTL14 divergent transcript,aging,[],False,False,False,False,,,
METTL14-DT,gene_promotes_biologicalprocess,GO:0007568,-0.09067239612340927,-0.0527332796523318,REJECT,METTL14 divergent transcript,aging,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.2021, 'gene_negativelyassociatedwith_biologicalprocess': -0.3142, 'gene_inhibits_biologicalprocess': -0.2331, 'gene_notassociatedwith_biologicalprocess': -0.5924, 'gene_promotes_biologicalprocess': -0.0907}"
METTL14-DT,gene_tissue,BTO:0000088,-0.30202025175094604,-0.0355469436518127,REJECT,METTL14 divergent transcript,cardiovascular system,[],False,False,False,False,,,
METTL14,gene_protein,Q496Z2,-0.06604616343975067,-0.0414583455360082,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",TLR4 interactor with leucine rich repeats,[],False,False,False,False,,,
METTL14,gene_gene,TLR4,-0.009658574126660824,-0.0666042757992766,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",toll like receptor 4,['Gene_Gene'],False,True,True,False,Gene_Gene,,
METTL14,gene_phenotype,vascular inflammation,-0.016420982778072357,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",vascular inflammation,[],False,False,False,False,,,
METTL14,gene_phenotype,endothelial cell circular abnormal,-0.015547264367341995,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",    endothelial cell circular abnormal  ,[],False,False,False,False,,,
METTL14,gene_phenotype,endothelial cell apoptotic abnormal,-0.02863204851746559,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",    endothelial cell apoptotic abnormal  ,[],False,False,False,False,,,
METTL14,gene_phenotype,endothelial cell morphology abnormal,-0.012645136564970016,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",    endothelial cell morphology abnormal  ,[],False,False,False,False,,,
METTL14,gene_phenotype,endothelial cell mislocalised abnormal,-0.02315293252468109,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",    endothelial cell mislocalised abnormal  ,[],False,False,False,False,,,
METTL14,gene_phenotype,increased endothelial cell proliferation,-0.014299591071903706,-0.0441083388020473,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",increased endothelial cell proliferation,[],False,False,False,False,,,
METTL14,gene_tissue,BTO:0001176,-0.010665777139365673,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell,[],False,False,False,False,,,
METTL14,gene_tissue,BTO:0005812,-0.012582003138959408,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",lung endothelial cell,[],False,False,False,False,,,
METTL14,gene_tissue,BTO:0001519,-0.007396277040243149,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell line,[],False,False,False,False,,,
METTL14,gene_tissue,BTO:0004294,-0.006063210312277079,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",heart endothelial cell,[],False,False,False,False,,,
METTL14,gene_tissue,BTO:0005201,-0.008372528478503227,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",brain endothelial cell,[],False,False,False,False,,,
METTL14,gene_anatomicalentity,ZFA:0009065,-0.11715922504663467,-0.1207229846138711,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell,[],False,False,False,False,,,
METTL14,gene_anatomicalentity,ZFA:0009078,-0.04065573960542679,-0.1207229846138711,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",gut endothelial cell,[],False,False,False,False,,,
METTL14,gene_anatomicalentity,ZFA:0009079,-0.11956902593374252,-0.1207229846138711,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",corneal endothelial cell,[],False,False,False,False,,,
METTL14,gene_anatomicalentity,ZFA:0009404,-0.18582400679588318,-0.1207229846138711,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",heart valve endothelial cell,[],False,False,False,False,,,
METTL14,gene_anatomicalentity,ZFA:0009036,-0.11614227294921875,-0.1207229846138711,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",blood vessel endothelial cell,[],False,False,False,False,,,
METTL14,gene_biologicalprocess,GO:0043542,-0.005981817841529846,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell migration,[],False,False,False,False,,,
METTL14,gene_promotes_biologicalprocess,GO:0043542,-0.11624118685722351,-0.0527332796523318,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell migration,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.119, 'gene_negativelyassociatedwith_biologicalprocess': -0.2222, 'gene_inhibits_biologicalprocess': -0.13, 'gene_notassociatedwith_biologicalprocess': -0.2344, 'gene_promotes_biologicalprocess': -0.1162}"
METTL14,gene_biologicalprocess,GO:0042118,-0.016831327229738235,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell activation,[],False,False,False,False,,,
METTL14,gene_promotes_biologicalprocess,GO:0042118,-0.13646508753299713,-0.0527332796523318,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell activation,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.2334, 'gene_negativelyassociatedwith_biologicalprocess': -0.3214, 'gene_inhibits_biologicalprocess': -0.1705, 'gene_notassociatedwith_biologicalprocess': -0.3209, 'gene_promotes_biologicalprocess': -0.1365}"
METTL14,gene_biologicalprocess,GO:0035767,-0.012446826323866844,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell chemotaxis,[],False,False,False,False,,,
METTL14,gene_promotes_biologicalprocess,GO:0035767,-0.10722728073596954,-0.0527332796523318,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell chemotaxis,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.1283, 'gene_negativelyassociatedwith_biologicalprocess': -0.183, 'gene_inhibits_biologicalprocess': -0.1139, 'gene_notassociatedwith_biologicalprocess': -0.1683, 'gene_promotes_biologicalprocess': -0.1072}"
METTL14,gene_biologicalprocess,GO:0001885,-0.009388776496052742,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell development,[],False,False,False,False,,,
METTL14,gene_promotes_biologicalprocess,GO:0001885,-0.12617605924606323,-0.0527332796523318,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell development,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.1454, 'gene_negativelyassociatedwith_biologicalprocess': -0.1864, 'gene_inhibits_biologicalprocess': -0.1376, 'gene_notassociatedwith_biologicalprocess': -0.1524, 'gene_promotes_biologicalprocess': -0.1262}"
METTL14,gene_biologicalprocess,GO:0001886,-0.014246773906052113,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell morphogenesis,[],False,False,False,False,,,
METTL14,gene_inhibits_biologicalprocess,GO:0001886,-0.15720805525779724,-0.0860653631820946,REJECT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",endothelial cell morphogenesis,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.273, 'gene_negativelyassociatedwith_biologicalprocess': -0.3362, 'gene_inhibits_biologicalprocess': -0.1572, 'gene_notassociatedwith_biologicalprocess': -0.3079, 'gene_promotes_biologicalprocess': -0.1974}"
METTL14,gene_biologicalprocess,GO:0007568,-0.009331924840807915,-0.0259886974800522,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",aging,[],False,False,False,False,,,
METTL14,gene_promotes_biologicalprocess,GO:0007568,-0.0026954729110002518,-0.0527332796523318,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",aging,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.003, 'gene_negativelyassociatedwith_biologicalprocess': -0.0069, 'gene_inhibits_biologicalprocess': -0.0042, 'gene_notassociatedwith_biologicalprocess': -0.0191, 'gene_promotes_biologicalprocess': -0.0027}"
METTL14,gene_tissue,BTO:0000088,-0.007152709644287825,-0.0355469436518127,ACCEPT,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit",cardiovascular system,[],False,False,False,False,,,
