head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
969516,chemicalentity_protein,Q6DDZ9,-0.5774197578430176,-0.3294023660562368,REJECT,curcumin,MTOR-associated protein MEAK7 {ECO:0000305},[],False,False,False,False,
969516,chemicalentity_chemicalentity,25243801,-0.03673073276877403,-0.2358310709639575,ACCEPT,curcumin,"3-bromo-4-[4-(2-methoxyphenyl)piperazin-1-yl]-2H-pyrazolo[3,4-d]pyrimidine",[],False,False,False,False,
Q6DDZ9,protein_chemicalentity,25243801,-0.8875277638435364,-0.5177504154783322,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},"3-bromo-4-[4-(2-methoxyphenyl)piperazin-1-yl]-2H-pyrazolo[3,4-d]pyrimidine",[],False,False,False,False,
Q6DDZ9,protein_phenotype,oxidative stress,-1.3347309827804565,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},oxidative stress,[],False,False,False,False,
Q6DDZ9,protein_phenotype,MP:0003674,-1.0075589418411255,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},oxidative stress,[],False,False,False,False,
Q6DDZ9,protein_phenotype,abnormal oxidative stress response,-1.2263774871826172,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},abnormal oxidative stress response,[],False,False,False,False,
Q6DDZ9,protein_phenotype,WBPhenotype:0001663,-1.3089814186096191,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},organism oxidative stress resistant,[],False,False,False,False,
Q6DDZ9,protein_phenotype,WBPhenotype:0001620,-1.2603803873062134,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},organism oxidative stress response variant,[],False,False,False,False,
Q6DDZ9,protein_molecularfunction,GO:0016209,-1.2690322399139404,-0.5242841002885203,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},antioxidant activity,[],False,False,False,False,
Q6DDZ9,protein_phenotype,ZP:0101166,-1.1324715614318848,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},"antioxidant activity disrupted, abnormal",[],False,False,False,False,
Q6DDZ9,protein_phenotype,antioxidant activity decreased efficacy abnormal,-1.0987852811813354,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},    antioxidant activity decreased efficacy abnormal  ,[],False,False,False,False,
Q6DDZ9,protein_phenotype,ZP:0137907,-1.2090637683868408,-0.453298916657638,REJECT,MTOR-associated protein MEAK7 {ECO:0000305},"antioxidant activity decreased efficacy, abnormal",[],False,False,False,False,
