head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
D3DTU3,protein_protein,Q6DFJ6,-0.14869090914726257,-0.2036837140803804,ACCEPT,Transcription factor NRF1 {ECO:0000305},Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
D3DTU3,protein_protein,F5HIC6,-0.22670693695545197,-0.2036837140803804,REJECT,Transcription factor NRF1 {ECO:0000305},Viral IRF3-like protein,[],False,False,False,False,,,
D3DTU3,protein_pathway,R-HSA-2559582,-0.026131488382816315,-0.0332625891724323,ACCEPT,Transcription factor NRF1 {ECO:0000305},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
D3DTU3,protein_pathway,R-MMU-2559582,-0.035780034959316254,-0.0332625891724323,REJECT,Transcription factor NRF1 {ECO:0000305},Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
D3DTU3,protein_disease,C5543581,-0.14822550117969513,-0.1452060252739286,REJECT,Transcription factor NRF1 {ECO:0000305},Immunodeficiency 82 with systemic inflammation,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:0090398,-0.012008115649223328,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:2000772,-0.016053736209869385,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},regulation of cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:2000774,-0.012035306543111801,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},positive regulation of cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:2000773,-0.019783280789852142,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},negative regulation of cellular senescence,[],False,False,False,False,,,
D3DTU3,protein_biologicalprocess,GO:0008340,-0.003987080883234739,-0.5776643345681309,ACCEPT,Transcription factor NRF1 {ECO:0000305},determination of adult lifespan,[],False,False,False,False,,,
D3DTU3,protein_phenotype,decreased susceptibility to age related obesity,-0.09844785928726196,-0.0497034494975703,REJECT,Transcription factor NRF1 {ECO:0000305},decreased susceptibility to age related obesity,[],False,False,False,False,,,
NRF1,gene_protein,D3DTU3,-0.011737986467778683,-0.0280984394514378,ACCEPT,nuclear respiratory factor 1,Transcription factor NRF1 {ECO:0000305},[],False,False,False,False,,,
NRF1,gene_gene,TBK1,-0.010821349918842316,-0.071739344080056,ACCEPT,nuclear respiratory factor 1,TANK binding kinase 1,['Gene_Gene'],False,True,True,False,Gene_Gene,,
NRF1,gene_protein,Q6DFJ6,-0.011477208696305752,-0.0280984394514378,ACCEPT,nuclear respiratory factor 1,Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
NRF1,gene_protein,F5HIC6,-0.017792370170354843,-0.0280984394514378,ACCEPT,nuclear respiratory factor 1,Viral IRF3-like protein,[],False,False,False,False,,,
NRF1,gene_gene,IRF3,-0.00860945787280798,-0.071739344080056,ACCEPT,nuclear respiratory factor 1,interferon regulatory factor 3,['Gene_Gene'],False,True,True,False,Gene_Gene,,
NRF1,gene_pathway,R-HSA-2559582,-0.0033998421858996153,-0.0346968297443117,ACCEPT,nuclear respiratory factor 1,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
NRF1,gene_pathway,R-MMU-2559582,-0.05153662711381912,-0.0346968297443117,REJECT,nuclear respiratory factor 1,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
NRF1,gene_disease,C5543581,-0.012337824329733849,-0.0375339126131901,ACCEPT,nuclear respiratory factor 1,Immunodeficiency 82 with systemic inflammation,[],False,False,False,False,,,
NRF1,gene_biologicalprocess,GO:0090398,-0.027036329731345177,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,cellular senescence,['Gene_Inhibits_BiologicalProcess'],False,True,True,False,Gene_Inhibits_BiologicalProcess,,
NRF1,gene_promotes_biologicalprocess,GO:0090398,-0.011830679140985012,-0.0617563253450388,ACCEPT,nuclear respiratory factor 1,cellular senescence,['Gene_Inhibits_BiologicalProcess'],False,True,False,True,Gene_Inhibits_BiologicalProcess,5.0,"{'gene_promotes_biologicalprocess': -0.0118, 'gene_inhibits_biologicalprocess': -0.0145, 'gene_positivelyassociatedwith_biologicalprocess': -0.1441, 'gene_notassociatedwith_biologicalprocess': -0.1428, 'gene_negativelyassociatedwith_biologicalprocess': -0.13}"
NRF1,gene_biologicalprocess,GO:2000772,-0.009060967713594437,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:2000772,-0.27098599076271057,-0.0617563253450388,REJECT,nuclear respiratory factor 1,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.271, 'gene_inhibits_biologicalprocess': -0.3103, 'gene_positivelyassociatedwith_biologicalprocess': -0.3327, 'gene_notassociatedwith_biologicalprocess': -0.3183, 'gene_negativelyassociatedwith_biologicalprocess': -0.2794}"
NRF1,gene_biologicalprocess,GO:2000774,-0.0051863365806639194,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,positive regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_inhibits_biologicalprocess,GO:2000774,-0.07398595660924911,-0.0559618705714699,REJECT,nuclear respiratory factor 1,positive regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.1065, 'gene_inhibits_biologicalprocess': -0.074, 'gene_positivelyassociatedwith_biologicalprocess': -0.1657, 'gene_notassociatedwith_biologicalprocess': -0.1638, 'gene_negativelyassociatedwith_biologicalprocess': -0.1742}"
NRF1,gene_biologicalprocess,GO:2000773,-0.007463574409484863,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,negative regulation of cellular senescence,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:2000773,-0.17500464618206024,-0.0617563253450388,REJECT,nuclear respiratory factor 1,negative regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.175, 'gene_inhibits_biologicalprocess': -0.1778, 'gene_positivelyassociatedwith_biologicalprocess': -0.1874, 'gene_notassociatedwith_biologicalprocess': -0.2876, 'gene_negativelyassociatedwith_biologicalprocess': -0.2211}"
NRF1,gene_biologicalprocess,GO:0008340,-0.0014411357697099447,-0.0356325677219588,ACCEPT,nuclear respiratory factor 1,determination of adult lifespan,[],False,False,False,False,,,
NRF1,gene_promotes_biologicalprocess,GO:0008340,-0.0534280464053154,-0.0617563253450388,ACCEPT,nuclear respiratory factor 1,determination of adult lifespan,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0534, 'gene_inhibits_biologicalprocess': -0.0574, 'gene_positivelyassociatedwith_biologicalprocess': -0.1021, 'gene_notassociatedwith_biologicalprocess': -0.1293, 'gene_negativelyassociatedwith_biologicalprocess': -0.12}"
NRF1,gene_phenotype,decreased susceptibility to age related obesity,-0.020552078261971474,-0.0347684314162952,ACCEPT,nuclear respiratory factor 1,decreased susceptibility to age related obesity,[],False,False,False,False,,,
TBK1,gene_protein,D3DTU3,-0.011189746670424938,-0.0280984394514378,ACCEPT,TANK binding kinase 1,Transcription factor NRF1 {ECO:0000305},[],False,False,False,False,,,
