head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
O31465,protein_protein,Q89NA7,-0.3923379182815552,-0.177985967485581,REJECT,Glutaminase 1,Glutaminase 1,[],False,False,False,False,,,
O31465,protein_protein,D3DKW3,-0.607387363910675,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
O31465,protein_protein,Q91YI0,-0.6740802526473999,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
O31465,protein_protein,P04076,-0.6372227668762207,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
O31465,protein_protein,P05083,-0.7560631632804871,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
O31465,protein_protein,P40369,-0.6278585195541382,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
O31465,protein_chemicalentity,MTORC1/2 inhibitors,-1.0555939674377441,-0.5177504154783322,REJECT,Glutaminase 1,MTORC1/2 inhibitors,[],False,False,False,False,,,
O31465,protein_pathway,R-RNO-166208,-0.3398153781890869,-0.3281021554200869,REJECT,Glutaminase 1,mTORC1-mediated signalling,[],False,False,False,False,,,
O31465,protein_protein,C9J4X2,-0.9999299049377441,-0.177985967485581,REJECT,Glutaminase 1,"Ras homolog, mTORC1 binding {ECO:0000313|Ensembl:ENSP00000417212.1}",[],False,False,False,False,,,
O31465,protein_biologicalprocess,GO:0090398,-0.15933935344219208,-0.4622286150283048,ACCEPT,Glutaminase 1,cellular senescence,[],False,False,False,False,,,
O31465,protein_biologicalprocess,GO:2000772,-0.16331534087657928,-0.4622286150283048,ACCEPT,Glutaminase 1,regulation of cellular senescence,[],False,False,False,False,,,
O31465,protein_biologicalprocess,GO:2000774,-0.1755818873643875,-0.4622286150283048,ACCEPT,Glutaminase 1,positive regulation of cellular senescence,[],False,False,False,False,,,
Q89NA7,protein_protein,D3DKW3,-1.0672528743743896,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
Q89NA7,protein_protein,Q91YI0,-1.3445881605148315,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
Q89NA7,protein_protein,P04076,-1.2878506183624268,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
Q89NA7,protein_protein,P05083,-1.6462336778640747,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
Q89NA7,protein_protein,P40369,-1.1619441509246826,-0.177985967485581,REJECT,Glutaminase 1,Argininosuccinate lyase,[],False,False,False,False,,,
Q89NA7,protein_chemicalentity,MTORC1/2 inhibitors,-1.5651841163635254,-0.5177504154783322,REJECT,Glutaminase 1,MTORC1/2 inhibitors,[],False,False,False,False,,,
Q89NA7,protein_pathway,R-RNO-166208,-1.3995171785354614,-0.3281021554200869,REJECT,Glutaminase 1,mTORC1-mediated signalling,[],False,False,False,False,,,
Q89NA7,protein_protein,C9J4X2,-2.3216428756713867,-0.177985967485581,REJECT,Glutaminase 1,"Ras homolog, mTORC1 binding {ECO:0000313|Ensembl:ENSP00000417212.1}",[],False,False,False,False,,,
Q89NA7,protein_biologicalprocess,GO:0090398,-1.7582616806030273,-0.4622286150283048,REJECT,Glutaminase 1,cellular senescence,[],False,False,False,False,,,
Q89NA7,protein_biologicalprocess,GO:2000772,-1.517429232597351,-0.4622286150283048,REJECT,Glutaminase 1,regulation of cellular senescence,[],False,False,False,False,,,
Q89NA7,protein_biologicalprocess,GO:2000774,-1.8752045631408691,-0.4622286150283048,REJECT,Glutaminase 1,positive regulation of cellular senescence,[],False,False,False,False,,,
ASL,gene_protein,O31465,-0.014171975664794445,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Glutaminase 1,[],False,False,False,False,,,
ASL,gene_protein,Q89NA7,-0.033448901027441025,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Glutaminase 1,[],False,False,False,False,,,
ASL,gene_protein,D3DKW3,-0.022585080936551094,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Argininosuccinate lyase,[],False,False,False,False,,,
ASL,gene_protein,Q91YI0,-0.020712673664093018,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Argininosuccinate lyase,[],False,False,False,False,,,
ASL,gene_protein,P04076,-0.03179032355546951,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Argininosuccinate lyase,[],False,False,False,False,,,
ASL,gene_protein,P05083,-0.0209038145840168,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Argininosuccinate lyase,[],False,False,False,False,,,
ASL,gene_protein,P40369,-0.033555395901203156,-0.0414583455360082,ACCEPT,argininosuccinate lyase,Argininosuccinate lyase,[],False,False,False,False,,,
ASL,gene_chemicalentity,MTORC1/2 inhibitors,-0.029798803851008415,-0.0403487392673125,ACCEPT,argininosuccinate lyase,MTORC1/2 inhibitors,[],False,False,False,False,,,
ASL,gene_pathway,R-RNO-166208,-0.049927301704883575,-0.0273653117614562,REJECT,argininosuccinate lyase,mTORC1-mediated signalling,[],False,False,False,False,,,
ASL,gene_gene,rheb,-0.18255126476287842,-0.0666042757992766,REJECT,argininosuccinate lyase,"Ras homolog, mTORC1 binding",[],False,False,False,False,,,
ASL,gene_protein,C9J4X2,-0.012232989072799683,-0.0414583455360082,ACCEPT,argininosuccinate lyase,"Ras homolog, mTORC1 binding {ECO:0000313|Ensembl:ENSP00000417212.1}",[],False,False,False,False,,,
ASL,gene_biologicalprocess,GO:0090398,-0.02689593844115734,-0.0259886974800522,REJECT,argininosuccinate lyase,cellular senescence,[],False,False,False,False,,,
ASL,gene_promotes_biologicalprocess,GO:0090398,-0.014149528928101063,-0.0527332796523318,ACCEPT,argininosuccinate lyase,cellular senescence,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.1111, 'gene_negativelyassociatedwith_biologicalprocess': -0.1407, 'gene_inhibits_biologicalprocess': -0.0159, 'gene_notassociatedwith_biologicalprocess': -0.1227, 'gene_promotes_biologicalprocess': -0.0141}"
