head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
SIRT3,gene_gene,nlrp3,-0.3630180358886719,-0.071739344080056,REJECT,sirtuin 3,NLR family pyrin domain containing 3,[],False,False,False,False,,,
SIRT3,gene_phenotype,HP:0032986,-0.022360999137163162,-0.0347684314162952,ACCEPT,sirtuin 3,Smoker-inclusions in alveolar macrophages,[],False,False,False,False,,,
SIRT3,gene_biologicalprocess,GO:0044546,-0.028330190107226372,-0.0356325677219588,ACCEPT,sirtuin 3,NLRP3 inflammasome complex assembly,[],False,False,False,False,,,
SIRT3,gene_inhibits_biologicalprocess,GO:0044546,-0.3088347315788269,-0.0559618705714699,REJECT,sirtuin 3,NLRP3 inflammasome complex assembly,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.3599, 'gene_inhibits_biologicalprocess': -0.3088, 'gene_positivelyassociatedwith_biologicalprocess': -0.4614, 'gene_notassociatedwith_biologicalprocess': -0.5558, 'gene_negativelyassociatedwith_biologicalprocess': -0.3803}"
SIRT3,gene_phenotype,decreased bone mass,-0.03435085341334343,-0.0347684314162952,ACCEPT,sirtuin 3,decreased bone mass,[],False,False,False,False,,,
SIRT3,gene_phenotype,increased bone mass,-0.010582423768937588,-0.0347684314162952,ACCEPT,sirtuin 3,increased bone mass,[],False,False,False,False,,,
SIRT3,gene_phenotype,MP:0004016,-0.010707796551287174,-0.0347684314162952,ACCEPT,sirtuin 3,decreased bone mass,[],False,False,False,False,,,
SIRT3,gene_phenotype,MP:0005605,-0.009868958964943886,-0.0347684314162952,ACCEPT,sirtuin 3,increased bone mass,[],False,False,False,False,,,
SIRT3,gene_phenotype,decreased compact bone mass,-0.012202300131320953,-0.0347684314162952,ACCEPT,sirtuin 3,decreased compact bone mass,[],False,False,False,False,,,
SIRT3,gene_biologicalprocess,GO:0090398,-0.025626936927437782,-0.0356325677219588,ACCEPT,sirtuin 3,cellular senescence,[],False,False,False,False,,,
SIRT3,gene_promotes_biologicalprocess,GO:0090398,-0.01343561988323927,-0.0617563253450388,ACCEPT,sirtuin 3,cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0134, 'gene_inhibits_biologicalprocess': -0.0159, 'gene_positivelyassociatedwith_biologicalprocess': -0.1194, 'gene_notassociatedwith_biologicalprocess': -0.1583, 'gene_negativelyassociatedwith_biologicalprocess': -0.1304}"
SIRT3,gene_biologicalprocess,GO:2000772,-0.010118791833519936,-0.0356325677219588,ACCEPT,sirtuin 3,regulation of cellular senescence,[],False,False,False,False,,,
SIRT3,gene_promotes_biologicalprocess,GO:2000772,-0.2553436756134033,-0.0617563253450388,REJECT,sirtuin 3,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.2553, 'gene_inhibits_biologicalprocess': -0.302, 'gene_positivelyassociatedwith_biologicalprocess': -0.3043, 'gene_notassociatedwith_biologicalprocess': -0.3577, 'gene_negativelyassociatedwith_biologicalprocess': -0.2944}"
SIRT3,gene_biologicalprocess,GO:2000773,-0.009026306681334972,-0.0356325677219588,ACCEPT,sirtuin 3,negative regulation of cellular senescence,[],False,False,False,False,,,
SIRT3,gene_promotes_biologicalprocess,GO:2000773,-0.1712503880262375,-0.0617563253450388,REJECT,sirtuin 3,negative regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.1713, 'gene_inhibits_biologicalprocess': -0.1831, 'gene_positivelyassociatedwith_biologicalprocess': -0.1827, 'gene_notassociatedwith_biologicalprocess': -0.3524, 'gene_negativelyassociatedwith_biologicalprocess': -0.2199}"
SIRT3,gene_pathway,R-HSA-9660821,-0.004433870781213045,-0.0346968297443117,ACCEPT,sirtuin 3,ADORA2B mediated anti-inflammatory cytokines production,[],False,False,False,False,,,
nlrp3,gene_phenotype,HP:0032986,-1.38455069065094,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,Smoker-inclusions in alveolar macrophages,[],False,False,False,False,,,
nlrp3,gene_biologicalprocess,GO:0044546,-2.251021146774292,-0.0356325677219588,REJECT,NLR family pyrin domain containing 3,NLRP3 inflammasome complex assembly,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
nlrp3,gene_positivelyassociatedwith_biologicalprocess,GO:0044546,-1.1198967695236206,-0.0730086550790463,REJECT,NLR family pyrin domain containing 3,NLRP3 inflammasome complex assembly,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_promotes_biologicalprocess': -1.9626, 'gene_inhibits_biologicalprocess': -1.7257, 'gene_positivelyassociatedwith_biologicalprocess': -1.1199, 'gene_notassociatedwith_biologicalprocess': -1.1595, 'gene_negativelyassociatedwith_biologicalprocess': -1.1334}"
nlrp3,gene_phenotype,decreased bone mass,-1.5685951709747314,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,decreased bone mass,[],False,False,False,False,,,
nlrp3,gene_phenotype,increased bone mass,-2.4303853511810303,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,increased bone mass,[],False,False,False,False,,,
nlrp3,gene_phenotype,MP:0004016,-2.8149352073669434,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,decreased bone mass,[],False,False,False,False,,,
nlrp3,gene_phenotype,MP:0005605,-2.5041282176971436,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,increased bone mass,[],False,False,False,False,,,
nlrp3,gene_phenotype,decreased compact bone mass,-3.322709083557129,-0.0347684314162952,REJECT,NLR family pyrin domain containing 3,decreased compact bone mass,[],False,False,False,False,,,
nlrp3,gene_biologicalprocess,GO:0090398,-3.396296739578247,-0.0356325677219588,REJECT,NLR family pyrin domain containing 3,cellular senescence,[],False,False,False,False,,,
nlrp3,gene_positivelyassociatedwith_biologicalprocess,GO:0090398,-2.1046292781829834,-0.0730086550790463,REJECT,NLR family pyrin domain containing 3,cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -3.5034, 'gene_inhibits_biologicalprocess': -3.4321, 'gene_positivelyassociatedwith_biologicalprocess': -2.1046, 'gene_notassociatedwith_biologicalprocess': -2.4633, 'gene_negativelyassociatedwith_biologicalprocess': -3.3153}"
nlrp3,gene_biologicalprocess,GO:2000772,-2.904132604598999,-0.0356325677219588,REJECT,NLR family pyrin domain containing 3,regulation of cellular senescence,[],False,False,False,False,,,
nlrp3,gene_positivelyassociatedwith_biologicalprocess,GO:2000772,-1.197450876235962,-0.0730086550790463,REJECT,NLR family pyrin domain containing 3,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -2.129, 'gene_inhibits_biologicalprocess': -1.7688, 'gene_positivelyassociatedwith_biologicalprocess': -1.1975, 'gene_notassociatedwith_biologicalprocess': -1.2773, 'gene_negativelyassociatedwith_biologicalprocess': -1.5878}"
nlrp3,gene_biologicalprocess,GO:2000773,-2.412123680114746,-0.0356325677219588,REJECT,NLR family pyrin domain containing 3,negative regulation of cellular senescence,[],False,False,False,False,,,
