head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
4048638,chemicalentity_biologicalprocess,GO:0034976,-0.4068373441696167,-0.232143107153421,REJECT,serotonin(1+),response to endoplasmic reticulum stress,[],False,False,False,False,,,
4048638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0034976,-0.5765501856803894,-0.596142909254255,ACCEPT,serotonin(1+),response to endoplasmic reticulum stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5766, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7977, 'chemicalentity_inhibits_biologicalprocess': -0.922, 'chemicalentity_promotes_biologicalprocess': -1.17, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7022, 'chemicalentity_noeffect_biologicalprocess': -2.7028}"
4048638,chemicalentity_biologicalprocess,GO:1905897,-0.6422719955444336,-0.232143107153421,REJECT,serotonin(1+),regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,,
4048638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1905897,-0.8293012380599976,-0.596142909254255,REJECT,serotonin(1+),regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.8293, 'chemicalentity_notassociatedwith_biologicalprocess': -1.1564, 'chemicalentity_inhibits_biologicalprocess': -1.4043, 'chemicalentity_promotes_biologicalprocess': -1.5398, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.1417, 'chemicalentity_noeffect_biologicalprocess': -2.5647}"
4048638,chemicalentity_biologicalprocess,GO:1990737,-0.35232511162757874,-0.232143107153421,REJECT,serotonin(1+),response to manganese-induced endoplasmic reticulum stress,[],False,False,False,False,,,
4048638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990737,-0.4736049771308899,-0.596142909254255,ACCEPT,serotonin(1+),response to manganese-induced endoplasmic reticulum stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4736, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6393, 'chemicalentity_inhibits_biologicalprocess': -1.2389, 'chemicalentity_promotes_biologicalprocess': -1.7107, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.591, 'chemicalentity_noeffect_biologicalprocess': -2.4031}"
4048638,chemicalentity_biologicalprocess,GO:1905898,-0.561387836933136,-0.232143107153421,REJECT,serotonin(1+),positive regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,,
4048638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1905898,-0.9440751075744629,-0.596142909254255,REJECT,serotonin(1+),positive regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9441, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2082, 'chemicalentity_inhibits_biologicalprocess': -1.1739, 'chemicalentity_promotes_biologicalprocess': -1.2907, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.0242, 'chemicalentity_noeffect_biologicalprocess': -2.0429}"
4048638,chemicalentity_biologicalprocess,GO:1903573,-0.4222877323627472,-0.232143107153421,REJECT,serotonin(1+),negative regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,,
4048638,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1903573,-0.6287698745727539,-0.596142909254255,REJECT,serotonin(1+),negative regulation of response to endoplasmic reticulum stress,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6288, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8086, 'chemicalentity_inhibits_biologicalprocess': -1.1564, 'chemicalentity_promotes_biologicalprocess': -1.4607, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7503, 'chemicalentity_noeffect_biologicalprocess': -1.9108}"
